 	la	maman	a	mis	du	gombo	dans	la	marmite	</S>
a87	0.163711	0.101586	0.101041	0.14749	0.174827	0.113034	0.0606192	0.0473243	0.0455338	0.0448344
a83	0.187874	0.0747522	0.0837994	0.0684797	0.0679655	0.0410258	0.0761566	0.0948628	0.13989	0.165194
a70	0.205814	0.0906268	0.0643667	0.0591381	0.0564263	0.0735882	0.0939066	0.101365	0.120294	0.134475
a34	0.476971	0.212972	0.132346	0.0804852	0.0375127	0.0137859	0.0113178	0.00984146	0.0109335	0.0138338
a90	0.528314	0.210064	0.12127	0.0666715	0.0282531	0.015797	0.00714131	0.00624999	0.00733014	0.00890988
a15	0.369035	0.211775	0.14726	0.0964571	0.0490483	0.0400092	0.0165409	0.0157452	0.0212836	0.0328454
a98	0.296065	0.198499	0.171887	0.117012	0.0664725	0.0499638	0.0255883	0.0219886	0.024418	0.0281061
a44	0.234068	0.203036	0.181769	0.137493	0.0799922	0.0550873	0.0269471	0.0236777	0.0269015	0.0310284
a84	0.226621	0.208361	0.189252	0.152771	0.0829655	0.0522658	0.023789	0.0198963	0.0204462	0.0236311
a75	0.0744058	0.0973868	0.118905	0.143945	0.109694	0.118225	0.0726555	0.0744092	0.0856962	0.104678
a85	0.103672	0.144562	0.153415	0.176373	0.13943	0.108712	0.0447441	0.0361229	0.0390753	0.0538945
a61	0.0923477	0.11682	0.135247	0.144716	0.110177	0.0969398	0.0787987	0.070257	0.0705384	0.0841591
a21	0.105881	0.131879	0.173424	0.20731	0.14818	0.0889614	0.0362572	0.030514	0.0336324	0.0439604
a66	0.132006	0.125603	0.144451	0.176072	0.139947	0.100207	0.0571808	0.0430553	0.0378716	0.0436061
a75	0.0604223	0.0732764	0.0938615	0.154211	0.194318	0.188249	0.0675965	0.0490675	0.0509588	0.0680389
a25	0.0615079	0.0640477	0.06561	0.105798	0.138887	0.143274	0.0961242	0.0992593	0.104476	0.121016
a94	0.0397504	0.043105	0.0483843	0.0857162	0.156637	0.19955	0.118831	0.0993451	0.0942417	0.114439
a98	0.0282393	0.0305428	0.0337975	0.0627543	0.134748	0.251065	0.125324	0.0981227	0.0970627	0.138343
a44	0.0361905	0.034609	0.0325504	0.0545421	0.112193	0.198209	0.128258	0.123738	0.127563	0.152147
a75	0.0214186	0.0230156	0.0248827	0.0439678	0.0910878	0.20013	0.149573	0.145028	0.1371	0.163796
a25	0.0334432	0.0322599	0.0317657	0.050588	0.0897367	0.164192	0.138471	0.140597	0.144926	0.174021
a90	0.0275697	0.0257099	0.0250917	0.0402752	0.0855021	0.176448	0.156329	0.152626	0.141079	0.16937
a96	0.0273555	0.0246072	0.0221868	0.0396606	0.082675	0.222289	0.152688	0.141652	0.127354	0.159532
a25	0.0217391	0.0219583	0.022834	0.040449	0.0851191	0.211765	0.151222	0.141406	0.133617	0.16989
a11	0.0216359	0.0194071	0.0190025	0.0306533	0.0601965	0.142636	0.140072	0.160493	0.174847	0.231056
a75	0.00320523	0.00322214	0.00348617	0.00614552	0.0164558	0.0730697	0.106626	0.164758	0.236895	0.386137
a92	0.0144667	0.0134149	0.0131682	0.0210832	0.0420697	0.0997203	0.10853	0.152099	0.210963	0.324485
a96	0.0172811	0.0156336	0.0150685	0.0229319	0.0419199	0.0900983	0.101332	0.145845	0.214536	0.335353
a70	0.00267043	0.00294899	0.00312358	0.00458246	0.0101102	0.0400278	0.0642479	0.127985	0.258381	0.485923
a83	0.00347038	0.00354065	0.00380225	0.00569694	0.0140066	0.0490258	0.0714372	0.130504	0.247942	0.470575
a13	0.000978633	0.000872659	0.00112633	0.00174216	0.00452189	0.0201239	0.0513237	0.128095	0.280151	0.511064
a99	0.00125551	0.00104152	0.00184764	0.00315672	0.0072211	0.0287371	0.0762982	0.160985	0.284684	0.434774
a87	0.00343598	0.00196515	0.00279202	0.00403999	0.00721382	0.028877	0.0801003	0.164538	0.287666	0.419372
a38	0.0355264	0.0142719	0.013034	0.0146879	0.0192732	0.0422787	0.139476	0.197639	0.241799	0.282013
a97	0.0135184	0.00684383	0.00623155	0.0072861	0.0116266	0.0248758	0.102549	0.187297	0.290416	0.349355
</S>	0.0163638	0.00796695	0.00905383	0.0117296	0.0148689	0.0214116	0.0946226	0.163876	0.269775	0.390332
