 	la	pirogue	a	abordé	</S>
a23	0.280535	0.226135	0.20075	0.158108	0.134472
a38	0.256549	0.217214	0.214772	0.19572	0.115745
a30	0.332033	0.21653	0.199084	0.150509	0.101843
a35	0.338948	0.19552	0.178987	0.134372	0.152172
a41	0.42725	0.212609	0.191673	0.101419	0.0670494
a14	0.397008	0.234113	0.192078	0.109569	0.0672324
a35	0.387837	0.259546	0.181995	0.0976602	0.0729617
a43	0.350544	0.250759	0.183925	0.114556	0.100215
a75	0.176462	0.177499	0.203447	0.196201	0.246391
a41	0.210679	0.212648	0.21198	0.16439	0.200303
a96	0.154929	0.182535	0.196538	0.18821	0.277788
a83	0.0406398	0.0690738	0.125655	0.235256	0.529375
a9	0.0348293	0.0637251	0.131053	0.246697	0.523696
a87	0.0225588	0.0501409	0.11048	0.218081	0.598739
a97	0.0654456	0.114746	0.171464	0.236035	0.41231
a87	0.139057	0.21616	0.197594	0.210758	0.236431
a23	0.193637	0.251322	0.194472	0.18659	0.173979
a87	0.150255	0.23521	0.202429	0.196935	0.21517
a10	0.107802	0.18873	0.157282	0.211254	0.334932
a87	0.156328	0.211879	0.160411	0.204696	0.266686
a30	0.111326	0.168489	0.142349	0.222362	0.355474
</S>	0.207209	0.221943	0.165212	0.172318	0.233319
