 	il	écrivait	sa	lettre	calmement	</S>
a66	0.42038	0.193765	0.113374	0.135837	0.0902762	0.0463675
a87	0.298216	0.204437	0.195722	0.225068	0.0523365	0.0242215
a23	0.59169	0.207063	0.0667304	0.0501479	0.0481104	0.0362574
a53	0.447202	0.172392	0.178644	0.0977328	0.0498086	0.0542206
a98	0.589254	0.189858	0.0796795	0.0835201	0.0297415	0.0279468
a6	0.503209	0.278054	0.102164	0.0858095	0.0189098	0.0118533
a21	0.454276	0.258206	0.121805	0.0975392	0.0403867	0.0277876
a85	0.478596	0.284271	0.133842	0.0696721	0.0223621	0.0112578
a6	0.108121	0.268884	0.362109	0.182372	0.0462264	0.0322878
a36	0.164065	0.30555	0.284959	0.154952	0.0527888	0.0376855
a21	0.130249	0.257551	0.328782	0.16304	0.0657016	0.0546763
a5	0.103015	0.269041	0.295165	0.194132	0.08857	0.0500758
a37	0.0608479	0.154689	0.238885	0.258617	0.163362	0.1236
a21	0.0686304	0.106001	0.168972	0.232073	0.208667	0.215656
a5	0.0319489	0.0645772	0.112641	0.206909	0.307241	0.276683
a75	0.0270846	0.0483859	0.0913041	0.145719	0.261207	0.4263
a5	0.0115337	0.0154542	0.034292	0.0718862	0.247521	0.619313
a43	0.0201097	0.0262216	0.0408463	0.0917482	0.253293	0.567781
a27	0.01244	0.0181703	0.0296524	0.0512256	0.160472	0.72804
a75	0.0507098	0.0357434	0.0497345	0.0680486	0.192059	0.603704
a21	0.0036437	0.00938	0.0209789	0.0713802	0.244016	0.650601
a5	0.00440778	0.00502446	0.00950872	0.0379983	0.203941	0.739119
a18	0.00267481	0.00430447	0.0075747	0.0234827	0.158494	0.80347
a25	0.0190609	0.0207995	0.0354245	0.091535	0.27658	0.5566
a10	0.0414592	0.0443717	0.0718069	0.128024	0.28706	0.427278
a87	0.189639	0.108362	0.103362	0.104659	0.175488	0.31849
a23	0.385286	0.24418	0.136383	0.0720028	0.0723295	0.0898184
a87	0.200606	0.189508	0.0964647	0.0618833	0.126194	0.325344
</S>	0.0170432	0.0271362	0.0242541	0.0423027	0.196219	0.693044
