 	le	notable	du	village	doit	être	un	unificateur	</S>
a66	0.111161	0.077536	0.0854661	0.125118	0.143631	0.213065	0.188472	0.0467564	0.00879373
a87	0.219968	0.141324	0.12585	0.112472	0.108433	0.115483	0.103927	0.0543957	0.0181479
a23	0.287075	0.188592	0.140191	0.116239	0.0835698	0.0932054	0.0696816	0.0146816	0.00676442
a87	0.243685	0.179488	0.147101	0.126598	0.113925	0.107776	0.0536881	0.0165366	0.0112012
a23	0.250727	0.176126	0.138532	0.124546	0.107358	0.108752	0.0652282	0.0188143	0.00991641
a54	0.165971	0.0965575	0.0793327	0.0906701	0.110116	0.147795	0.181242	0.0942507	0.0340649
a6	0.0962756	0.0769854	0.0475529	0.0403554	0.0339863	0.0519261	0.201216	0.364564	0.087138
a47	0.135813	0.12226	0.0784792	0.0635867	0.0518761	0.0644102	0.139731	0.254718	0.0891258
a36	0.142573	0.129198	0.0950484	0.0803075	0.0662551	0.0712606	0.116079	0.181408	0.117871
a90	0.124402	0.115507	0.0979007	0.0988589	0.0764219	0.0807149	0.128505	0.17269	0.104999
a93	0.162598	0.157011	0.127329	0.111678	0.0847945	0.0800527	0.0774949	0.096907	0.102136
a4	0.182736	0.189504	0.151452	0.127474	0.0928992	0.0829597	0.0527511	0.0537858	0.0664381
a54	0.0993547	0.141686	0.160876	0.157387	0.131773	0.122383	0.0657167	0.0487365	0.0720865
a98	0.0599319	0.0878829	0.127067	0.132993	0.111964	0.106497	0.0735182	0.0923021	0.207844
a85	0.0564027	0.0890431	0.1285	0.131314	0.109875	0.0936086	0.0653256	0.0866873	0.239244
a6	0.0282247	0.0482601	0.0848247	0.100929	0.091844	0.0741583	0.0573178	0.126123	0.388318
a5	0.0185106	0.0297248	0.057099	0.0798194	0.0850423	0.0767769	0.0592748	0.146602	0.44715
a37	0.0278266	0.0357987	0.0572079	0.0738761	0.0877614	0.0821978	0.0705939	0.167682	0.397055
a93	0.0172543	0.0210783	0.0322207	0.0404634	0.0534338	0.0478269	0.0398365	0.140806	0.60708
a96	0.0189315	0.0201872	0.0278318	0.0325401	0.0455351	0.0468955	0.0629698	0.221098	0.524011
a54	0.0078342	0.00851295	0.0127701	0.0174534	0.0285524	0.036121	0.0736961	0.259794	0.555266
a36	0.00206326	0.00217602	0.00293568	0.00363918	0.00546396	0.00582777	0.0144757	0.125099	0.83832
a26	0.0220993	0.0158763	0.0194935	0.0278974	0.0507749	0.0792773	0.127606	0.193586	0.46339
a57	0.1216	0.0905286	0.105147	0.11732	0.165518	0.176544	0.0831133	0.0381061	0.102123
a87	0.147051	0.103105	0.107908	0.114016	0.149764	0.181586	0.124332	0.0346871	0.0375528
a23	0.114379	0.084327	0.0976248	0.110534	0.146007	0.186475	0.169073	0.0581734	0.0334061
a87	0.129303	0.10548	0.116594	0.106775	0.132108	0.140334	0.109454	0.0738343	0.0861178
a23	0.13391	0.10593	0.0922312	0.0763406	0.0808706	0.0882641	0.087486	0.0873799	0.247588
a87	0.0716944	0.0720878	0.0814157	0.0790705	0.102096	0.133728	0.15907	0.139662	0.161176
a23	0.101197	0.10952	0.116452	0.0953157	0.0972792	0.105812	0.101635	0.0801134	0.192677
a87	0.0700233	0.0807273	0.0955953	0.0830654	0.0973678	0.121968	0.143162	0.115782	0.19231
a23	0.107075	0.121352	0.134425	0.112843	0.110633	0.119401	0.101727	0.0557871	0.136756
a87	0.0760778	0.0780535	0.0889522	0.0772474	0.0916208	0.121915	0.1341	0.111517	0.220517
a23	0.114343	0.121284	0.134145	0.109774	0.103768	0.110947	0.0803903	0.0520338	0.173314
a99	0.0764701	0.082291	0.0958233	0.0790338	0.0858031	0.110686	0.119395	0.101386	0.249112
a27	0.065264	0.0770769	0.0855993	0.0670025	0.0613834	0.0717621	0.0828786	0.111319	0.377714
</S>	0.110525	0.122909	0.121537	0.0938486	0.0821753	0.0896948	0.0922873	0.069215	0.217808
