 	quand	les	gens	se	disputent	il	ne	faut	pas	attiser	la	querelle	</S>
a82	0.113571	0.0732148	0.0627859	0.0962296	0.166507	0.138783	0.122182	0.116672	0.0772969	0.0182114	0.00626085	0.00456914	0.00371697
a87	0.183894	0.104938	0.0847759	0.118054	0.150637	0.0976985	0.0832271	0.0666133	0.0382851	0.011894	0.0164122	0.019395	0.024177
a23	0.171966	0.107723	0.097301	0.0999642	0.162715	0.142922	0.0924868	0.0595401	0.0341474	0.00971872	0.00508616	0.00615646	0.0102732
a10	0.234624	0.153529	0.123663	0.131474	0.135374	0.0949236	0.0513785	0.0221798	0.00918959	0.00576899	0.00600344	0.00955346	0.0223374
a57	0.190095	0.124686	0.106176	0.123169	0.173785	0.116071	0.05784	0.0297216	0.0157356	0.0121012	0.0106519	0.0151316	0.0248376
a87	0.188602	0.121652	0.114723	0.134172	0.179646	0.110835	0.0563259	0.0309491	0.0161935	0.0106758	0.00769663	0.0110913	0.0174371
a79	0.170182	0.118388	0.113938	0.131835	0.177924	0.102185	0.0567537	0.0413889	0.0282252	0.0182467	0.010985	0.0130382	0.0169108
a15	0.114227	0.0713194	0.0943143	0.143008	0.273312	0.132416	0.0465379	0.024952	0.0161576	0.0189409	0.015888	0.0248484	0.024077
a20	0.120716	0.0869367	0.0964944	0.116643	0.210216	0.103701	0.054994	0.0480871	0.0401668	0.0419497	0.0254275	0.0329217	0.021747
a15	0.154243	0.0962581	0.0983484	0.101119	0.132562	0.0685826	0.0413363	0.0386852	0.0467449	0.0676782	0.0492239	0.0592436	0.0459747
a98	0.10477	0.07572	0.0807964	0.0804754	0.0865214	0.0565922	0.0395668	0.0314133	0.0399463	0.0907764	0.0906369	0.121183	0.101601
a85	0.0762266	0.0583305	0.0582617	0.0554568	0.048674	0.0361119	0.0351332	0.043829	0.0672411	0.101392	0.123687	0.153415	0.142241
a92	0.0812369	0.0667495	0.0552881	0.0508324	0.0429875	0.0331581	0.0357403	0.0514629	0.0943468	0.116213	0.0984303	0.132941	0.140614
a98	0.0639917	0.0648151	0.057262	0.0551714	0.0479146	0.0353521	0.0355499	0.044485	0.0681276	0.104417	0.0861555	0.166219	0.170539
a47	0.0625723	0.0748475	0.0652569	0.0609618	0.041181	0.0332404	0.0370243	0.0467489	0.065346	0.0979064	0.0961119	0.163924	0.154879
a15	0.0786466	0.0900493	0.0817004	0.0741064	0.0483752	0.0497476	0.0475808	0.0438731	0.0448012	0.048966	0.0563921	0.13137	0.204392
a36	0.0588504	0.0712662	0.0703043	0.067389	0.055543	0.0553967	0.0484718	0.0460596	0.0514937	0.059108	0.0566094	0.135063	0.224445
a90	0.0425802	0.0518441	0.0536006	0.0516243	0.0621489	0.0688003	0.0615356	0.0489701	0.0431927	0.0498915	0.0666405	0.144824	0.254347
a69	0.0325562	0.0420444	0.0393023	0.0359449	0.0435735	0.0544501	0.0560272	0.0568305	0.066846	0.0763019	0.0756845	0.148337	0.272101
a53	0.0247514	0.0304281	0.0309874	0.0287302	0.0425411	0.0717257	0.0727346	0.0753764	0.0849499	0.0777293	0.0670782	0.11449	0.278477
a69	0.0160593	0.0207504	0.0248588	0.0234397	0.0485461	0.0748952	0.0640554	0.0621164	0.0712209	0.0770177	0.0660678	0.12398	0.326992
a20	0.00972144	0.0109724	0.0127375	0.0114537	0.021109	0.0380554	0.0345631	0.0351919	0.0480815	0.0669911	0.0720526	0.145484	0.493586
a98	0.00373526	0.00360198	0.00384051	0.00333683	0.00833132	0.0141792	0.0085159	0.00677053	0.00970446	0.0204753	0.0473919	0.139836	0.730281
a79	0.00172786	0.00176626	0.00206153	0.00186277	0.00490254	0.0104781	0.00637702	0.00436555	0.00613752	0.0162315	0.0413941	0.129853	0.772843
a25	0.00242625	0.00256387	0.00316936	0.00274756	0.00596905	0.0106022	0.00665777	0.00469927	0.00705355	0.0228221	0.0801989	0.164695	0.686395
a69	0.00261875	0.00289979	0.00347796	0.0029822	0.00551559	0.00779104	0.00549004	0.00410421	0.00591109	0.0243004	0.0887775	0.18416	0.661971
a20	0.00336502	0.00391255	0.00479381	0.00432362	0.00728545	0.00941467	0.00591793	0.00408212	0.00628229	0.0275345	0.0912524	0.178264	0.653572
a54	0.00333411	0.00416995	0.00460505	0.00438323	0.00621225	0.00660848	0.00411597	0.00282659	0.00342675	0.0137619	0.0814902	0.185225	0.679841
a47	0.00342255	0.00464098	0.00574545	0.00562413	0.00856836	0.00992732	0.0063571	0.00431335	0.00472108	0.0178121	0.0887228	0.206997	0.633147
a36	0.00142014	0.00169368	0.00189413	0.00190618	0.00296148	0.0036268	0.00247623	0.00199808	0.00331868	0.0188831	0.102304	0.228311	0.629207
a2	0.00365564	0.00552704	0.00808168	0.00880517	0.014861	0.0138942	0.00889519	0.00719014	0.0126663	0.0480426	0.141402	0.258746	0.468232
a57	0.0378705	0.0358362	0.0495184	0.071622	0.131332	0.0656422	0.0402919	0.0290124	0.0274218	0.0396474	0.0814258	0.161195	0.229185
a87	0.0629056	0.0633169	0.0989518	0.121865	0.269788	0.175075	0.0833729	0.0501536	0.0215123	0.0107709	0.0126432	0.0149867	0.014658
a23	0.0573689	0.0615771	0.0986831	0.13167	0.243979	0.149223	0.0860949	0.0746458	0.0449437	0.0161844	0.011746	0.0123832	0.0114999
a87	0.0201287	0.0162175	0.0199529	0.0245415	0.0378435	0.0317713	0.0290592	0.0466145	0.0691422	0.126626	0.193356	0.171663	0.213084
a97	0.00551986	0.00572992	0.00778389	0.00922697	0.0188627	0.0221659	0.015724	0.0216503	0.0319777	0.05655	0.113151	0.210342	0.481315
</S>	0.0105548	0.00992809	0.0110487	0.0141681	0.0311912	0.0318763	0.0215535	0.0228544	0.0290441	0.0473897	0.0784947	0.174361	0.517535
