 	il	mit	la	tête	en	bas	</S>
a23	0.445369	0.126936	0.0919465	0.0587783	0.0601703	0.100349	0.116451
a79	0.376221	0.144323	0.130489	0.0965417	0.0748439	0.0825606	0.0950217
a69	0.451971	0.125779	0.0847445	0.050064	0.0481336	0.0891975	0.15011
a84	0.458938	0.161586	0.103403	0.0519007	0.0512623	0.0704812	0.102429
a54	0.373456	0.200907	0.123495	0.0592214	0.0578324	0.073429	0.111659
a92	0.219759	0.174475	0.119837	0.0739215	0.0936813	0.123987	0.194339
a56	0.180304	0.15183	0.137107	0.0906814	0.112734	0.137589	0.189754
a62	0.142828	0.141573	0.159828	0.108912	0.121525	0.1375	0.187835
a83	0.139034	0.143606	0.162238	0.123412	0.131169	0.133618	0.166922
a13	0.076178	0.0995762	0.118132	0.139382	0.170474	0.17634	0.219917
a93	0.05386	0.0738416	0.0822825	0.12404	0.179539	0.214175	0.272262
a13	0.0273045	0.0398727	0.0503632	0.110274	0.198569	0.257216	0.3164
a38	0.0149553	0.0199406	0.02406	0.0609986	0.15452	0.281481	0.444045
a24	0.00830131	0.0109241	0.0127173	0.0292171	0.0886473	0.246564	0.603629
a83	0.00621164	0.00851131	0.0120543	0.0267478	0.0757422	0.219178	0.651555
a9	0.00701843	0.00986244	0.0144109	0.0334258	0.0884574	0.226646	0.620179
a87	0.0121713	0.0145439	0.0162075	0.0354936	0.0909412	0.231417	0.599226
a23	0.0768541	0.0544074	0.0595851	0.0682107	0.117901	0.232124	0.390917
a87	0.0422841	0.0306085	0.0348166	0.0575073	0.121185	0.262978	0.450621
a10	0.0239921	0.0250507	0.0281159	0.0535073	0.114575	0.266894	0.487865
</S>	0.0438038	0.0374697	0.0375088	0.0582274	0.114598	0.266672	0.44172
