 	le	vent	a	arraché	le	toit	</S>
a23	0.461854	0.281107	0.121253	0.070108	0.0329415	0.0177082	0.015029
a87	0.378801	0.20852	0.109977	0.0988688	0.0634523	0.0623759	0.0780054
a23	0.193671	0.207251	0.175578	0.131104	0.084656	0.0880704	0.119669
a20	0.23321	0.207761	0.143551	0.106962	0.0862885	0.100696	0.121531
a58	0.373375	0.32407	0.16395	0.0769397	0.0336974	0.0195671	0.00840096
a54	0.220353	0.301272	0.292367	0.146965	0.0281376	0.00760118	0.00330455
a41	0.176443	0.255381	0.319533	0.18009	0.0419335	0.0159657	0.0106533
a26	0.260887	0.287623	0.258404	0.133205	0.0324865	0.0146452	0.0127502
a75	0.195223	0.273655	0.289068	0.139511	0.0503175	0.0268009	0.025425
a25	0.223285	0.254692	0.255772	0.151837	0.0581148	0.0282756	0.0280236
a94	0.224443	0.226584	0.224678	0.163716	0.0844401	0.0397536	0.0363859
a76	0.162315	0.149143	0.186181	0.17108	0.17818	0.0823401	0.0707605
a90	0.13134	0.105764	0.118112	0.135921	0.219073	0.157643	0.132147
a38	0.152096	0.142525	0.160994	0.146345	0.212275	0.10422	0.0815442
a24	0.0764975	0.0603502	0.0743262	0.0873218	0.261577	0.235063	0.204864
a35	0.0293883	0.017085	0.0210387	0.0311693	0.167387	0.341679	0.392253
a73	0.0213811	0.0104629	0.0111054	0.014134	0.0839097	0.338054	0.520952
a35	0.0207235	0.0103932	0.0105186	0.0131401	0.072569	0.314037	0.558618
a76	0.0151562	0.00663623	0.00565298	0.00669452	0.0409201	0.285974	0.638966
a73	0.0194347	0.0106906	0.0106919	0.0127789	0.0641607	0.323234	0.55901
a94	0.0115291	0.00591658	0.00546851	0.0071487	0.0574387	0.344431	0.568067
a38	0.0113836	0.0051832	0.00451266	0.00573066	0.0454787	0.296021	0.63169
a54	0.00808681	0.00396726	0.00307471	0.00379802	0.0370928	0.28777	0.65621
a73	0.0159786	0.0107871	0.0114996	0.0166237	0.081289	0.300404	0.563418
a84	0.00903813	0.00563483	0.00540063	0.00781325	0.0485305	0.25302	0.670562
a57	0.0102388	0.00645022	0.00664035	0.0095908	0.0291409	0.152724	0.785215
a87	0.0226921	0.0137907	0.0133875	0.0159178	0.0353965	0.171286	0.727529
</S>	0.0468556	0.0317126	0.0269264	0.0235359	0.0727077	0.285718	0.512544
