 	il	fait	cela	par	amusement	</S>
a23	0.468956	0.205608	0.0958355	0.0744497	0.0964824	0.0586678
a53	0.269657	0.181902	0.152758	0.175636	0.133207	0.0868399
a20	0.329873	0.202463	0.16141	0.168785	0.0858416	0.0516278
a30	0.459165	0.295693	0.142614	0.0753841	0.0183683	0.0087754
a35	0.452379	0.326227	0.143324	0.0529196	0.0173666	0.00778378
a30	0.390235	0.321769	0.173438	0.0696462	0.03043	0.0144807
a41	0.312341	0.292212	0.217294	0.0968525	0.0555868	0.0257143
a32	0.287639	0.289348	0.220895	0.109341	0.0635695	0.0292078
a30	0.182232	0.224247	0.262941	0.166565	0.114933	0.0490813
a38	0.209956	0.243721	0.233782	0.148311	0.109337	0.0548912
a41	0.158723	0.203043	0.221683	0.184485	0.157347	0.0747195
a14	0.108635	0.120028	0.155325	0.197019	0.24506	0.173933
a44	0.0338492	0.039515	0.0660551	0.149174	0.372908	0.338499
a38	0.0390085	0.0445647	0.0662936	0.11378	0.332718	0.403635
a94	0.024307	0.028905	0.0457148	0.100006	0.347102	0.453965
a35	0.0113205	0.014386	0.0261762	0.0757497	0.313122	0.559246
a24	0.00637896	0.0086398	0.0185585	0.0705123	0.300148	0.595763
a43	0.0047027	0.00684025	0.0134074	0.0551443	0.26154	0.658365
a75	0.0054169	0.00923024	0.0176094	0.0664157	0.2728	0.628528
a14	0.00351682	0.0062115	0.0132918	0.0633519	0.2429	0.670728
a35	0.00374044	0.00731674	0.0158862	0.0762694	0.287003	0.609784
a98	0.00517853	0.0100711	0.0220774	0.0912909	0.274316	0.597066
a14	0.0075317	0.0146869	0.0320915	0.110152	0.280805	0.554732
a73	0.00744174	0.0122924	0.0240018	0.0878393	0.278723	0.589701
a7	0.00701244	0.0129889	0.0261504	0.0899697	0.277426	0.586453
a57	0.00773482	0.013858	0.0252854	0.0916191	0.287055	0.574448
a87	0.0490873	0.0834627	0.107172	0.163522	0.287184	0.309572
a23	0.137718	0.124815	0.129383	0.167592	0.250522	0.189969
a87	0.171594	0.162958	0.154396	0.163917	0.194263	0.152872
a23	0.0866803	0.0828032	0.109974	0.18693	0.286701	0.246912
a87	0.0576133	0.0664145	0.101106	0.183889	0.317639	0.273338
a23	0.0526661	0.0530635	0.0915162	0.193232	0.286104	0.323419
a87	0.108826	0.121265	0.135997	0.156901	0.233207	0.243803
</S>	0.0927443	0.0864902	0.111613	0.160335	0.266269	0.282549
