 	il	y	a	de	la	moelle	dans	l'	os	</S>
a87	0.234766	0.169519	0.119728	0.109633	0.0671039	0.0783069	0.093497	0.0656146	0.0343196	0.027511
a10	0.161054	0.139296	0.107996	0.133056	0.102497	0.126464	0.0866133	0.0673193	0.0435942	0.0321104
a76	0.153624	0.16404	0.140503	0.123824	0.0841325	0.089449	0.0722339	0.0527124	0.0521686	0.0673129
a25	0.299908	0.21744	0.185339	0.13925	0.060839	0.0416115	0.0230054	0.0144839	0.0103761	0.00774663
a56	0.22524	0.20311	0.196928	0.16817	0.0783388	0.0640426	0.0356576	0.0126086	0.00842625	0.00747802
a43	0.227785	0.245859	0.221245	0.152446	0.058716	0.0512629	0.024794	0.00718591	0.0055531	0.00515231
a75	0.136844	0.173534	0.19529	0.174553	0.113131	0.093179	0.0555955	0.0256638	0.0167493	0.0154597
a25	0.104475	0.143178	0.182491	0.183719	0.136329	0.153423	0.0532839	0.0186262	0.0122557	0.0122204
a56	0.107787	0.121097	0.148766	0.16015	0.142611	0.137723	0.0910326	0.0382493	0.0252835	0.0273008
a35	0.0789235	0.0811004	0.0941675	0.10426	0.146734	0.157075	0.132283	0.0787645	0.0617465	0.0649453
a62	0.0389548	0.0394003	0.0515169	0.0704265	0.138244	0.20528	0.193084	0.109258	0.0810737	0.0727622
a0	0.0343866	0.0340334	0.0436891	0.0574093	0.112475	0.230699	0.222445	0.113697	0.0746924	0.0764729
a21	0.0417416	0.0317837	0.0333963	0.0386128	0.0550812	0.125926	0.220931	0.173841	0.135908	0.142779
a61	0.0329834	0.0297691	0.0343205	0.0429025	0.0605186	0.13004	0.182736	0.177398	0.160471	0.148861
a47	0.0309145	0.0247638	0.0276222	0.0342366	0.0481737	0.0995148	0.124645	0.162378	0.21474	0.233012
a24	0.0262779	0.0195687	0.0192846	0.0238908	0.0299016	0.0635294	0.0948784	0.147541	0.252207	0.32292
a0	0.0156999	0.0123226	0.0125429	0.0155776	0.0239773	0.0609851	0.088815	0.125214	0.248513	0.396353
a47	0.00675338	0.00548436	0.00619964	0.00912559	0.0193404	0.048791	0.0803724	0.145925	0.253574	0.424434
a24	0.0192128	0.0135748	0.01404	0.0213304	0.0300072	0.0512632	0.0794519	0.160425	0.259363	0.351332
a9	0.00443845	0.00348268	0.00425427	0.00714567	0.0131746	0.0257606	0.0378581	0.100988	0.288802	0.514096
a10	0.0621412	0.0414913	0.0409691	0.0590518	0.0566722	0.0792978	0.0694492	0.111153	0.189375	0.2904
a87	0.0480327	0.0352388	0.0378885	0.0484265	0.0621846	0.108829	0.104828	0.151323	0.170676	0.232573
a23	0.0597494	0.0478731	0.051522	0.0617167	0.0670241	0.130052	0.140596	0.150357	0.134864	0.156246
a99	0.0214399	0.0154209	0.0131093	0.0154661	0.0218177	0.0467716	0.0915404	0.154265	0.259429	0.360741
a97	0.0141932	0.0129862	0.0122856	0.0171398	0.0302447	0.0565347	0.0826771	0.140107	0.252309	0.381522
</S>	0.00909523	0.00931335	0.00841573	0.0122765	0.0239759	0.0501825	0.0642636	0.108721	0.252913	0.460843
