 	ils	ont	marché	toute	la	nuit	et	son	arrivés	à	l'	aube	</S>
a23	0.179753	0.104123	0.049991	0.034081	0.0320051	0.0413892	0.0504584	0.0601838	0.0775469	0.0536612	0.0444396	0.0925007	0.179867
a87	0.228567	0.159468	0.109607	0.100688	0.104339	0.075509	0.0421573	0.0313624	0.0419197	0.0300662	0.0186916	0.0223178	0.035308
a23	0.150425	0.11268	0.0861512	0.0957643	0.112383	0.0982953	0.0695366	0.0517526	0.0599168	0.0498418	0.0347077	0.0346769	0.0438681
a20	0.194418	0.144018	0.10139	0.0890233	0.0989923	0.0685803	0.0438891	0.0347345	0.0468783	0.0418466	0.0334757	0.0387111	0.0640431
a30	0.403333	0.243822	0.13054	0.0475423	0.0366287	0.0175946	0.0144078	0.0164838	0.0260708	0.0245483	0.0127197	0.0126492	0.0136594
a41	0.258562	0.194732	0.1407	0.077686	0.0703366	0.0407404	0.0369154	0.0451592	0.052124	0.050762	0.0171443	0.00887811	0.00625992
a37	0.157572	0.136931	0.118635	0.0923375	0.0933972	0.0696626	0.0624187	0.0731514	0.0774088	0.0704242	0.0247651	0.0127931	0.010503
a41	0.102185	0.101542	0.106712	0.0994057	0.106514	0.0881346	0.0728184	0.0826396	0.0988071	0.0829741	0.028839	0.0157261	0.0137026
a37	0.0548585	0.0633413	0.0878903	0.108179	0.123764	0.117293	0.0921448	0.110711	0.114448	0.0756955	0.0230101	0.0131661	0.0154991
a61	0.0386014	0.0385009	0.0548329	0.0800042	0.10142	0.120664	0.0991763	0.119424	0.153825	0.104522	0.0379683	0.0234536	0.0276075
a31	0.0371023	0.0369545	0.0504647	0.0852669	0.112626	0.145397	0.113264	0.123255	0.144025	0.0856519	0.0261714	0.0164109	0.0234112
a32	0.0340922	0.0366744	0.0505794	0.0893889	0.117514	0.14964	0.117775	0.127821	0.140788	0.0821191	0.021648	0.0125671	0.0193916
a25	0.0330415	0.0339891	0.0454676	0.0740387	0.0987505	0.141834	0.124803	0.136812	0.150467	0.0902616	0.0267011	0.0167849	0.0270489
a76	0.0232323	0.0259364	0.034606	0.0598585	0.0841414	0.136445	0.14778	0.140024	0.142715	0.0875943	0.0386868	0.0277823	0.0511987
a35	0.0243498	0.0246166	0.0326202	0.0448179	0.0617806	0.107871	0.115908	0.128721	0.154329	0.107313	0.0612723	0.0536241	0.0827769
a24	0.0159714	0.0184953	0.0278423	0.046039	0.0656924	0.111887	0.121534	0.123583	0.138689	0.0955006	0.0654382	0.0676485	0.10168
a32	0.0233452	0.0233919	0.0326684	0.0499506	0.0684449	0.104843	0.123755	0.126486	0.14758	0.105455	0.0622965	0.0521807	0.0796026
a25	0.0203915	0.0202759	0.0265887	0.0440638	0.0609401	0.0893894	0.112802	0.122198	0.163383	0.115316	0.0679569	0.0590998	0.0975941
a10	0.019405	0.0214251	0.0291846	0.0464028	0.0615498	0.0861294	0.126597	0.130212	0.153846	0.110774	0.0673328	0.0490412	0.0980997
a24	0.00952405	0.0111544	0.0178154	0.036489	0.0543915	0.0856628	0.124106	0.148627	0.177662	0.115623	0.0656121	0.0485735	0.104759
a71	0.0131192	0.013869	0.0183618	0.0323372	0.0498439	0.0777189	0.101059	0.124808	0.170646	0.126286	0.0759183	0.07034	0.125693
a75	0.0121222	0.0129447	0.0174323	0.0323538	0.0511914	0.0848515	0.111376	0.121293	0.170966	0.11747	0.0728319	0.0619076	0.133258
a30	0.0153804	0.0182965	0.0274478	0.0398789	0.0535346	0.0728475	0.0983078	0.125036	0.141161	0.111042	0.067463	0.0735445	0.15606
a84	0.00717821	0.00956462	0.0145372	0.0253376	0.0386069	0.0698013	0.101673	0.119927	0.150171	0.115265	0.0787027	0.0840597	0.185175
a57	0.00869211	0.0108761	0.0182103	0.0342479	0.0479468	0.066003	0.102024	0.111154	0.118845	0.0797989	0.0593555	0.0722795	0.270566
a87	0.0132879	0.0122731	0.0155386	0.0244205	0.0369401	0.0572228	0.0795314	0.0914817	0.0933814	0.0642659	0.0529189	0.074162	0.384576
a10	0.012964	0.0124529	0.0141157	0.0211118	0.0300151	0.0402393	0.0437142	0.0597708	0.0586756	0.0552501	0.0619894	0.12914	0.460562
a40	0.0234577	0.0178298	0.0153405	0.0179007	0.0240307	0.0346966	0.0449413	0.0518722	0.0544622	0.0515255	0.0629085	0.151403	0.449631
a41	0.0329673	0.0224662	0.0190076	0.0196619	0.0243182	0.0298681	0.0365757	0.0415081	0.0560899	0.0481816	0.0365769	0.0960113	0.536767
a2	0.019686	0.0198292	0.0240487	0.0305628	0.0420801	0.0618886	0.0789244	0.0973678	0.123609	0.0946103	0.0555812	0.077376	0.274436
a11	0.00893748	0.00851388	0.0101497	0.0143437	0.0225764	0.0386235	0.0536737	0.0573315	0.0747134	0.0525244	0.0571447	0.121344	0.480123
a47	0.0131591	0.0110783	0.0135846	0.0166219	0.0233596	0.0310731	0.0424042	0.0423968	0.0546399	0.0437629	0.0528592	0.11876	0.5363
a43	0.0076748	0.00837417	0.012132	0.021263	0.0298462	0.0400693	0.0515704	0.0555495	0.0660559	0.0516675	0.0520907	0.0953026	0.508404
a75	0.00975606	0.00963397	0.012689	0.0198612	0.0281342	0.0386926	0.0513889	0.0538581	0.0593644	0.0478197	0.0533664	0.103676	0.51176
a12	0.0176384	0.0190394	0.026475	0.0405554	0.0520521	0.0578697	0.066766	0.0733363	0.0853576	0.066823	0.0653551	0.0998477	0.328884
a96	0.00827236	0.00847166	0.0113947	0.0209003	0.0304185	0.0390876	0.0469344	0.0519845	0.0557043	0.0469268	0.0569918	0.112728	0.510185
a61	0.0114097	0.0113459	0.0145217	0.0259886	0.0370146	0.0453995	0.0539269	0.0581313	0.0599908	0.0521401	0.0716651	0.12124	0.437226
a12	0.00765749	0.00685921	0.00827429	0.0153911	0.0240544	0.0341128	0.0458427	0.0492501	0.0529515	0.0470483	0.0721427	0.134744	0.501671
a98	0.00893755	0.00822941	0.009818	0.0171202	0.0258227	0.0389682	0.0554668	0.0625245	0.0637534	0.0576969	0.0823869	0.128447	0.440828
a70	0.00745609	0.00739613	0.00927813	0.0170345	0.0258767	0.0362093	0.0483248	0.055662	0.0604228	0.0552358	0.0803596	0.146524	0.45022
a4	0.00473761	0.00447184	0.00530123	0.00998972	0.0167623	0.027136	0.0356449	0.0391277	0.0387824	0.0346984	0.0657951	0.164283	0.55327
a13	0.00167988	0.00157026	0.00168831	0.00355417	0.00658045	0.0121474	0.0176072	0.0186554	0.0208817	0.0199518	0.0505126	0.169561	0.67561
a9	0.0015677	0.0013498	0.00124114	0.00222728	0.00426751	0.00826417	0.0125501	0.0115908	0.0131277	0.0121539	0.03493	0.166152	0.730578
a87	0.0022649	0.00191266	0.0016491	0.00234443	0.00401311	0.0103169	0.0162376	0.0155208	0.0174314	0.0137667	0.0387942	0.158916	0.716832
</S>	0.0150541	0.00927241	0.00707893	0.007254	0.00933249	0.0168099	0.0255305	0.0229079	0.0293634	0.0273074	0.0776942	0.206946	0.545449
