 	sa	joue	s'	est	contusionnée	suite	à	la	giffle	qu'	il	a	reçue	</S>
a66	0.229677	0.1319	0.108095	0.0970575	0.0910351	0.045824	0.0385676	0.0439098	0.0585799	0.0410575	0.038074	0.0347015	0.0266682	0.0148536
a82	0.200103	0.0740173	0.0454785	0.0496962	0.0907232	0.0831965	0.0627907	0.0715423	0.0730359	0.0524429	0.0434708	0.0466879	0.0533669	0.053448
a3	0.127135	0.0653762	0.0656768	0.0697405	0.149499	0.0946558	0.0524256	0.0506469	0.0629507	0.0415606	0.0384429	0.0542021	0.0630541	0.0646345
a10	0.125791	0.0631943	0.0868206	0.11726	0.211791	0.093194	0.0462348	0.039497	0.0511882	0.0342697	0.0316781	0.0335467	0.0322901	0.0332447
a97	0.126733	0.0640426	0.088708	0.110823	0.163947	0.0702342	0.0417582	0.0400647	0.0523065	0.048767	0.054011	0.0564834	0.0459266	0.0361946
a9	0.123346	0.067844	0.0810422	0.0849105	0.112097	0.0525105	0.0321333	0.0352473	0.0489325	0.0538817	0.0769644	0.0962759	0.0762797	0.0585355
a53	0.153119	0.0880322	0.0780982	0.0621878	0.0651477	0.0269626	0.0189334	0.0212981	0.0317909	0.0452473	0.0939752	0.138417	0.101126	0.0756653
a90	0.170515	0.109784	0.0895975	0.0808186	0.0712745	0.0271078	0.020007	0.0176998	0.034624	0.0265936	0.048449	0.0926136	0.113653	0.0972622
a76	0.213407	0.170533	0.12868	0.119854	0.085964	0.03719	0.0322554	0.0290617	0.0421647	0.0197163	0.0196828	0.0260243	0.0297208	0.045746
a69	0.137731	0.162072	0.118169	0.115566	0.0950929	0.0658965	0.0602562	0.0508666	0.0600152	0.0290359	0.0217557	0.0220449	0.0242554	0.0372424
a98	0.0662183	0.108954	0.1023	0.127402	0.140331	0.0894995	0.0756092	0.0626653	0.0691965	0.0317229	0.024761	0.0261794	0.029362	0.0457996
a79	0.0598078	0.116586	0.114675	0.136154	0.111009	0.105394	0.0858349	0.0742176	0.0742367	0.0295503	0.0197556	0.0178598	0.0205169	0.0344021
a44	0.0381199	0.0871664	0.112772	0.161038	0.143835	0.118739	0.0887093	0.0752909	0.0701928	0.0224802	0.0146795	0.014378	0.0183554	0.034244
a90	0.0432842	0.0776857	0.10875	0.168437	0.166078	0.107603	0.0822123	0.0719035	0.0668429	0.0247563	0.014811	0.0139372	0.0185431	0.035156
a56	0.0267064	0.0543375	0.0864519	0.145406	0.161363	0.118592	0.0947367	0.0880901	0.0767366	0.030963	0.0186524	0.0182638	0.026366	0.0533339
a75	0.0242078	0.043953	0.0743874	0.13292	0.163225	0.128858	0.103185	0.0999189	0.0848247	0.0360179	0.0204498	0.018162	0.0248411	0.0450497
a24	0.00830217	0.0175839	0.0372146	0.0757106	0.122356	0.136153	0.121222	0.141428	0.109279	0.0624884	0.0421157	0.0330901	0.0365331	0.0565231
a61	0.00430637	0.0112653	0.0305506	0.0639348	0.121639	0.166369	0.142027	0.175386	0.135684	0.0465148	0.0228757	0.0170009	0.0224991	0.0399481
a62	0.00627709	0.011816	0.0258713	0.0517559	0.118636	0.151415	0.141639	0.179069	0.140377	0.064081	0.0328349	0.0209539	0.0221297	0.0331435
a83	0.00522368	0.0105777	0.0235825	0.0445092	0.103285	0.143479	0.150021	0.192202	0.150324	0.0680771	0.0344484	0.0204583	0.021979	0.0318327
a18	0.00422533	0.0098283	0.022942	0.0413986	0.0892793	0.128194	0.151943	0.199388	0.14719	0.0738791	0.0391293	0.0249774	0.0281886	0.0394373
a9	0.00329798	0.00726629	0.0135507	0.0238732	0.0584373	0.121956	0.184245	0.244965	0.156171	0.0792995	0.0361231	0.0202928	0.0216516	0.0288702
a99	0.00418729	0.00773476	0.0130453	0.0205239	0.0513708	0.129557	0.179736	0.237455	0.14674	0.0826223	0.0420989	0.0256968	0.0270828	0.0321487
a35	0.00626138	0.00907338	0.0138398	0.0206031	0.0637199	0.133303	0.161617	0.216826	0.129794	0.0824613	0.0472647	0.0328091	0.0388502	0.0435775
a98	0.00547169	0.00815798	0.0100807	0.0117757	0.0282485	0.0709606	0.0840566	0.118934	0.0834087	0.0681473	0.0695674	0.086716	0.117278	0.237197
a85	0.00283776	0.00680296	0.00990317	0.0127601	0.0242732	0.0690746	0.0794177	0.106301	0.0679713	0.0554681	0.0553885	0.0786732	0.14239	0.288738
a21	0.00329235	0.00751331	0.011556	0.0155944	0.0262307	0.0756747	0.0886423	0.12	0.0721955	0.0578484	0.053165	0.0651856	0.128175	0.274927
a92	0.00394749	0.00904193	0.0118626	0.014051	0.0270308	0.0711285	0.0821301	0.112961	0.0790306	0.0778479	0.0722285	0.0794047	0.115775	0.24356
a37	0.00223493	0.00622596	0.0101921	0.0128392	0.0228527	0.061873	0.076693	0.102863	0.0660311	0.0699348	0.0680613	0.0837646	0.137527	0.278907
a98	0.00138314	0.00426234	0.00889978	0.0126979	0.0237014	0.059428	0.0810789	0.105917	0.0608499	0.0571518	0.0605043	0.0941598	0.178787	0.251179
