 	il	y	a	des	punaises	dans	le	lit	je	ne	vais	pas	dormir	dedans	</S>
a15	0.204644	0.184776	0.222576	0.15696	0.0515551	0.0302916	0.0347717	0.036541	0.0262891	0.018032	0.0138104	0.00707127	0.00546475	0.00377813	0.00343933
a66	0.559496	0.25313	0.0608744	0.0258044	0.0112161	0.00537436	0.00693409	0.00915141	0.0104859	0.0102422	0.0114604	0.00745581	0.00977882	0.00959491	0.00900171
a87	0.405004	0.185975	0.0774289	0.0569126	0.0374831	0.0184226	0.0248089	0.0370162	0.0362772	0.0328573	0.0246239	0.0135789	0.0156064	0.0159158	0.0180895
a23	0.29927	0.166567	0.0727618	0.0566476	0.0448144	0.0237609	0.0379616	0.0588611	0.064904	0.0615851	0.0418274	0.0199131	0.0194709	0.017753	0.0139022
a40	0.203195	0.102558	0.0331982	0.0281531	0.0312301	0.0232791	0.0520541	0.0876454	0.108125	0.0893018	0.0609559	0.0360654	0.0440773	0.0457388	0.0544232
a44	0.134959	0.105159	0.0838434	0.0769263	0.0792035	0.052596	0.0739871	0.0857	0.070645	0.0616063	0.0574276	0.0364985	0.0325451	0.0252935	0.0236103
a4	0.218351	0.256191	0.211654	0.143661	0.0643697	0.0207308	0.0190502	0.013725	0.00955654	0.00701662	0.00715012	0.00539318	0.0072246	0.00707062	0.00885653
a93	0.154899	0.215125	0.175714	0.135915	0.11638	0.0500721	0.0372695	0.0317779	0.0191357	0.0124247	0.0124012	0.00929896	0.0116251	0.00806693	0.00989496
a54	0.117603	0.176929	0.169338	0.143599	0.121051	0.0673296	0.0446894	0.0376331	0.0242059	0.016268	0.0169864	0.015027	0.0191387	0.0147266	0.0154747
a85	0.0600838	0.124298	0.139853	0.138981	0.14296	0.0972251	0.0643081	0.0502645	0.0318797	0.0205611	0.0194472	0.0198941	0.0292436	0.0293071	0.0316936
a6	0.0851358	0.149196	0.165702	0.125056	0.116883	0.0932164	0.0596132	0.0511709	0.0278331	0.0157873	0.013953	0.014583	0.0212736	0.0243406	0.0362561
a61	0.107944	0.146991	0.186182	0.147831	0.11974	0.0780776	0.0496792	0.0422883	0.02355	0.013712	0.0114827	0.0107189	0.0138772	0.0179478	0.029978
a43	0.0754641	0.100787	0.12702	0.118221	0.0987935	0.0843642	0.064236	0.0771385	0.0673384	0.0506452	0.0418745	0.0305309	0.0254867	0.0189757	0.0191247
a11	0.0235239	0.0321846	0.0507803	0.0675118	0.0903983	0.120328	0.117585	0.154061	0.117845	0.0778592	0.0555597	0.0354421	0.0252829	0.0172366	0.0144024
a90	0.0168605	0.0206661	0.0337737	0.048253	0.070348	0.109918	0.121007	0.176946	0.141635	0.0894178	0.0618591	0.0375855	0.0264535	0.0231299	0.0221477
a93	0.0129706	0.0144591	0.0244785	0.0324597	0.053365	0.102508	0.109108	0.141227	0.140151	0.0936887	0.0654071	0.0512391	0.0443331	0.050851	0.0637549
a4	0.0220134	0.021061	0.0312424	0.0329759	0.0407631	0.0869627	0.106206	0.151039	0.13801	0.0952425	0.0696966	0.0461594	0.0376786	0.0487965	0.0721527
a13	0.0150025	0.015996	0.022793	0.0239229	0.0285751	0.0679414	0.0817325	0.104643	0.124104	0.107965	0.0854932	0.0723382	0.0634293	0.0826769	0.103388
a34	0.00920655	0.00830534	0.011395	0.0146936	0.0215644	0.0603691	0.0913441	0.149434	0.182333	0.148331	0.0971828	0.0657615	0.0451724	0.0445014	0.0504065
a21	0.0111508	0.0112479	0.0165351	0.0171949	0.0196887	0.0473405	0.071522	0.100531	0.123327	0.124525	0.10082	0.0882127	0.0778896	0.0875173	0.102499
a12	0.00467658	0.00530804	0.00953253	0.0106032	0.0145854	0.0466443	0.0594181	0.0770936	0.11273	0.11205	0.0916	0.0875437	0.0860869	0.132615	0.149513
a94	0.00413511	0.00569744	0.010067	0.0143405	0.0210978	0.053186	0.0676042	0.0898473	0.106392	0.103421	0.0816529	0.0794211	0.0773237	0.131033	0.154782
a13	0.00267825	0.00336544	0.00571692	0.00958131	0.0170114	0.0502933	0.0804487	0.109382	0.121428	0.112352	0.0793801	0.0773826	0.0762606	0.128204	0.126515
a57	0.00519532	0.00532024	0.00719988	0.014503	0.0309153	0.0642511	0.0883359	0.12277	0.146635	0.127611	0.0809772	0.0745375	0.0633807	0.0858439	0.0825243
a3	0.0101141	0.00948702	0.013242	0.0236225	0.049688	0.0723658	0.0750352	0.0870878	0.113889	0.129082	0.100435	0.0893869	0.0729513	0.0809207	0.0726934
a87	0.0283484	0.0217173	0.0186671	0.0219064	0.0433	0.068989	0.0693741	0.0646764	0.088377	0.114236	0.106494	0.102158	0.0852697	0.0797371	0.0867494
