 	c'	est	vraiment	insolite	de	voir	une	bête	bossue	</S>
a66	0.13167	0.18067	0.299651	0.210024	0.104094	0.0455207	0.0157133	0.00607862	0.00385461	0.00272443
a87	0.16203	0.146223	0.16646	0.252	0.14034	0.0583188	0.0273436	0.0163489	0.016741	0.0141935
a23	0.405227	0.259655	0.208807	0.0653442	0.0202754	0.00898356	0.00627773	0.00546834	0.0093192	0.0106426
a83	0.374096	0.249102	0.234004	0.072676	0.0143855	0.00576271	0.00541159	0.00925486	0.0158172	0.0194906
a62	0.189111	0.154031	0.253028	0.109857	0.0528533	0.0365793	0.0418285	0.0602874	0.0483329	0.0540911
a75	0.191863	0.192366	0.200741	0.233095	0.0955785	0.0366348	0.0206122	0.0160008	0.0067496	0.00635881
a92	0.125275	0.139225	0.176492	0.254793	0.14954	0.0610705	0.0394235	0.0301672	0.0113634	0.0126507
a98	0.0888961	0.104657	0.133345	0.300733	0.212269	0.0747044	0.0378768	0.0259032	0.00958701	0.0120287
a85	0.0649345	0.070425	0.0897423	0.218947	0.210424	0.146902	0.0985133	0.0542829	0.0222956	0.0235342
a5	0.0734608	0.0733259	0.0846161	0.180662	0.171645	0.142359	0.103573	0.0689803	0.0488112	0.0525663
a43	0.113975	0.130952	0.170215	0.211167	0.148226	0.10051	0.0520751	0.0271713	0.019783	0.0259269
a21	0.0955572	0.100979	0.136177	0.16557	0.17452	0.130029	0.0755749	0.042963	0.0337189	0.044911
a12	0.059553	0.0609949	0.103467	0.158378	0.185481	0.157553	0.102958	0.0669683	0.0460677	0.0585787
a18	0.0532795	0.0504422	0.0670551	0.089852	0.16007	0.175017	0.146146	0.0962748	0.0701092	0.0917543
a47	0.0505635	0.0655695	0.0799956	0.0451558	0.0757912	0.0934082	0.118506	0.136829	0.154008	0.180174
a62	0.0483643	0.0603429	0.0794479	0.0432103	0.0691567	0.100635	0.140143	0.13306	0.145281	0.180359
a47	0.0240071	0.0244531	0.0280341	0.0174778	0.0317922	0.0589819	0.132158	0.224466	0.21308	0.24555
a88	0.0252885	0.0270779	0.0322968	0.0199139	0.033113	0.0552096	0.107099	0.203572	0.219956	0.276474
a71	0.00977409	0.0109701	0.012577	0.00703273	0.013657	0.0243007	0.0574181	0.165546	0.278437	0.420287
a9	0.0132747	0.0223556	0.0408447	0.0184703	0.023706	0.0328904	0.0531205	0.12191	0.265561	0.407866
a87	0.0571827	0.0609556	0.0955271	0.0384182	0.0475025	0.0516359	0.0681572	0.145575	0.183338	0.251707
a23	0.121952	0.101848	0.111471	0.0969941	0.0973099	0.0832034	0.0931728	0.103141	0.0855412	0.105366
a50	0.0555248	0.0356437	0.0320852	0.0427365	0.0517996	0.0657399	0.104	0.163212	0.241065	0.208193
a83	0.00192611	0.0014771	0.00215974	0.00674828	0.0268285	0.0392883	0.0720091	0.21947	0.248848	0.381245
a71	0.000964331	0.000816068	0.00149577	0.00316039	0.0118393	0.023109	0.0563195	0.215081	0.259549	0.427666
a75	0.00468731	0.00504168	0.00785309	0.00714148	0.0163413	0.0237031	0.0523785	0.155205	0.321557	0.406091
a85	0.000480337	0.000489653	0.000818456	0.000958354	0.00329641	0.0098703	0.041648	0.189947	0.32331	0.429181
a5	0.000162463	0.000162287	0.000260961	0.000343148	0.00148978	0.00618948	0.0272486	0.106852	0.350758	0.506533
a6	0.000500914	0.0007105	0.00121246	0.00155371	0.00403	0.00933921	0.0262704	0.0948486	0.340289	0.521245
a37	0.000211987	0.000211134	0.000328608	0.000378173	0.00113873	0.0025345	0.010693	0.0721054	0.327782	0.584616
a92	0.000353496	0.000371678	0.000557537	0.000531686	0.0018005	0.00286754	0.00945717	0.0668344	0.32409	0.593136
a37	0.000150789	0.000126087	0.000189081	0.000168183	0.000575452	0.0014242	0.00716165	0.0567382	0.342283	0.591183
a70	0.000485947	0.000420414	0.000567547	0.000460465	0.00180942	0.00309859	0.0103901	0.0605016	0.30087	0.621396
a34	0.000410585	0.000351508	0.000461753	0.000501491	0.00227944	0.00374987	0.0122696	0.0705519	0.297871	0.611553
a12	0.00078345	0.000759656	0.00107883	0.00125118	0.00697415	0.0117281	0.0311346	0.110996	0.322797	0.512497
a18	0.000500415	0.000534582	0.000840298	0.00107924	0.00652081	0.0134939	0.0359644	0.111226	0.307246	0.522595
a25	0.00767283	0.00765654	0.00788811	0.00967805	0.0266708	0.0441753	0.0841213	0.169381	0.292319	0.350437
a87	0.146949	0.0886783	0.0904721	0.0515957	0.0569974	0.0637036	0.0881067	0.110037	0.154933	0.148527
a23	0.246292	0.154725	0.162714	0.0830678	0.0524686	0.0431107	0.0442447	0.0539851	0.0801047	0.0792876
a87	0.0835015	0.0476097	0.0345223	0.0178233	0.0233299	0.0228467	0.0407972	0.106655	0.240219	0.382696
a23	0.015242	0.00927994	0.00853469	0.00527757	0.0097254	0.0152971	0.0355755	0.0994689	0.312363	0.489236
a99	0.0355302	0.0173143	0.0115414	0.00962197	0.0175634	0.0212062	0.0496237	0.125941	0.288158	0.4235
a97	0.0283335	0.0135241	0.0106993	0.0103911	0.0228024	0.0265933	0.0527255	0.122048	0.285759	0.427124
</S>	0.0265315	0.0149168	0.0134616	0.0114166	0.0281306	0.0326035	0.0590494	0.123512	0.280434	0.409944
