 	prends	soin	de	l'	enfant	je	vais	puiser	de	l'	eau	</S>
a85	0.211093	0.119364	0.089729	0.0988336	0.0938602	0.0901368	0.0784234	0.0895874	0.06098	0.0332601	0.0192527	0.0154796
a66	0.238941	0.095713	0.0728947	0.0851469	0.0706794	0.0884923	0.080207	0.128225	0.0687263	0.0360816	0.0207299	0.0141628
a87	0.179164	0.142257	0.0998442	0.0861926	0.0615953	0.0589308	0.0549778	0.0659249	0.0420534	0.0441267	0.0621035	0.102829
a97	0.196526	0.170614	0.120485	0.087092	0.0623704	0.0631478	0.0606946	0.09254	0.0531958	0.0342922	0.0275439	0.0314988
a3	0.164215	0.152473	0.117751	0.0911671	0.0723521	0.068965	0.0646404	0.0922629	0.0608498	0.0434335	0.035487	0.0364034
a97	0.168026	0.1393	0.109463	0.0892641	0.074477	0.0693851	0.0644051	0.0913305	0.0641674	0.047623	0.0418377	0.0407218
a62	0.185763	0.135994	0.100727	0.0873368	0.0739262	0.0702712	0.0641637	0.0866851	0.0608852	0.0477948	0.0463984	0.0400539
a21	0.255967	0.143485	0.0834689	0.0757897	0.0539963	0.0586702	0.0609161	0.0938177	0.0610175	0.0463421	0.0400762	0.0264538
a92	0.290313	0.219113	0.13314	0.0982287	0.0592332	0.0485269	0.0374052	0.0447185	0.0239772	0.0175173	0.0153243	0.0125032
a98	0.197043	0.180737	0.138401	0.115969	0.0840734	0.0688875	0.0521744	0.0477974	0.0282347	0.0276888	0.0298797	0.0291135
a85	0.09945	0.139953	0.137403	0.131827	0.120053	0.106946	0.0815232	0.064272	0.029219	0.0257044	0.0310772	0.0325713
a92	0.0835109	0.153288	0.149793	0.136706	0.116618	0.1029	0.0799922	0.0582746	0.0245589	0.0229065	0.0316413	0.0398102
a6	0.0928114	0.146362	0.1494	0.142673	0.124314	0.105187	0.0809201	0.0597236	0.0255651	0.0205643	0.0242185	0.0282625
a7	0.0454062	0.112739	0.133544	0.140181	0.135413	0.122937	0.0972826	0.0724977	0.0327365	0.028672	0.035291	0.0432992
a26	0.0307817	0.0858085	0.109435	0.121728	0.126435	0.119256	0.101842	0.0823397	0.0419295	0.0430164	0.0585884	0.0788399
a82	0.0128195	0.0427129	0.0734736	0.105095	0.133305	0.134422	0.120532	0.111462	0.0648539	0.0529386	0.0640621	0.0843233
a3	0.0161473	0.063375	0.102254	0.122316	0.130902	0.124206	0.111865	0.105261	0.0646503	0.0502523	0.0507829	0.0579894
a83	0.0373832	0.0734548	0.101518	0.108461	0.113173	0.109992	0.10773	0.10908	0.0713499	0.0597865	0.0556719	0.0523999
a75	0.0155554	0.03922	0.0602378	0.0792589	0.0895326	0.0980627	0.108368	0.124259	0.0962313	0.0834788	0.0957895	0.110005
a5	0.0124016	0.0374883	0.0709174	0.0945258	0.118429	0.102609	0.0941328	0.0733277	0.0643978	0.0811551	0.113003	0.137612
a12	0.0185273	0.0416526	0.0617789	0.0774181	0.0877299	0.0821553	0.0860351	0.0812531	0.0906261	0.110747	0.123779	0.138298
a37	0.0133645	0.0276156	0.0418024	0.0592419	0.0768536	0.0837407	0.095309	0.102033	0.121562	0.132621	0.119169	0.126688
a93	0.00979877	0.0200339	0.0311551	0.0503228	0.07283	0.0829236	0.0958524	0.10304	0.133397	0.151454	0.123638	0.125554
a70	0.00736511	0.0135044	0.0191263	0.0334936	0.0539442	0.0627354	0.0753637	0.0834337	0.128445	0.181039	0.168857	0.172693
a66	0.00358332	0.00611257	0.00853505	0.0158846	0.0277868	0.0367337	0.0508761	0.0626699	0.122406	0.206095	0.218264	0.241052
a93	0.00561712	0.00751735	0.00945115	0.016025	0.0266751	0.0358166	0.0474222	0.0629234	0.114074	0.173774	0.204848	0.295856
a25	0.0020233	0.00297728	0.00433836	0.00844401	0.015642	0.0200883	0.0295876	0.0372398	0.0967696	0.200157	0.256271	0.326461
a79	0.000623918	0.00153597	0.00272167	0.00484268	0.00840225	0.00980788	0.0153439	0.0161862	0.0517593	0.138502	0.256614	0.493661
a44	0.000875975	0.00190747	0.00352633	0.00613832	0.0109746	0.0106585	0.0149742	0.0142358	0.0489624	0.123928	0.247812	0.516006
