 	on	m'	a	jeté	en	prison	arbitrairement	</S>
a87	0.146114	0.0940264	0.0764271	0.115177	0.367448	0.121131	0.0385339	0.0411423
a23	0.495635	0.0788793	0.0265634	0.0200273	0.0981889	0.132215	0.0692617	0.0792289
a40	0.20283	0.0666654	0.0278163	0.0254075	0.110276	0.106707	0.162716	0.297582
a2	0.318863	0.173126	0.0780232	0.0772899	0.0873675	0.0935607	0.0908735	0.0808965
a40	0.324035	0.203585	0.131983	0.116033	0.10044	0.0441602	0.0340053	0.0457584
a41	0.229156	0.154474	0.15216	0.140509	0.0990823	0.10687	0.0569405	0.0608087
a61	0.197738	0.154935	0.156009	0.173	0.125116	0.104793	0.04692	0.0414889
a85	0.206231	0.180347	0.212323	0.208141	0.12394	0.0384843	0.0148885	0.0156448
a11	0.146115	0.176126	0.206631	0.242324	0.113375	0.0498342	0.0325902	0.0330051
a75	0.142415	0.165815	0.227877	0.280786	0.125883	0.0267672	0.0152005	0.0152561
a73	0.151347	0.165762	0.186159	0.242907	0.131981	0.0495902	0.0360223	0.0362314
a44	0.108909	0.111703	0.141211	0.24829	0.216707	0.0781587	0.0451118	0.0499092
a15	0.109192	0.101059	0.108823	0.167844	0.205141	0.118372	0.0901186	0.0994515
a76	0.0800044	0.0806307	0.0771576	0.103314	0.152389	0.163598	0.168707	0.174199
a44	0.0447445	0.0410434	0.0432542	0.0612358	0.107107	0.171328	0.244505	0.286782
a84	0.0477313	0.0439276	0.0475149	0.0718708	0.111082	0.192446	0.241603	0.243824
a53	0.0274218	0.0220368	0.0221546	0.0339058	0.0656878	0.0973787	0.340349	0.391066
a90	0.0203263	0.0173988	0.0158814	0.0212068	0.0429204	0.17208	0.395044	0.315143
a56	0.0138401	0.0123638	0.0141721	0.0201665	0.0296894	0.107629	0.428552	0.373587
a96	0.00653068	0.00499744	0.00504589	0.00729528	0.0142203	0.076482	0.398783	0.486645
a83	0.00316734	0.00242488	0.0024175	0.00343013	0.00834637	0.0575635	0.358812	0.563838
a53	0.00181121	0.00122789	0.00129782	0.00186559	0.00660673	0.0542542	0.351871	0.581066
a76	0.0011532	0.000532005	0.000508793	0.000657433	0.00366977	0.0471803	0.347483	0.598816
a73	0.00745563	0.002912	0.00240047	0.00436049	0.0182235	0.0880232	0.287995	0.588629
a84	0.010148	0.0062568	0.00660479	0.00967229	0.0268934	0.117087	0.310996	0.512342
a87	0.0037407	0.00136676	0.000590875	0.000500931	0.00437815	0.0508413	0.324474	0.614107
a23	0.116748	0.0398309	0.0153841	0.013728	0.0341861	0.0502768	0.175462	0.554384
a87	0.0441711	0.0180633	0.0123264	0.0118163	0.0308064	0.107806	0.391191	0.38382
</S>	0.014194	0.00489631	0.00312606	0.00463091	0.0227465	0.116497	0.369686	0.464223
