 	je	cultive	un	champ	d'	arachides	</S>
a66	0.390092	0.194077	0.180818	0.10446	0.055544	0.0403437	0.0346658
a87	0.224624	0.172421	0.135923	0.114431	0.0977462	0.116765	0.138091
a97	0.414187	0.238328	0.0934978	0.0567369	0.04609	0.063188	0.0879728
a82	0.362417	0.246417	0.100085	0.063508	0.0608392	0.076675	0.0900594
a13	0.334805	0.22827	0.102076	0.0771381	0.0774083	0.0888611	0.0914407
a94	0.415584	0.18693	0.0910836	0.0608407	0.0589949	0.0976311	0.088936
a70	0.481074	0.198795	0.0932297	0.0639937	0.0459248	0.0607096	0.0562726
a75	0.473078	0.241468	0.108749	0.0664334	0.0373777	0.0358501	0.0370432
a85	0.354021	0.232392	0.144131	0.094647	0.0549407	0.0579633	0.0619043
a5	0.33222	0.259053	0.163898	0.0926889	0.0535641	0.0475869	0.0509893
a12	0.333625	0.234867	0.133553	0.0878581	0.0582945	0.066071	0.0857311
a43	0.184247	0.195404	0.158002	0.11948	0.0935391	0.104363	0.144963
a75	0.0926419	0.124624	0.143148	0.136237	0.125622	0.154346	0.223381
a85	0.0554611	0.114637	0.174847	0.175772	0.160593	0.153267	0.165422
a98	0.0249278	0.058348	0.124736	0.179372	0.189185	0.193706	0.229725
a6	0.0142767	0.0313188	0.0708265	0.129309	0.189827	0.262299	0.302142
a7	0.00929779	0.0159135	0.0416976	0.101979	0.204085	0.290472	0.336556
a94	0.00415621	0.00555078	0.011969	0.0341924	0.118541	0.293357	0.532233
a98	0.00138902	0.0020073	0.00496659	0.0159224	0.0763953	0.276604	0.622715
a92	0.000908094	0.00159636	0.00419402	0.014716	0.0855309	0.276781	0.616274
a56	0.00124913	0.00196619	0.00496029	0.0164923	0.0861022	0.261798	0.627432
a93	0.000878481	0.00168071	0.00477791	0.0165485	0.0918384	0.273878	0.610398
a4	0.00113614	0.00204357	0.00569999	0.0197809	0.0955665	0.278267	0.597506
a57	0.00224648	0.00389825	0.0103754	0.0313554	0.103841	0.274276	0.574008
a3	0.00368939	0.005736	0.0135084	0.0357657	0.106041	0.289021	0.546239
a97	0.0237042	0.0231517	0.028433	0.0479065	0.129673	0.275659	0.471472
a87	0.130942	0.105139	0.0953273	0.100306	0.135674	0.18193	0.250681
a97	0.153408	0.115214	0.103519	0.10533	0.135333	0.174962	0.212235
</S>	0.0594109	0.0388029	0.0360051	0.049484	0.115125	0.268729	0.432444
