 	le	vent	éteint	le	feu	</S>
a57	0.378213	0.236381	0.157068	0.112046	0.068933	0.0473595
a87	0.210633	0.113962	0.131755	0.152199	0.182321	0.20913
a79	0.500132	0.147572	0.102415	0.0816112	0.0807501	0.087519
a15	0.432759	0.166514	0.186459	0.0994894	0.0629052	0.0518735
a25	0.426342	0.273956	0.167486	0.055875	0.0388151	0.0375264
a58	0.316431	0.374734	0.206139	0.0497304	0.0295435	0.023421
a82	0.257091	0.328147	0.218346	0.0846281	0.0602233	0.0515653
a75	0.124537	0.191803	0.210922	0.146371	0.144024	0.182344
a44	0.210467	0.26773	0.185477	0.10747	0.104498	0.124358
a26	0.243246	0.282442	0.202683	0.0977261	0.0860204	0.087882
a75	0.227086	0.278738	0.224639	0.118901	0.0814646	0.069171
a92	0.107205	0.183355	0.245066	0.164799	0.155231	0.144344
a94	0.0883347	0.158413	0.247728	0.188774	0.167669	0.149081
a75	0.0637741	0.0857054	0.221757	0.276371	0.204828	0.147564
a13	0.0422359	0.0549666	0.13477	0.230453	0.265051	0.272523
a62	0.0202717	0.025164	0.0882214	0.256464	0.317648	0.292231
a96	0.01733	0.0254475	0.077584	0.23411	0.327801	0.317727
a61	0.00898883	0.0129231	0.0457436	0.164456	0.333947	0.433942
a0	0.00390794	0.00586737	0.0260643	0.122332	0.322843	0.518986
a75	0.00159137	0.00251194	0.0153243	0.0822961	0.303364	0.594913
a37	0.00133569	0.00273253	0.017977	0.066112	0.258638	0.653205
a62	0.000631509	0.00128246	0.0107108	0.0537333	0.249535	0.684107
a21	0.00159838	0.00268805	0.0159059	0.0662608	0.264971	0.648576
a6	0.00146419	0.00289903	0.0157682	0.0551442	0.232463	0.692262
a7	0.000869537	0.00221283	0.0156643	0.0568281	0.236389	0.688037
a57	0.000333645	0.0014371	0.0106404	0.0480182	0.216984	0.722587
a87	0.0172532	0.0205242	0.0422441	0.0924879	0.230767	0.596723
a23	0.158239	0.0890134	0.107657	0.146949	0.224195	0.273947
a87	0.047558	0.0404719	0.0684651	0.143092	0.298691	0.401723
a97	0.00799587	0.00875835	0.0290369	0.132697	0.323166	0.498346
a87	0.0342197	0.0371552	0.0871441	0.200634	0.280153	0.360694
a97	0.027321	0.0309798	0.0776972	0.199775	0.285464	0.378763
a38	0.0476236	0.0589302	0.133233	0.210608	0.257193	0.292412
a9	0.027672	0.0281717	0.0705924	0.203046	0.296222	0.374296
a87	0.0310239	0.0271542	0.0789274	0.189112	0.273671	0.400112
</S>	0.0225506	0.0256977	0.0708625	0.205045	0.29401	0.381835
