 	il	accélère	sa	course	</S>
a23	0.334264	0.215609	0.185819	0.125277	0.139031
a30	0.298801	0.177477	0.146775	0.190052	0.186894
a53	0.255275	0.174568	0.158947	0.21552	0.195691
a20	0.251943	0.206876	0.241233	0.161795	0.138153
a14	0.398525	0.246973	0.175421	0.10375	0.0753306
a35	0.593773	0.233192	0.101993	0.0432744	0.0277674
a27	0.586598	0.213962	0.113964	0.0507865	0.0346895
a30	0.494249	0.200074	0.150366	0.0823607	0.0729514
a38	0.497909	0.2169	0.15557	0.0740549	0.0555653
a24	0.508332	0.226887	0.14755	0.0694642	0.0477671
a41	0.4157	0.229151	0.173169	0.0991769	0.0828033
a35	0.212706	0.157813	0.181961	0.194772	0.252748
a75	0.150748	0.121296	0.161281	0.224737	0.341937
a14	0.117553	0.0990425	0.168535	0.230429	0.384441
a35	0.0808857	0.080695	0.171835	0.287925	0.378659
a66	0.0457483	0.0564335	0.125526	0.248736	0.523556
a26	0.0115523	0.0151736	0.0394363	0.222982	0.710856
a24	0.00842485	0.00987597	0.0325654	0.208665	0.740469
a9	0.0038032	0.00674604	0.0291435	0.215381	0.744926
a87	0.00779336	0.0102312	0.0389355	0.202315	0.740725
a23	0.00995973	0.0136372	0.0476363	0.181736	0.747031
a87	0.0462606	0.0413441	0.0983832	0.230479	0.583533
</S>	0.0513971	0.0635854	0.133372	0.273049	0.478596
