 	sa	barbe	pousse	vite	</S>
a23	0.367081	0.225095	0.132984	0.131673	0.143167
a62	0.51008	0.155369	0.0841257	0.101897	0.148529
a12	0.53467	0.277113	0.0912538	0.0544185	0.042545
a62	0.608252	0.23701	0.0674965	0.0429131	0.0443286
a50	0.586843	0.258498	0.0669683	0.0431251	0.0445661
a47	0.516978	0.317011	0.0801324	0.0432468	0.0426321
a75	0.395565	0.361169	0.101477	0.0696743	0.0721142
a85	0.27063	0.333656	0.163672	0.116351	0.115692
a79	0.269544	0.307711	0.162086	0.124805	0.135853
a15	0.172912	0.263508	0.189213	0.179572	0.194795
a98	0.138725	0.23745	0.203967	0.19187	0.227989
a92	0.0736948	0.159031	0.225181	0.258223	0.28387
a37	0.0623628	0.138666	0.226695	0.277517	0.294759
a47	0.05669	0.119258	0.189601	0.279945	0.354506
a62	0.0463366	0.096008	0.176708	0.285941	0.395007
a75	0.0334457	0.0658267	0.162627	0.332702	0.405398
a92	0.0389898	0.0713324	0.141138	0.308175	0.440365
a56	0.0242098	0.048649	0.121628	0.341049	0.464464
a93	0.0153005	0.0303122	0.085407	0.300936	0.568044
a13	0.00725489	0.016605	0.0650634	0.311846	0.599231
a38	0.00578095	0.0105875	0.0349237	0.210576	0.738132
a93	0.012802	0.0160344	0.0475878	0.233527	0.690048
a70	0.00720456	0.00841149	0.0311351	0.23509	0.718159
a99	0.00935626	0.0103305	0.0303036	0.239813	0.710196
a9	0.0270168	0.0280669	0.0683923	0.285664	0.59086
a87	0.122409	0.0973387	0.142822	0.264977	0.372453
a23	0.27152	0.155597	0.135977	0.194032	0.242874
a87	0.0913805	0.0523702	0.102251	0.300981	0.453018
</S>	0.0158836	0.0146822	0.0735088	0.330309	0.565616
