 	on	lui	fait	des	massages	au	pied	</S>
a23	0.353584	0.194174	0.157404	0.113901	0.0497932	0.0620158	0.0377782	0.0313495
a99	0.492713	0.186893	0.154231	0.0566116	0.0290152	0.0308741	0.0242824	0.0253793
a20	0.348208	0.185811	0.162364	0.0772482	0.0560819	0.0616912	0.0513762	0.0572198
a73	0.447946	0.255804	0.136018	0.053134	0.040697	0.0276317	0.0209717	0.0177968
a2	0.304222	0.228699	0.191862	0.119888	0.0887946	0.0379151	0.0173677	0.0112513
a53	0.251116	0.217428	0.164525	0.109831	0.111246	0.0623171	0.0448966	0.0386399
a20	0.147204	0.165306	0.154119	0.147405	0.154771	0.084324	0.069466	0.0774048
a58	0.231638	0.231832	0.215708	0.150308	0.0847991	0.0342626	0.0256211	0.0258316
a53	0.192668	0.220318	0.219854	0.182027	0.0962997	0.0356716	0.0264206	0.0267412
a94	0.149331	0.163916	0.177026	0.181484	0.136034	0.0725578	0.0581435	0.0615073
a54	0.135469	0.152024	0.159537	0.189625	0.152341	0.0835053	0.0625968	0.064901
a73	0.129929	0.130158	0.129868	0.144718	0.132881	0.113541	0.105769	0.113135
a44	0.125594	0.142937	0.136303	0.161262	0.134739	0.103267	0.0926013	0.103296
a75	0.116916	0.125066	0.112937	0.125957	0.132152	0.121533	0.121824	0.143616
a12	0.0918582	0.0995545	0.0920466	0.121467	0.140673	0.134756	0.143785	0.175859
a66	0.0454626	0.0459552	0.037997	0.0530492	0.0859974	0.162112	0.23617	0.333256
a25	0.040009	0.0366997	0.0280994	0.0364624	0.0627358	0.14874	0.260961	0.386293
a84	0.0241025	0.0178763	0.0113673	0.0121712	0.0296922	0.0929371	0.260462	0.551392
a13	0.0233054	0.0159499	0.00988139	0.00871809	0.0136905	0.0583474	0.231495	0.638612
a9	0.0517715	0.0309768	0.0170655	0.0120545	0.0162845	0.0498545	0.199942	0.622051
a87	0.0314718	0.021598	0.0129174	0.00889598	0.0109441	0.0401557	0.173478	0.700539
a23	0.037318	0.0399304	0.0285216	0.01959	0.0169049	0.0664669	0.194025	0.597244
a87	0.0878013	0.0945075	0.076737	0.0595032	0.0375607	0.0931126	0.166711	0.384066
</S>	0.0485258	0.0495571	0.0397943	0.0370442	0.0333748	0.0991185	0.205656	0.486929
