 	tu	apporteras	de	l'	eau	seulement	pour	toi	même	</S>
a66	0.21483	0.137974	0.223726	0.199051	0.132696	0.0464846	0.0218018	0.0122193	0.00650589	0.00471084
a87	0.246634	0.0873091	0.184264	0.185222	0.130148	0.0915143	0.037109	0.0180429	0.0104937	0.00926335
a23	0.26101	0.201821	0.193414	0.153574	0.0877866	0.0484877	0.0176625	0.0131524	0.0109797	0.0121112
a83	0.345383	0.261184	0.130794	0.0749648	0.0358128	0.0370247	0.0316886	0.027105	0.0267248	0.0293187
a93	0.245534	0.228752	0.133924	0.0857029	0.0732338	0.0632755	0.0419158	0.0345425	0.0412059	0.0519142
a90	0.151572	0.261885	0.15573	0.159078	0.140078	0.0885985	0.0194692	0.0100079	0.0071298	0.00645235
a93	0.101417	0.251176	0.135368	0.139183	0.119877	0.141612	0.0580563	0.0246559	0.0148108	0.0138441
a44	0.0757894	0.211611	0.119359	0.142209	0.12385	0.163839	0.0873148	0.0365842	0.0207575	0.0186851
a75	0.0537585	0.103256	0.0941312	0.127584	0.128358	0.217648	0.145636	0.0630587	0.0329234	0.033646
a21	0.0446955	0.0586216	0.0604871	0.0963686	0.136441	0.209123	0.171479	0.112114	0.0598799	0.0507897
a85	0.0373211	0.0409336	0.0503836	0.0764913	0.0735456	0.186002	0.225562	0.137992	0.0858601	0.0859077
a92	0.00868128	0.0125894	0.0157952	0.0299341	0.0455421	0.123228	0.251501	0.227999	0.149378	0.135352
a98	0.00559217	0.00629754	0.00694814	0.0160935	0.0255802	0.123289	0.298492	0.239506	0.147081	0.131119
a47	0.00280935	0.0041697	0.00374295	0.00935339	0.0206875	0.10165	0.281189	0.266372	0.166273	0.143753
a85	0.00125043	0.00231195	0.00130442	0.0022728	0.00572112	0.0323823	0.146453	0.252191	0.246053	0.31006
a47	0.00059563	0.00137063	0.00046093	0.000684315	0.00197259	0.0173653	0.0909582	0.237401	0.299091	0.350101
a79	0.000318698	0.000499747	0.000196031	0.00021598	0.000622693	0.00539278	0.0599907	0.221758	0.329157	0.381848
a37	0.000183916	0.000346281	0.000145472	0.000207783	0.00072223	0.00589435	0.0603295	0.178859	0.309777	0.443535
a92	0.0011023	0.00133229	0.000662943	0.000795985	0.00186272	0.00549073	0.0312415	0.106994	0.324371	0.526146
a21	0.000244213	0.000389513	0.000167302	0.000222209	0.000662915	0.00229298	0.0166352	0.0836947	0.316164	0.579527
a5	0.000362375	0.000497171	0.000243426	0.000340906	0.000955763	0.0031935	0.015747	0.0737498	0.306459	0.598451
a12	0.000428918	0.000728374	0.000314271	0.00044974	0.0012775	0.00475426	0.019901	0.0842084	0.292754	0.595183
a18	0.000574746	0.000756073	0.000708517	0.00125963	0.00442819	0.0186586	0.0605888	0.151458	0.302103	0.459465
a25	0.0073904	0.00685266	0.00687109	0.00733028	0.0118186	0.0229309	0.0796037	0.171989	0.273057	0.412157
a87	0.123065	0.0916579	0.0780259	0.0571847	0.0435375	0.0552857	0.0968591	0.118209	0.131815	0.20436
a23	0.191321	0.170586	0.187332	0.166626	0.0935071	0.0535002	0.0425772	0.036379	0.0282747	0.0298972
a99	0.0333037	0.035663	0.0321822	0.0216475	0.0175781	0.021704	0.0445988	0.108005	0.270643	0.414674
a97	0.0115463	0.0177071	0.0140165	0.00955922	0.00932726	0.0195928	0.0675844	0.155097	0.27096	0.42461
</S>	0.00483596	0.00677521	0.00550355	0.00480969	0.00590035	0.0132761	0.0636578	0.170981	0.288651	0.435609
