 	le	boy	prépare	le	repas	</S>
a10	0.392267	0.212889	0.139945	0.115157	0.0779577	0.061785
a9	0.157551	0.164476	0.196571	0.1911	0.157015	0.133287
a18	0.283488	0.179753	0.1413	0.134495	0.130592	0.130373
a90	0.355083	0.196261	0.149859	0.117245	0.0925556	0.0889966
a15	0.43772	0.240601	0.101632	0.0743819	0.0684761	0.0771894
a98	0.603283	0.273582	0.0516814	0.0262685	0.02109	0.0240954
a75	0.579538	0.311942	0.0552201	0.0255034	0.0148879	0.0129087
a61	0.431358	0.391197	0.0917408	0.0408194	0.0239627	0.0209225
a11	0.392892	0.35864	0.120993	0.0585533	0.0362235	0.0326975
a90	0.169859	0.263185	0.207904	0.145699	0.112038	0.101315
a44	0.11074	0.238024	0.206223	0.163549	0.135943	0.145522
a90	0.0591857	0.157938	0.217687	0.211285	0.180994	0.17291
a98	0.0342921	0.11816	0.240703	0.223943	0.187084	0.195818
a85	0.0245663	0.074765	0.187666	0.218853	0.223508	0.270642
a37	0.0338726	0.0761442	0.153925	0.200753	0.237538	0.297767
a98	0.0137298	0.0285983	0.0948809	0.183914	0.290406	0.388471
a85	0.0119689	0.0248721	0.0797717	0.1524	0.285762	0.445225
a36	0.0100139	0.0211649	0.0636831	0.135927	0.290643	0.478568
a26	0.0024392	0.00679338	0.027341	0.082571	0.294897	0.585959
a21	0.00512544	0.0132104	0.0313375	0.0984537	0.304528	0.547345
a5	0.0020277	0.0058943	0.0218532	0.0692911	0.271067	0.629867
a2	0.0031131	0.0118078	0.0355455	0.101344	0.295621	0.552568
a30	0.0228997	0.0366669	0.0653731	0.127346	0.285105	0.462609
a10	0.214047	0.163708	0.148921	0.147965	0.161627	0.163732
</S>	0.107253	0.113752	0.144997	0.196844	0.22093	0.216224
