 	ce	régime	de	noix	de	palme	est	mûr	</S>
a66	0.157988	0.211849	0.248033	0.251115	0.066696	0.027838	0.0204849	0.0108806	0.00511607
a87	0.113464	0.123735	0.10047	0.0789246	0.0594736	0.0665643	0.0946641	0.175126	0.187578
a97	0.229782	0.162168	0.119913	0.117514	0.0686322	0.0616693	0.0803542	0.0926972	0.0672695
a83	0.226702	0.220967	0.129128	0.131356	0.076527	0.0633002	0.0674093	0.0508434	0.033768
a50	0.231095	0.231982	0.165098	0.174475	0.0868972	0.0461797	0.0400884	0.0160848	0.00809987
a83	0.282572	0.178159	0.131566	0.151077	0.0807874	0.0668699	0.0736538	0.029356	0.00595938
a71	0.320616	0.177923	0.101844	0.133243	0.0709413	0.0622951	0.0771624	0.0461361	0.00983952
a62	0.241451	0.12682	0.0840503	0.118766	0.0764822	0.081401	0.114111	0.114333	0.0425839
a93	0.207569	0.133747	0.0968485	0.12707	0.0887258	0.0877033	0.109402	0.107562	0.0413737
a96	0.148265	0.144384	0.108926	0.132104	0.095947	0.0890443	0.104693	0.111971	0.0646665
a34	0.135894	0.131347	0.101803	0.123228	0.0928543	0.0879824	0.106533	0.129872	0.0904858
a98	0.115283	0.157222	0.154711	0.183062	0.112283	0.076465	0.0741405	0.0730951	0.0537383
a92	0.0507929	0.127365	0.152232	0.160898	0.128596	0.102149	0.114144	0.0844383	0.0793862
a37	0.0724224	0.172657	0.184848	0.182291	0.123498	0.0822436	0.0769939	0.057331	0.0477157
a21	0.0486646	0.155874	0.175897	0.176311	0.134368	0.0913813	0.0843109	0.0690093	0.0641844
a85	0.0331891	0.102853	0.123574	0.107366	0.104702	0.119959	0.126192	0.157336	0.124829
a36	0.0126717	0.0472064	0.0583729	0.0499113	0.0670503	0.0967702	0.143098	0.206305	0.318614
a5	0.010782	0.0519908	0.0786687	0.0732712	0.153513	0.149701	0.132159	0.138445	0.21147
a61	0.00945858	0.0360803	0.064161	0.0536079	0.10384	0.152843	0.154357	0.165004	0.260647
a62	0.00508739	0.0183735	0.0308148	0.0268675	0.0711261	0.123446	0.135433	0.183488	0.405364
a88	0.00203785	0.00700524	0.0118613	0.0118553	0.0406229	0.0842212	0.114276	0.253827	0.474293
a62	0.0015135	0.00534749	0.00920926	0.0126833	0.044785	0.0802029	0.115622	0.229223	0.501413
a12	0.00166432	0.00470736	0.00914721	0.0121109	0.0438169	0.0801772	0.110415	0.219945	0.518017
a96	0.000618121	0.00183829	0.00318828	0.00324171	0.0163795	0.044173	0.0760364	0.236263	0.618262
a18	0.000469689	0.0014139	0.00280764	0.00375003	0.0185413	0.0450872	0.0738158	0.1857	0.668414
a71	0.00624243	0.0108732	0.0174404	0.0199538	0.052786	0.0868063	0.0849486	0.176848	0.544101
a9	0.0341183	0.0381598	0.0514804	0.0465676	0.0726748	0.0996416	0.0903282	0.170192	0.396837
a99	0.0587693	0.066784	0.08215	0.0692131	0.0789133	0.1045	0.100218	0.167636	0.271817
a97	0.0577045	0.0662124	0.0711772	0.0618208	0.0655499	0.0795199	0.0778472	0.139033	0.381135
a99	0.0346566	0.0431858	0.0577032	0.0542172	0.0700396	0.0886401	0.0895761	0.168246	0.393736
a97	0.00768931	0.00873087	0.0127487	0.0114125	0.0185777	0.032088	0.052232	0.145705	0.710816
a99	0.0079421	0.0180158	0.0239494	0.0208675	0.0247367	0.0345127	0.0500549	0.113194	0.706727
a97	0.0061113	0.0130366	0.0163769	0.0149017	0.0185755	0.0285475	0.045031	0.113779	0.743641
a99	0.0289711	0.0513907	0.0561387	0.0465066	0.0445902	0.0503655	0.0618837	0.117499	0.542654
a3	0.0110951	0.021399	0.0259904	0.0246258	0.0271817	0.0379899	0.0587235	0.132254	0.66074
a99	0.0306512	0.0566681	0.0591945	0.0466383	0.0443001	0.0516913	0.0655813	0.124185	0.52109
</S>	0.0188883	0.0374385	0.0435151	0.0358689	0.0356982	0.0431254	0.0582887	0.123876	0.603301
