 	il	a	arraché	les	souches	</S>
a23	0.540177	0.308354	0.0883926	0.0238373	0.0193016	0.019938
a85	0.531246	0.221615	0.116006	0.0521553	0.0399863	0.038991
a87	0.48143	0.249755	0.0965031	0.0570232	0.0511727	0.0641159
a23	0.344046	0.275509	0.196201	0.0751793	0.0524912	0.0565737
a79	0.136577	0.122679	0.17154	0.202737	0.204422	0.162044
a20	0.39639	0.273984	0.100459	0.0905477	0.0975038	0.0411155
a73	0.274226	0.326619	0.266486	0.086975	0.0332845	0.0124098
a35	0.244166	0.286339	0.315385	0.100207	0.0372551	0.0166471
a24	0.198729	0.258939	0.333125	0.137773	0.0495199	0.0219134
a32	0.159955	0.229113	0.324226	0.152649	0.0838965	0.0501604
a71	0.128595	0.194574	0.298681	0.152487	0.141485	0.0841787
a24	0.100808	0.135476	0.243652	0.15749	0.198863	0.163711
a26	0.0736977	0.0945384	0.152517	0.137714	0.23195	0.309584
a24	0.0721025	0.0996919	0.182633	0.149063	0.227152	0.269358
a32	0.0703412	0.0774852	0.101717	0.124486	0.237203	0.388768
a25	0.0583151	0.0562925	0.0593973	0.0984581	0.232538	0.494999
a38	0.019203	0.0204043	0.029296	0.0832602	0.261886	0.585951
a73	0.0146963	0.0114866	0.0157636	0.0539286	0.229268	0.674857
a35	0.00705786	0.00489332	0.00901027	0.0530124	0.2752	0.650826
a73	0.0083118	0.00583208	0.01372	0.0691216	0.313349	0.589665
a2	0.00859055	0.00649319	0.0138648	0.0710597	0.309678	0.590314
a57	0.00250686	0.00230948	0.00750507	0.0377052	0.165688	0.784285
a87	0.00872215	0.00645195	0.0114207	0.0333981	0.138531	0.801476
</S>	0.02416	0.0219438	0.022486	0.0706042	0.162233	0.698573
