 	la	lie	du	vin	de	palme	est	restée	dans	le	fond	de	la	calebasse	</S>
a66	0.104277	0.118557	0.109694	0.112076	0.0883714	0.0663106	0.0591237	0.0458503	0.0818036	0.0823806	0.0688943	0.0287761	0.0137641	0.0104814	0.00964123
a87	0.236451	0.141149	0.118848	0.0948076	0.0591647	0.0495254	0.0342432	0.0249801	0.0311747	0.0485133	0.0608167	0.03713	0.022442	0.0198241	0.020929
a23	0.20615	0.177564	0.139886	0.0770994	0.0650438	0.0551004	0.0563802	0.037229	0.041916	0.0468931	0.0414263	0.0206347	0.0113708	0.010645	0.0126615
a87	0.213745	0.185489	0.114758	0.0599202	0.0456719	0.0401056	0.0482301	0.026946	0.0611437	0.0795389	0.0567242	0.0268825	0.0132189	0.0114213	0.0162032
a85	0.202568	0.183592	0.112489	0.0602165	0.0482229	0.0426112	0.0523475	0.0309375	0.0537768	0.0754179	0.0712966	0.0295892	0.0146274	0.0108543	0.0114536
a87	0.196183	0.156169	0.0912951	0.0477464	0.0382026	0.0332807	0.0411163	0.0272214	0.0488439	0.0701124	0.105907	0.0619311	0.025807	0.0220838	0.0341002
a23	0.166354	0.124353	0.0870773	0.0565498	0.0472179	0.0393871	0.0498414	0.035515	0.045316	0.0524174	0.107154	0.0720878	0.0369275	0.0330145	0.0467881
a83	0.18112	0.117607	0.0817219	0.0564552	0.0446387	0.0340656	0.0404581	0.0277865	0.0407951	0.0497373	0.126783	0.0828327	0.03728	0.0328521	0.0458673
a90	0.173813	0.0906828	0.0680326	0.0648161	0.0537708	0.0449108	0.0444533	0.0229037	0.0527726	0.0617111	0.107882	0.0819914	0.0444268	0.0448659	0.0429679
a92	0.166757	0.0695744	0.0562615	0.0567837	0.0537901	0.0535664	0.0639891	0.0347917	0.0443057	0.0444212	0.0921717	0.0681261	0.0574679	0.0638731	0.0741207
a41	0.0657657	0.0369986	0.0297702	0.0366446	0.040014	0.0441584	0.05173	0.0363449	0.0655321	0.0732606	0.111544	0.1074	0.0915	0.0996045	0.109732
a21	0.0443324	0.03543	0.0293571	0.0388622	0.0431341	0.0528742	0.0563441	0.0483273	0.065959	0.0696336	0.0907001	0.0837524	0.0900154	0.113766	0.137512
a98	0.057886	0.0544509	0.048979	0.0575336	0.061806	0.0710464	0.0880468	0.0660476	0.0790543	0.0752747	0.0795216	0.0501441	0.0514868	0.0685701	0.0901523
a92	0.0221801	0.0374238	0.0300958	0.0460297	0.0558649	0.0770267	0.0772174	0.0772048	0.0889741	0.0827863	0.0804021	0.0569794	0.0654311	0.0917345	0.110649
