 	la	maman	caresse	l'	enfant	</S>
a66	0.424905	0.379747	0.119706	0.0306052	0.0227151	0.0223214
a87	0.45948	0.316375	0.126568	0.0445089	0.0290838	0.0239848
a23	0.574311	0.266568	0.0813099	0.0301027	0.0246118	0.0230959
a99	0.499967	0.246463	0.0809553	0.0520257	0.0571752	0.0634134
a30	0.332332	0.213613	0.128577	0.10445	0.101283	0.119745
a53	0.293244	0.254407	0.162462	0.0895312	0.0963101	0.104046
a90	0.210655	0.305287	0.259626	0.129558	0.0610605	0.0338135
a92	0.153815	0.213275	0.263377	0.207618	0.10315	0.0587651
a47	0.110951	0.158819	0.231014	0.238068	0.156266	0.104882
a37	0.0816141	0.100289	0.178535	0.24902	0.223337	0.167205
a47	0.1009	0.0947454	0.124561	0.216871	0.248819	0.214104
a37	0.0409398	0.0395891	0.0826066	0.215595	0.335961	0.285309
a85	0.0343846	0.0293507	0.0603735	0.175154	0.350313	0.350424
a6	0.0068748	0.00582251	0.0248465	0.142434	0.398031	0.421991
a37	0.00824897	0.00706025	0.0257023	0.107751	0.350846	0.500391
a47	0.00993901	0.00747001	0.0182661	0.0752133	0.287891	0.60122
a37	0.00872979	0.00727125	0.0166916	0.0765989	0.281074	0.609634
a2	0.0126326	0.0114181	0.0274218	0.0941938	0.275851	0.578483
a57	0.0316716	0.0273623	0.0350496	0.0904585	0.27851	0.536948
a87	0.456587	0.238734	0.0838101	0.061422	0.072135	0.0873115
a23	0.436286	0.281602	0.116047	0.060687	0.0538362	0.0515421
a87	0.268116	0.182045	0.0853022	0.088659	0.165433	0.210445
</S>	0.0245925	0.0207802	0.0326924	0.108131	0.318013	0.495791
