 	ton	mari	est	d'	un	humilité	remarquable	</S>
a66	0.148691	0.199826	0.179882	0.152526	0.211031	0.0944222	0.0110015	0.00261913
a87	0.501119	0.295726	0.108428	0.0403329	0.0273471	0.0166343	0.00589181	0.0045211
a23	0.489386	0.238957	0.120792	0.0575629	0.0460734	0.03575	0.0058146	0.00566367
a30	0.471149	0.270967	0.109073	0.0493063	0.0323296	0.0318795	0.0138195	0.0214761
a4	0.338998	0.224933	0.146578	0.0955977	0.0884631	0.0582145	0.0230399	0.0241766
a44	0.249214	0.208146	0.144396	0.105703	0.121884	0.13207	0.0284354	0.0101512
a93	0.231155	0.174055	0.147544	0.119584	0.118639	0.15941	0.0411421	0.00847094
a15	0.131892	0.122679	0.154753	0.16427	0.147192	0.200056	0.0633697	0.0157893
a79	0.0768925	0.0897821	0.12576	0.137974	0.145471	0.234671	0.13284	0.0566088
a5	0.103099	0.105174	0.134046	0.14618	0.135243	0.216881	0.0980498	0.0613281
a37	0.133399	0.131441	0.143985	0.135516	0.120437	0.176809	0.0918758	0.0665378
a61	0.110746	0.135799	0.169812	0.169837	0.148732	0.157452	0.0600655	0.0475555
a75	0.0675716	0.101076	0.159282	0.196811	0.177132	0.191677	0.05423	0.0522209
a6	0.0253769	0.0517241	0.0803854	0.120794	0.141552	0.201736	0.209359	0.169073
a37	0.0336471	0.0662712	0.101815	0.148681	0.168937	0.201978	0.142432	0.136238
a26	0.0416128	0.0745636	0.124051	0.175719	0.186817	0.210682	0.0718412	0.114713
a75	0.0292597	0.0444705	0.100402	0.183461	0.227505	0.200488	0.123533	0.0908807
a21	0.0140156	0.0223926	0.0424826	0.0991995	0.173088	0.202929	0.178526	0.267366
a12	0.0182643	0.0299541	0.0546059	0.118292	0.1696	0.209758	0.15264	0.246886
a43	0.0190371	0.0283252	0.0434909	0.090583	0.138119	0.144628	0.157176	0.378641
a11	0.00876884	0.0124322	0.0232491	0.0464126	0.0694721	0.0777713	0.231225	0.530668
a75	0.00675849	0.00935656	0.0190164	0.0373342	0.0566051	0.0534901	0.244212	0.573227
a5	0.00313838	0.00486534	0.00712797	0.0179927	0.034642	0.0423557	0.177946	0.711932
a96	0.00473256	0.00708452	0.00866478	0.0155346	0.0251896	0.0260074	0.136357	0.77643
a11	0.00146883	0.00206507	0.00315237	0.00554348	0.00869449	0.00811846	0.0989172	0.87204
a93	0.0015745	0.00170637	0.00303743	0.00512126	0.00756379	0.00644042	0.099415	0.875141
a70	0.000809879	0.0009618	0.00163512	0.00293218	0.00407126	0.0040925	0.0752639	0.910233
a90	0.00128788	0.00127669	0.00254311	0.00411927	0.00445772	0.00410481	0.0688249	0.913386
a12	0.00044312	0.000533647	0.00104235	0.00202482	0.00255142	0.00328524	0.0636638	0.926456
a21	0.000345509	0.000361275	0.000741735	0.00143075	0.00198986	0.00208414	0.0525711	0.940476
a79	0.00114097	0.00127504	0.00235154	0.00411352	0.00512594	0.00481498	0.0730588	0.908119
a44	0.000267462	0.000271195	0.00060728	0.00132679	0.00210183	0.00237714	0.0552308	0.937817
a79	0.000539193	0.000493548	0.000963003	0.0015809	0.00242327	0.00248147	0.0733736	0.918145
a44	0.000614751	0.000419033	0.000692708	0.0010835	0.00182053	0.00168484	0.0509772	0.942707
a57	0.000931635	0.000752724	0.00137085	0.00225064	0.0034655	0.00408677	0.102503	0.884639
a84	0.0151235	0.0086295	0.010792	0.0134794	0.0193744	0.0172078	0.126813	0.788581
a57	0.111616	0.0415998	0.0375212	0.0360847	0.0513104	0.0661782	0.171397	0.484294
a87	0.260374	0.0935883	0.0712899	0.0551542	0.0688785	0.0781658	0.119625	0.252924
a23	0.258098	0.145323	0.133982	0.0911466	0.0848935	0.0973847	0.0972336	0.0919391
a87	0.136734	0.0438169	0.0344649	0.027833	0.0205628	0.035708	0.123379	0.577501
</S>	0.0415697	0.0145084	0.0132231	0.01492	0.0122035	0.0276675	0.144095	0.731813
