 	ma	soeur	m'	a	donné	un	peu	de	poisson	</S>
a66	0.265941	0.186682	0.138134	0.106911	0.0966933	0.0826422	0.0648089	0.0311925	0.0154914	0.011503
a87	0.275171	0.154391	0.13454	0.113218	0.104115	0.0922458	0.0638029	0.0290503	0.0171472	0.016319
a97	0.195929	0.131714	0.129331	0.114226	0.129108	0.116212	0.0840839	0.0443951	0.0278765	0.0271241
a82	0.169311	0.132783	0.149938	0.142112	0.166944	0.124123	0.0576287	0.0239013	0.0148916	0.0183674
a53	0.203236	0.149989	0.159209	0.139245	0.154428	0.102405	0.0466331	0.0184698	0.0125219	0.0138624
a93	0.259358	0.167242	0.149865	0.117376	0.111877	0.0797451	0.0444277	0.0264485	0.0202089	0.0234525
a90	0.201334	0.162376	0.174588	0.139003	0.118724	0.0819404	0.0469501	0.0281106	0.0212834	0.0256904
a25	0.147242	0.123114	0.149651	0.13022	0.112064	0.0906607	0.0706227	0.0609324	0.0525534	0.0629391
a69	0.0965361	0.0907851	0.124836	0.127054	0.117853	0.103578	0.0848786	0.0800435	0.0811788	0.0932577
a75	0.0941247	0.0931499	0.135122	0.142694	0.124169	0.103548	0.0794559	0.0733165	0.0752971	0.0791231
a5	0.0856829	0.091598	0.139724	0.153287	0.14078	0.112342	0.07804	0.0636177	0.0640958	0.0708331
a75	0.0979229	0.100636	0.132934	0.146959	0.129452	0.111361	0.0822844	0.0600373	0.0629387	0.0754741
a5	0.0533941	0.0689158	0.103764	0.118542	0.11607	0.119359	0.114756	0.102323	0.0986494	0.104228
a85	0.0426015	0.050465	0.070468	0.0880674	0.0903602	0.108188	0.121595	0.126158	0.13837	0.163728
a0	0.0204591	0.0316693	0.0500155	0.0660267	0.069299	0.0872985	0.115686	0.159129	0.182197	0.218219
a61	0.00506187	0.00525027	0.00651329	0.00877335	0.00994148	0.0151872	0.0299442	0.112743	0.319478	0.487108
a88	0.00444773	0.00456991	0.00552289	0.00748445	0.00981649	0.0166163	0.0341131	0.114726	0.295056	0.507647
a71	0.00233461	0.00210065	0.00278316	0.0045507	0.00630373	0.0108317	0.0222483	0.0892261	0.276363	0.583258
a9	0.0088074	0.00810513	0.00963613	0.0141722	0.0154544	0.0233848	0.0411355	0.119293	0.266892	0.493119
a97	0.0789678	0.0615544	0.0575377	0.0606599	0.0537093	0.0606201	0.068865	0.100937	0.161948	0.295201
a87	0.117834	0.09925	0.101144	0.0998313	0.0831911	0.085933	0.0926706	0.101554	0.101296	0.117296
a97	0.101288	0.0802399	0.0888076	0.0969582	0.0947341	0.105698	0.109038	0.111973	0.106847	0.104416
a23	0.0816785	0.0584565	0.0647211	0.0694043	0.0712896	0.0895813	0.109446	0.146568	0.157382	0.151473
a97	0.0231588	0.0179011	0.0202242	0.0231149	0.025515	0.0365589	0.0662798	0.153041	0.275397	0.358809
</S>	0.0244423	0.0183412	0.0238591	0.0271786	0.0321195	0.0436536	0.0630097	0.128918	0.259067	0.379411
