 	on	a	augmenté	la	paie	des	trvailleurs	</S>
a40	0.200835	0.115365	0.0717595	0.0853134	0.147258	0.127069	0.0994314	0.152968
a30	0.133518	0.132829	0.120047	0.105415	0.119978	0.108923	0.129061	0.150227
a35	0.359925	0.258866	0.143208	0.0625625	0.0450788	0.0337393	0.0408557	0.0557651
a94	0.51504	0.252766	0.0998687	0.040263	0.0290381	0.0180676	0.0214776	0.0234789
a98	0.417109	0.255235	0.108814	0.0520986	0.0471557	0.0338687	0.0445377	0.0411816
a11	0.291803	0.232447	0.134245	0.0784275	0.0757838	0.0542025	0.0727879	0.0603036
a24	0.200397	0.207373	0.162464	0.0959646	0.0930832	0.0598813	0.0931569	0.0876799
a41	0.105934	0.153617	0.194894	0.155497	0.148854	0.0754297	0.0869963	0.0787783
a14	0.137623	0.195915	0.203066	0.130089	0.118332	0.0605718	0.077502	0.0769007
a43	0.116846	0.14012	0.146046	0.121608	0.125608	0.0972569	0.136048	0.116466
a11	0.0758482	0.102324	0.12814	0.138208	0.148423	0.103081	0.158745	0.145232
a54	0.0528569	0.0739205	0.125987	0.151666	0.171	0.108853	0.156819	0.158898
a14	0.0403288	0.0592505	0.0975232	0.140267	0.177766	0.132792	0.177521	0.174551
a2	0.0363282	0.0480707	0.0792979	0.140264	0.198055	0.140624	0.179456	0.177905
a57	0.0191141	0.0251563	0.0439309	0.105924	0.20192	0.164156	0.237198	0.2026
a40	0.0181275	0.0190572	0.0318676	0.0780665	0.139142	0.153252	0.274727	0.28576
a73	0.0182734	0.0217782	0.0319323	0.0584795	0.111741	0.14696	0.28447	0.326366
a32	0.009747	0.0133267	0.0251071	0.0650801	0.123624	0.160021	0.255975	0.347118
a75	0.0082943	0.00870212	0.0147016	0.0440149	0.084806	0.123309	0.232415	0.483757
a41	0.0118158	0.0135128	0.0193151	0.0424841	0.0784697	0.127503	0.266847	0.440053
a56	0.0103424	0.0118321	0.0180055	0.038888	0.0676186	0.12479	0.264798	0.463725
a62	0.0334743	0.0395889	0.0488749	0.0724231	0.0924681	0.116594	0.239226	0.357351
a70	0.0157573	0.0158135	0.0204487	0.0367077	0.0573655	0.105512	0.259187	0.489209
a90	0.0153536	0.0159686	0.0204609	0.0394722	0.0622544	0.0993943	0.244545	0.502551
a98	0.0103511	0.0119409	0.0193763	0.0392636	0.0724581	0.120142	0.261683	0.464784
a4	0.00574968	0.00691744	0.0123668	0.0294959	0.0566172	0.110235	0.27454	0.504078
a57	0.00573975	0.00550524	0.00827373	0.0210437	0.0448617	0.0994685	0.251266	0.563841
a87	0.00633776	0.00513341	0.0074719	0.0198061	0.0354983	0.0839277	0.264466	0.577359
</S>	0.0107321	0.00756162	0.0110812	0.026157	0.0541463	0.133661	0.29988	0.456781
