 	c'	est	un	homme	avide	de	richesse	</S>
a10	0.151443	0.110954	0.120355	0.107609	0.124014	0.142826	0.132711	0.110088
a30	0.159435	0.104412	0.108322	0.145888	0.160493	0.133044	0.100596	0.0878101
a53	0.202706	0.114574	0.110435	0.139383	0.128736	0.109584	0.0960437	0.0985391
a20	0.290677	0.165558	0.154627	0.112033	0.0689243	0.0538527	0.0668849	0.087442
a41	0.418212	0.210247	0.137245	0.0690073	0.0482534	0.043202	0.0369435	0.0368896
a26	0.332689	0.23949	0.191991	0.102449	0.062296	0.0336585	0.0204932	0.0169332
a24	0.257508	0.211213	0.191769	0.119599	0.077887	0.0527551	0.0442466	0.0450221
a35	0.245162	0.201581	0.182554	0.127608	0.0946631	0.0647104	0.044123	0.0395979
a76	0.224962	0.201414	0.19967	0.14542	0.10026	0.0612041	0.037019	0.0300503
a90	0.200013	0.167128	0.162601	0.138331	0.120254	0.0925334	0.0650705	0.0540695
a38	0.188406	0.166702	0.160081	0.142109	0.124132	0.101879	0.0651342	0.0515561
a41	0.113307	0.113602	0.123199	0.132221	0.139981	0.146427	0.124886	0.106377
a35	0.067593	0.0785869	0.0937491	0.118406	0.134538	0.161509	0.177507	0.168111
a14	0.0438135	0.0491868	0.0582466	0.0776628	0.106424	0.167337	0.234657	0.262672
a35	0.0306201	0.0360616	0.0440077	0.0589382	0.0848016	0.158266	0.263835	0.323469
a25	0.0192914	0.0226027	0.0279639	0.0386145	0.0600017	0.131105	0.282046	0.418376
a76	0.0106359	0.0115214	0.0150351	0.0231612	0.0455469	0.11528	0.292647	0.486172
a94	0.0160846	0.0183022	0.0237219	0.0329335	0.0390931	0.0858441	0.270124	0.513896
a4	0.0105153	0.0101195	0.0129435	0.022929	0.0395855	0.0861591	0.270659	0.547089
a82	0.0151749	0.0133522	0.0159611	0.0260674	0.0395231	0.0721689	0.243933	0.573819
a87	0.0183047	0.015187	0.0185274	0.031295	0.0395558	0.0691041	0.245642	0.562384
a23	0.0204928	0.016808	0.0194527	0.0370241	0.0578616	0.107938	0.275529	0.464893
a87	0.0690619	0.0572316	0.0532236	0.057653	0.0626368	0.0991291	0.225239	0.375825
a23	0.0360699	0.0338728	0.0401889	0.0630494	0.0729203	0.122889	0.254028	0.376981
a87	0.0558019	0.0555863	0.0584257	0.0675755	0.0701456	0.11446	0.237351	0.340654
</S>	0.0413966	0.0414177	0.0480955	0.0725986	0.0714243	0.107774	0.236578	0.380716
