 	papa	a	apporté	les	planches	il	faut	les	vendre	</S>
a66	0.284909	0.157444	0.109613	0.117712	0.113159	0.0847715	0.0595943	0.0327708	0.0227467	0.0172806
a87	0.279368	0.15833	0.124	0.0977655	0.0860694	0.0682662	0.0636893	0.0424826	0.037914	0.0421153
a23	0.351596	0.216652	0.128056	0.0789668	0.0474354	0.0345496	0.0355292	0.0313932	0.0320016	0.0438198
a99	0.25535	0.205149	0.162659	0.112094	0.0663095	0.0419471	0.0366466	0.0321056	0.0372506	0.0504888
a75	0.188161	0.17727	0.132893	0.0841306	0.0535722	0.0472803	0.0547183	0.0658462	0.0812475	0.114882
a6	0.192363	0.187109	0.170272	0.107896	0.0608449	0.04806	0.0495619	0.0552297	0.0685539	0.0601098
a85	0.231062	0.197793	0.182809	0.101613	0.0619639	0.0493899	0.0460676	0.0437274	0.0516892	0.0338848
a5	0.205584	0.158077	0.160376	0.108984	0.0883603	0.0775743	0.0635134	0.0487437	0.0532995	0.0354879
a12	0.199975	0.163042	0.177547	0.137949	0.107016	0.0749402	0.0446131	0.0317291	0.0339309	0.029258
a21	0.166968	0.153828	0.178439	0.160481	0.128683	0.0822314	0.0447973	0.0300756	0.0287025	0.0257942
a85	0.136933	0.124437	0.153574	0.158099	0.143223	0.105958	0.0627817	0.0417106	0.0385064	0.0347773
a47	0.0306061	0.0364655	0.0634228	0.0914505	0.124307	0.144704	0.136634	0.134315	0.121532	0.116564
a36	0.0268962	0.0368804	0.0712595	0.121737	0.151503	0.145637	0.0949032	0.0826213	0.111487	0.157074
a26	0.0231295	0.0338182	0.0571355	0.141717	0.199631	0.180352	0.0944756	0.0713107	0.0850316	0.113399
a47	0.0177964	0.0259779	0.0374393	0.0954947	0.18819	0.190295	0.0987595	0.0790495	0.10058	0.166418
a85	0.0178448	0.0240267	0.031765	0.0689949	0.136008	0.159918	0.0966831	0.0909907	0.132042	0.241727
a5	0.0061348	0.00679566	0.0121029	0.0337765	0.0805408	0.149298	0.138336	0.140331	0.174323	0.258361
a6	0.0111786	0.0127118	0.0204615	0.0498773	0.109091	0.172153	0.160607	0.134606	0.14412	0.185193
a36	0.00694476	0.00742691	0.0117831	0.0281212	0.0652384	0.117077	0.134927	0.151211	0.180898	0.296373
a26	0.0225593	0.0224643	0.0248957	0.034381	0.0570216	0.077006	0.0905512	0.123233	0.170411	0.377477
a57	0.052711	0.0509575	0.0487999	0.0542571	0.070347	0.0730258	0.0624786	0.0902456	0.161297	0.33588
a87	0.0850288	0.0649683	0.0555269	0.0549619	0.0643899	0.066288	0.0699753	0.105591	0.159027	0.274243
a23	0.201367	0.0985534	0.0701824	0.0505119	0.0539771	0.0675455	0.101335	0.119374	0.112398	0.124756
a40	0.0389425	0.0219402	0.0181746	0.0162498	0.0256498	0.0531675	0.111805	0.18028	0.242537	0.291254
a6	0.0174588	0.0141206	0.0184391	0.02259	0.035346	0.0640056	0.103415	0.156611	0.252949	0.315065
a37	0.00396944	0.00353036	0.00543192	0.011593	0.0241431	0.0504729	0.0946823	0.17742	0.293179	0.335579
a12	0.00269233	0.00237255	0.00346249	0.00687765	0.0151752	0.0352541	0.0816511	0.178548	0.299382	0.374584
a47	0.00291929	0.00232452	0.00343282	0.00626484	0.0132287	0.0279328	0.0683594	0.169209	0.297237	0.409091
a61	0.00157424	0.00154741	0.00260376	0.00551698	0.0117806	0.0236919	0.054413	0.147665	0.287061	0.464146
a88	0.00229982	0.00197774	0.00293245	0.00514986	0.011118	0.0224791	0.0556965	0.157286	0.281454	0.459606
a62	0.00333678	0.00279491	0.00376647	0.00551053	0.0108227	0.0188562	0.0427027	0.132225	0.257921	0.522064
a21	0.00527584	0.00452668	0.00609078	0.00813614	0.0152797	0.0255023	0.056458	0.15428	0.248082	0.476369
a92	0.00293535	0.00271578	0.00380044	0.00596874	0.011702	0.0210661	0.0482344	0.137764	0.249076	0.516738
a47	0.000615976	0.000649109	0.00102788	0.00217842	0.00536654	0.0128941	0.0329497	0.110222	0.249384	0.584712
a36	0.000212839	0.000253574	0.000489635	0.00124696	0.00380199	0.0114814	0.0290775	0.104771	0.239342	0.609324
a26	0.00368381	0.00355177	0.00431094	0.00532147	0.00953858	0.0171288	0.0337079	0.101904	0.217412	0.60344
a57	0.0418583	0.0334824	0.0320508	0.0321394	0.0436114	0.0554911	0.0800655	0.159236	0.205689	0.316376
a87	0.130169	0.0852923	0.0661964	0.0594788	0.0623797	0.0674279	0.0818198	0.125991	0.138826	0.182419
a23	0.158741	0.0871992	0.0555418	0.0467217	0.0502977	0.0613854	0.0955714	0.140774	0.140897	0.16287
a87	0.0944973	0.0481208	0.0339991	0.028732	0.0359465	0.0481244	0.0784012	0.145285	0.21047	0.276424
</S>	0.0181042	0.0113093	0.0120045	0.0132483	0.0221576	0.0360474	0.060567	0.130352	0.260673	0.435537
