 	le	foufou	cuit	m'	a	collé	aux	mains	</S>
a66	0.296227	0.248803	0.168562	0.109928	0.0787105	0.0420121	0.023814	0.017239	0.0147037
a87	0.574141	0.268415	0.0540041	0.0223479	0.0182895	0.0125005	0.0176537	0.0168408	0.0158074
a23	0.568105	0.248754	0.0781255	0.0330068	0.0296347	0.0136936	0.00625741	0.00875155	0.0136719
a87	0.559909	0.165945	0.0606637	0.0423005	0.0555456	0.0522088	0.0209431	0.0200336	0.0224508
a23	0.570707	0.177875	0.0594109	0.0366165	0.0387461	0.0338063	0.0275028	0.0277079	0.0276272
a57	0.393618	0.109179	0.0628264	0.0576718	0.0678298	0.0765862	0.0775674	0.0736923	0.0810286
a30	0.363517	0.162666	0.0819579	0.0728656	0.0598609	0.0752693	0.0653116	0.0529272	0.0656244
a99	0.322566	0.188407	0.0985984	0.0830686	0.0508149	0.0620007	0.0672273	0.0584418	0.068875
a38	0.241759	0.179905	0.114908	0.098268	0.0575041	0.0783702	0.0847688	0.0644137	0.0801042
a66	0.142605	0.150684	0.175486	0.166633	0.102429	0.106307	0.0822592	0.0367266	0.0368712
a70	0.0660501	0.0914873	0.152079	0.189882	0.153825	0.143507	0.103468	0.0518868	0.0478151
a44	0.0461889	0.0974934	0.189458	0.20545	0.160306	0.116599	0.0833739	0.0524342	0.0486973
a69	0.0434157	0.116288	0.220581	0.216943	0.168221	0.0996335	0.0572886	0.0395757	0.0380526
a44	0.044087	0.122533	0.231725	0.220058	0.161009	0.0889491	0.0508051	0.040175	0.0406589
a54	0.0329454	0.0937972	0.200447	0.211154	0.167342	0.104727	0.0645738	0.0610723	0.0639417
a79	0.028787	0.0697512	0.174343	0.206068	0.160911	0.130259	0.0855094	0.0721063	0.0722654
a44	0.0519609	0.106815	0.210016	0.214801	0.164463	0.113361	0.0616135	0.0422279	0.0347416
a54	0.0230108	0.0477162	0.1485	0.202327	0.180968	0.13716	0.0920138	0.0858672	0.0824368
a79	0.0243627	0.0485259	0.154559	0.205155	0.160781	0.139088	0.111221	0.0848275	0.071479
a54	0.0190491	0.0321055	0.122449	0.194969	0.190472	0.146732	0.105623	0.0979341	0.0906658
a44	0.00487374	0.00957344	0.0579755	0.135588	0.160495	0.143345	0.144391	0.173338	0.170419
a7	0.0054048	0.00916232	0.0515774	0.139615	0.171135	0.142076	0.136802	0.173684	0.170544
a70	0.00220946	0.00332469	0.0223911	0.0936694	0.159214	0.160547	0.142067	0.198893	0.217684
a44	0.00190123	0.00223395	0.0134396	0.0617027	0.120695	0.127345	0.135029	0.228943	0.308711
a37	0.000823673	0.000861282	0.00512077	0.0244715	0.0606499	0.084244	0.13175	0.255849	0.436229
a44	0.000730535	0.000654147	0.00326923	0.012843	0.0322296	0.0536525	0.121946	0.257732	0.516943
a70	0.000764479	0.000628336	0.0030259	0.0105228	0.0257476	0.0449257	0.123264	0.245934	0.545188
a83	0.000426282	0.00033399	0.00153449	0.00431827	0.0101723	0.0227518	0.124962	0.275843	0.559658
a70	0.000363817	0.000291059	0.00115541	0.00307931	0.00685602	0.0169249	0.122139	0.265861	0.58333
a83	0.000227562	0.000197498	0.000760638	0.00193647	0.00427576	0.0129954	0.118111	0.280788	0.580707
a54	0.000180044	0.000147245	0.000559017	0.00141172	0.00307397	0.0107004	0.108639	0.27686	0.598429
a44	0.000357895	0.000288656	0.00076369	0.00132216	0.00204305	0.0091963	0.135444	0.290616	0.559968
a40	0.000235132	0.000177652	0.000604476	0.00130554	0.00232927	0.0089966	0.120619	0.279757	0.585975
a44	0.000270639	0.000203747	0.000736032	0.0017396	0.00294674	0.00859292	0.113182	0.261315	0.611013
a57	0.000161015	0.000137571	0.000613926	0.00136797	0.00232771	0.00683585	0.094247	0.261279	0.63303
a53	9.1653e-05	7.92268e-05	0.000260399	0.000439297	0.000670398	0.00296886	0.0568594	0.256906	0.681725
a69	0.00037706	0.00027049	0.000762595	0.00114238	0.00142268	0.00544526	0.0861629	0.261535	0.642881
a4	0.000158374	0.000123889	0.000524069	0.00113761	0.00179572	0.00644633	0.100642	0.282411	0.60676
a57	0.000226393	0.000207894	0.000920776	0.00181083	0.00230405	0.00663531	0.0882432	0.279654	0.619998
a82	0.000326363	0.000242834	0.00069169	0.00117942	0.00151967	0.0045695	0.0683247	0.277799	0.645347
a97	0.0161124	0.00570494	0.00714361	0.00796739	0.00837198	0.0129261	0.0739174	0.276762	0.591095
a87	0.143302	0.0445528	0.0297331	0.0282065	0.0297017	0.0334008	0.0970025	0.220975	0.373126
a23	0.242	0.116879	0.0650628	0.0636379	0.0648852	0.0611776	0.102136	0.131911	0.15231
a87	0.218232	0.0999602	0.0663676	0.0715888	0.0734928	0.0690259	0.0939548	0.12417	0.183209
a23	0.0775519	0.0506584	0.0457903	0.0659286	0.0984693	0.107625	0.135878	0.17926	0.238838
a87	0.115295	0.0648421	0.0466399	0.0668828	0.108571	0.114197	0.11237	0.144711	0.226492
a23	0.095984	0.0685196	0.0525815	0.0725968	0.10202	0.103581	0.128574	0.150842	0.225302
a87	0.133706	0.0894059	0.0570488	0.0762031	0.112678	0.115211	0.11171	0.121942	0.182096
a23	0.119208	0.0682429	0.0511832	0.0821816	0.110652	0.106789	0.116982	0.137056	0.207706
a87	0.18294	0.128999	0.0743328	0.0852201	0.0955081	0.0851105	0.0845946	0.0993647	0.16393
</S>	0.211915	0.122101	0.0749458	0.0886083	0.0864321	0.0766749	0.0796521	0.0957265	0.163944
