 	nous	sommes	au	terme	du	procès	</S>
a66	0.476493	0.207385	0.0904814	0.0558057	0.0528737	0.0606904	0.0562704
a87	0.55206	0.221093	0.0986485	0.0651875	0.0400459	0.0156416	0.00732374
a23	0.499827	0.271432	0.119953	0.0590391	0.0281727	0.0131291	0.00844668
a83	0.471789	0.281648	0.125764	0.0604401	0.0310599	0.0122337	0.0170654
a71	0.481925	0.223771	0.0960538	0.0747212	0.0556977	0.0323982	0.035434
a83	0.38947	0.210915	0.159866	0.0954048	0.0628002	0.0463764	0.0351669
a93	0.14868	0.165202	0.264491	0.190673	0.127797	0.0682053	0.0349525
a94	0.0528701	0.0955954	0.234302	0.206319	0.251827	0.115192	0.0438947
a43	0.0574621	0.0695787	0.198736	0.154049	0.261802	0.163013	0.0953596
a11	0.0536042	0.045062	0.114783	0.104629	0.270852	0.23827	0.1728
a70	0.032721	0.0235872	0.0549214	0.0618576	0.21257	0.296255	0.318088
a96	0.0190811	0.0138096	0.021471	0.0310204	0.109746	0.248444	0.556428
a88	0.0123105	0.0100609	0.0175976	0.0330227	0.127034	0.236604	0.56337
a98	0.00746576	0.00660261	0.0117376	0.0265897	0.10489	0.199158	0.643557
a47	0.00143322	0.00100043	0.00224145	0.00695763	0.042945	0.180574	0.764848
a36	0.000764429	0.000449559	0.000976734	0.0031984	0.0205371	0.156064	0.81801
a54	0.0113419	0.00897041	0.00758473	0.0183055	0.0435499	0.180377	0.729871
a36	0.00699577	0.00781024	0.0076473	0.0163279	0.0410496	0.208538	0.711631
a2	0.00886608	0.00886263	0.00868911	0.0184662	0.0387295	0.172593	0.743793
a57	0.210711	0.125255	0.0851184	0.0611532	0.069903	0.168517	0.279342
a87	0.445318	0.247957	0.0949146	0.0427278	0.0338465	0.0581796	0.0770568
a23	0.407546	0.282455	0.125307	0.0559402	0.0338	0.0461383	0.048814
a10	0.330415	0.205306	0.0977677	0.0608012	0.0361991	0.0777386	0.191773
</S>	0.086353	0.0803578	0.0442425	0.0387856	0.0560096	0.172355	0.521897
