 	le	sac	qu'	il	a	en	main	est	bleu	foncé	</S>
a23	0.261566	0.111489	0.0588696	0.075219	0.100526	0.0847057	0.0867344	0.0798429	0.0635134	0.0388805	0.0386529
a12	0.433069	0.195132	0.091603	0.0621778	0.0483035	0.0340975	0.0259303	0.0232669	0.0221592	0.0157356	0.0485252
a96	0.407409	0.163993	0.0854236	0.0735531	0.0576885	0.042768	0.0256948	0.0240541	0.0298081	0.0356154	0.0539924
a62	0.488172	0.238225	0.0933429	0.0599225	0.0416015	0.0251229	0.0123531	0.0107879	0.00912226	0.00944183	0.0119079
a31	0.506147	0.295644	0.0884916	0.0416414	0.0268395	0.0142507	0.00887212	0.0073107	0.00415379	0.00353639	0.00311348
a12	0.385892	0.303468	0.115315	0.0604851	0.0480018	0.0279981	0.0201596	0.0148774	0.00848025	0.00849193	0.00683076
a88	0.31512	0.326043	0.138449	0.0700222	0.0532649	0.0291377	0.0218202	0.0171099	0.0097041	0.0101097	0.00921963
a61	0.150381	0.217798	0.198733	0.123923	0.109183	0.0652408	0.0477763	0.0368492	0.0180234	0.0166605	0.0154307
a75	0.105519	0.15834	0.19502	0.144547	0.13522	0.0866711	0.0647483	0.0519607	0.024703	0.0185067	0.0147643
a73	0.128885	0.166534	0.185937	0.132106	0.124124	0.0794615	0.0575607	0.0505987	0.0288453	0.0248355	0.0211119
a25	0.078324	0.0971473	0.143913	0.147351	0.149853	0.104393	0.0778404	0.0735175	0.0465156	0.0430792	0.0380652
a56	0.0448327	0.0520265	0.0980701	0.147999	0.173571	0.134713	0.103663	0.0928722	0.0617796	0.0457883	0.0446835
a96	0.0475799	0.0490073	0.0851996	0.135236	0.166755	0.138195	0.107053	0.0931265	0.0712882	0.058511	0.0480491
a75	0.0409644	0.0450618	0.0716331	0.108804	0.153312	0.147799	0.146804	0.118153	0.0759123	0.0511197	0.0404354
a92	0.0249582	0.0233366	0.0357039	0.0703277	0.106819	0.1232	0.136554	0.125334	0.12696	0.134934	0.0918739
a44	0.0204822	0.0188901	0.0299736	0.061212	0.099111	0.126276	0.155456	0.145574	0.142543	0.122407	0.0780753
a90	0.0209656	0.0210104	0.0336495	0.0592801	0.0916407	0.119016	0.170285	0.1613	0.150259	0.105119	0.067475
a76	0.012419	0.0118452	0.0229942	0.0551336	0.0914488	0.127494	0.171443	0.162647	0.16345	0.112811	0.0683143
a25	0.0152116	0.0148894	0.0251479	0.0462503	0.0740286	0.0956328	0.139983	0.129587	0.177238	0.157113	0.124919
a44	0.0228539	0.0200698	0.029067	0.0478795	0.0646664	0.0909489	0.142547	0.146171	0.190879	0.133192	0.111726
a58	0.0217941	0.0196633	0.0304717	0.0536703	0.0712429	0.100605	0.147546	0.14211	0.157751	0.115406	0.139739
a21	0.0156781	0.0141138	0.0211246	0.0371786	0.0475329	0.0658767	0.106718	0.109384	0.154262	0.139286	0.288846
a47	0.0344946	0.0272086	0.0313477	0.0508207	0.0656224	0.075954	0.1113	0.109993	0.150153	0.173101	0.170004
a88	0.0170551	0.0158726	0.0226953	0.0362077	0.0514704	0.0661562	0.109186	0.0986251	0.154826	0.200582	0.227323
a31	0.0031787	0.00312011	0.00660316	0.014417	0.0238425	0.0410087	0.0718919	0.0674515	0.141284	0.26311	0.364093
a88	0.00427698	0.00442022	0.00818099	0.0161837	0.0249427	0.0406728	0.0730456	0.0720332	0.127904	0.247903	0.380437
a9	0.00180631	0.00171349	0.00368935	0.00935069	0.0164812	0.0294649	0.0518137	0.0481344	0.110502	0.246182	0.480862
a24	0.0020105	0.00152378	0.00275146	0.00650611	0.010654	0.0180629	0.0323549	0.0383654	0.099437	0.233617	0.554716
a31	0.000719612	0.000615656	0.0014074	0.00435642	0.00927708	0.0202757	0.0349228	0.0348357	0.089957	0.200168	0.603465
a62	0.00130448	0.00133339	0.00305214	0.00823426	0.0153211	0.0283961	0.0487336	0.0485937	0.101301	0.195903	0.547828
a31	0.00102144	0.000919754	0.00216374	0.0063919	0.0125246	0.0233086	0.0388668	0.0405587	0.0931122	0.21928	0.561852
a24	0.000875412	0.00068047	0.00153864	0.00479967	0.00973826	0.0196627	0.0346774	0.0360635	0.0829928	0.216748	0.592224
a9	0.00315792	0.00210839	0.00331236	0.0065823	0.00852837	0.0141229	0.022084	0.0261737	0.0780038	0.192729	0.643197
a10	0.0139158	0.00741863	0.00931794	0.0140873	0.0155609	0.0242307	0.0253712	0.0328657	0.0894	0.180497	0.587334
a87	0.0282338	0.0147352	0.0153351	0.0200895	0.0208259	0.0298415	0.031894	0.0427533	0.0894306	0.153386	0.553475
a23	0.0481329	0.0252513	0.0255606	0.0341349	0.0369539	0.0455059	0.0425276	0.0536996	0.0867379	0.140544	0.460952
a87	0.0092808	0.00758982	0.0114352	0.0210967	0.0250745	0.037938	0.034383	0.0424164	0.0879145	0.160297	0.562574
</S>	0.00880768	0.0070343	0.0124464	0.0257848	0.034543	0.0518071	0.0480101	0.0431935	0.0762216	0.111698	0.580453
