 	on	a	enterré	votre	mère	hier	</S>
a66	0.437053	0.164179	0.0862887	0.107103	0.101832	0.0613962	0.0421473
a87	0.312728	0.180212	0.144839	0.135278	0.0900819	0.0644977	0.0723622
a23	0.350964	0.212782	0.182443	0.125	0.0557413	0.033149	0.0399207
a40	0.227725	0.161349	0.188815	0.139977	0.104691	0.0736739	0.10377
a7	0.426371	0.211451	0.1568	0.0872082	0.0560085	0.0326453	0.0295162
a70	0.363853	0.25717	0.1997	0.0843083	0.0418476	0.0262652	0.0268549
a93	0.306481	0.339736	0.211443	0.0728124	0.0296168	0.0185758	0.0213356
a96	0.195948	0.279358	0.268024	0.13815	0.0546072	0.0308138	0.0330992
a90	0.167814	0.232829	0.25052	0.162988	0.0781255	0.0506772	0.0570465
a98	0.122419	0.171135	0.232694	0.17857	0.111109	0.0844083	0.0996637
a79	0.103066	0.15486	0.209455	0.178375	0.130207	0.103912	0.120124
a56	0.0840155	0.11986	0.217221	0.213563	0.14981	0.102379	0.113152
a12	0.0509705	0.0568819	0.0922596	0.182573	0.191013	0.181988	0.244314
a75	0.0209882	0.0227169	0.0444621	0.130418	0.246558	0.256604	0.278252
a47	0.0190557	0.0243375	0.0485932	0.0964531	0.21456	0.270159	0.326842
a15	0.00926767	0.013754	0.0345202	0.0683617	0.203453	0.283394	0.38725
a7	0.00911641	0.010232	0.0156295	0.0269273	0.108695	0.292504	0.536895
a93	0.00287391	0.00357786	0.00882666	0.0157652	0.0647908	0.269657	0.634508
a20	0.00430819	0.00541394	0.0121831	0.0224784	0.0849235	0.316197	0.554496
a7	0.00350715	0.00410035	0.00856516	0.014165	0.0623075	0.305318	0.602036
a84	0.0071297	0.00890518	0.0198128	0.018415	0.0659586	0.255318	0.624461
a87	0.136843	0.109993	0.0609609	0.0582748	0.104353	0.199202	0.330372
</S>	0.506069	0.223626	0.0670153	0.0541046	0.0463427	0.0473188	0.0555234
