 	cette	robe	de	raphia	est	très	ample	c'	est	pourquoi	personne	ne	se	prononce	pour	la	por-	ter	</S>
a30	0.0531563	0.0551704	0.0499894	0.0609594	0.0939677	0.0881786	0.0794841	0.107682	0.0767362	0.0948595	0.0700386	0.0470147	0.0339429	0.0310435	0.0196786	0.0152574	0.00995403	0.00678335	0.00610335
a10	0.0802408	0.0545493	0.0763292	0.104607	0.0642411	0.0663203	0.0605078	0.0491106	0.0471467	0.0640655	0.0520819	0.0470243	0.034323	0.0415226	0.0267425	0.0342896	0.0441079	0.0243155	0.0284745
a87	0.140761	0.0774297	0.0802188	0.0921253	0.046613	0.0413177	0.0364863	0.0454622	0.0447215	0.0565872	0.0460212	0.0362146	0.0326036	0.0441893	0.0298725	0.0277565	0.0362061	0.0285905	0.0568228
a10	0.209331	0.124979	0.100054	0.100711	0.0695475	0.0450097	0.0278467	0.0305293	0.0240677	0.0345628	0.025303	0.0203843	0.0186624	0.035294	0.0219931	0.0217282	0.0312808	0.0208046	0.0379099
a87	0.210046	0.141662	0.102862	0.0954347	0.111645	0.0665922	0.0377071	0.0412654	0.0210751	0.0279098	0.0173029	0.0123062	0.0100524	0.0203898	0.0145025	0.0166586	0.0213452	0.0143092	0.0169335
a10	0.178517	0.109464	0.0892976	0.0867719	0.0853438	0.0594188	0.0340807	0.0444714	0.0257728	0.0359433	0.0250974	0.0197386	0.0172292	0.0355688	0.024835	0.0290212	0.0382045	0.0276951	0.0335293
a38	0.156368	0.133277	0.0906304	0.071813	0.0810689	0.0493505	0.0318477	0.0348005	0.0319913	0.037809	0.0304211	0.0231678	0.0172041	0.0293648	0.0227925	0.0346095	0.0495786	0.045606	0.0282998
a18	0.16306	0.13886	0.0940835	0.0727534	0.0883577	0.0609814	0.0590134	0.0496938	0.0322239	0.0313803	0.0255932	0.0212201	0.0172593	0.0226468	0.0166185	0.0167399	0.0233068	0.0266978	0.0395107
a38	0.267207	0.223642	0.11236	0.0648914	0.071782	0.0446243	0.0406853	0.0310801	0.0206851	0.0199537	0.0160726	0.0131764	0.0124913	0.0127414	0.0100592	0.00795552	0.0084877	0.00892383	0.01318
a54	0.20476	0.205144	0.10472	0.0663579	0.0768493	0.0512789	0.0419443	0.0404927	0.0319958	0.0333783	0.0259036	0.0190744	0.0177969	0.0167642	0.0110643	0.00963236	0.0132236	0.0175714	0.0120477
a47	0.141128	0.166064	0.102346	0.0684154	0.0860118	0.0670577	0.0534162	0.0582346	0.0519904	0.0510994	0.0392233	0.026151	0.0227377	0.0178462	0.0107185	0.00744052	0.0091919	0.0112653	0.00966301
a6	0.143637	0.18429	0.101887	0.0689236	0.0890992	0.071879	0.0632385	0.0573233	0.047423	0.044396	0.0328481	0.022089	0.0187737	0.0129389	0.00835271	0.00557254	0.00710808	0.00944774	0.0107722
a11	0.111191	0.145176	0.0973821	0.0774327	0.0850333	0.0793888	0.0786493	0.0752413	0.0641846	0.0572088	0.0378627	0.0234109	0.0183785	0.0124506	0.00791554	0.00494715	0.00613522	0.00900103	0.00900974
a75	0.0787422	0.113147	0.0833807	0.0813565	0.09307	0.0972203	0.0996607	0.0767608	0.0605072	0.055253	0.0334215	0.0235785	0.0207372	0.0182461	0.0134822	0.00945475	0.0104153	0.0151343	0.0164316
a66	0.0675524	0.0873913	0.078969	0.0829259	0.101579	0.0990268	0.100455	0.0805464	0.0684014	0.0611191	0.0438333	0.0325812	0.0292697	0.0179975	0.0130192	0.0061373	0.00532201	0.00924589	0.0146284
a11	0.0415484	0.0575743	0.065856	0.079769	0.0874123	0.104932	0.121583	0.0993525	0.0821575	0.0744673	0.047136	0.0328397	0.0288582	0.021831	0.0155656	0.00801338	0.00641212	0.00991422	0.014778
a90	0.02571	0.0350701	0.0463485	0.0615559	0.0595331	0.082096	0.10178	0.0954891	0.0950888	0.0900148	0.0618805	0.0474007	0.0451774	0.0350186	0.0236725	0.0142927	0.0144386	0.0252948	0.0401379
a9	0.0201995	0.0237537	0.0332203	0.0485736	0.0503803	0.0719977	0.0870409	0.0951631	0.097228	0.0922986	0.0777621	0.0687834	0.0686664	0.0462529	0.0353304	0.0168104	0.0112227	0.0184864	0.0368295
a38	0.00756128	0.00891457	0.0146884	0.0231511	0.0166671	0.0323494	0.0481575	0.0674663	0.108217	0.10941	0.101989	0.0893461	0.0931	0.0790006	0.0539421	0.0345116	0.027371	0.0351895	0.0489672
a75	0.00733812	0.00779934	0.0111015	0.0167339	0.0135648	0.0250396	0.0355289	0.0582494	0.10434	0.106893	0.115386	0.113448	0.118572	0.0797228	0.0516497	0.0289552	0.0228667	0.0335744	0.0492367
a61	0.0144687	0.0148854	0.0174058	0.0251583	0.0269074	0.0446876	0.0568753	0.0776931	0.102345	0.0847785	0.0783518	0.0777712	0.0809112	0.0486894	0.0402246	0.0240815	0.0314836	0.0604655	0.092816
a75	0.00877948	0.00896554	0.010797	0.0140901	0.0138383	0.0241983	0.0315848	0.0536135	0.0947445	0.101786	0.119999	0.1241	0.133132	0.0848022	0.0589995	0.028302	0.0201933	0.0262906	0.0417839
a25	0.0162067	0.0158101	0.0154938	0.0178587	0.018814	0.0308192	0.0398991	0.0605954	0.0899779	0.0726263	0.0862079	0.0962394	0.101318	0.0552922	0.0485671	0.0287504	0.0406719	0.0687404	0.0961113
a79	0.0113957	0.0111849	0.0119278	0.013915	0.0126924	0.0201619	0.0277385	0.0425848	0.0758846	0.0582554	0.0810612	0.104753	0.121317	0.0720383	0.0760456	0.044931	0.0499944	0.0703839	0.0937355
a37	0.00905273	0.00835652	0.00893599	0.0112661	0.0095148	0.0150473	0.0231841	0.0300936	0.0573594	0.0471182	0.0731732	0.106089	0.132625	0.0763682	0.0859361	0.0592609	0.0656355	0.0942198	0.0867645
a83	0.0137311	0.0125544	0.0114434	0.012206	0.0104216	0.0157823	0.0210022	0.0302458	0.050697	0.0445453	0.0771937	0.118651	0.155471	0.0867237	0.0814427	0.0508553	0.0551892	0.0687443	0.0831
a12	0.00776661	0.00642379	0.00654459	0.00754702	0.00500965	0.00922881	0.012717	0.021276	0.0514792	0.0494051	0.0942764	0.144325	0.182676	0.0905673	0.0826537	0.0529059	0.0472994	0.0568656	0.0710334
a18	0.0121739	0.0108621	0.010463	0.0124703	0.011606	0.0196493	0.0250736	0.0384606	0.0669625	0.062292	0.0957977	0.130078	0.157683	0.073593	0.0661483	0.0366766	0.0421713	0.0588289	0.0690092
a25	0.00629679	0.00457395	0.0048915	0.00640963	0.00404494	0.00744477	0.0109076	0.0172455	0.0464716	0.0423417	0.0831442	0.129033	0.16536	0.0755913	0.0793799	0.0597628	0.0649834	0.0940209	0.0980968
a87	0.00905414	0.00686362	0.00668932	0.0075299	0.00470359	0.00769325	0.0102447	0.0149566	0.0425151	0.0448522	0.079293	0.122212	0.158401	0.0647639	0.0670014	0.053747	0.0685222	0.126459	0.104499
a23	0.0119351	0.0102944	0.0103237	0.0192101	0.00624692	0.0128042	0.0157607	0.0267283	0.0746539	0.0757305	0.0769381	0.0802517	0.0686256	0.0404237	0.0344121	0.0381339	0.0599109	0.13483	0.202786
a99	0.0175269	0.0138257	0.0140743	0.0210908	0.00532128	0.00930278	0.0116452	0.0211381	0.0524741	0.0625692	0.0548621	0.0553705	0.0500157	0.0388945	0.0286551	0.0285422	0.0613255	0.127936	0.32543
a62	0.00738169	0.00709917	0.00877645	0.0127516	0.00337728	0.0063148	0.00882823	0.0112775	0.0217361	0.018343	0.0155112	0.0157712	0.0149982	0.0114342	0.00964617	0.0129168	0.0637156	0.17907	0.571051
a21	0.0143285	0.0129297	0.0141973	0.018872	0.00736276	0.0165118	0.0227019	0.0347972	0.0686168	0.0574831	0.0488632	0.0477018	0.0456529	0.0307383	0.0242508	0.0191475	0.0439147	0.100052	0.371878
a85	0.0720285	0.058541	0.042927	0.0396852	0.0298789	0.036494	0.0316517	0.0505914	0.0750822	0.0719663	0.0698357	0.0636418	0.0591318	0.0432996	0.0349014	0.0223921	0.0244965	0.0397618	0.133693
a44	0.0182081	0.0204547	0.0212199	0.0245982	0.0245369	0.0402364	0.0436278	0.0607538	0.0932737	0.0817972	0.0783272	0.0687811	0.0588938	0.0346893	0.0269242	0.0180791	0.0308366	0.0655031	0.189259
a38	0.0130682	0.012088	0.0124599	0.0150575	0.0109649	0.0198382	0.0246324	0.037709	0.0762325	0.0713985	0.0825483	0.0878617	0.0890178	0.0514614	0.0441007	0.030571	0.0414656	0.0900247	0.1895
a11	0.00651721	0.0057021	0.00596827	0.00778842	0.00575947	0.0100618	0.0132208	0.0199365	0.0470957	0.0449005	0.0665397	0.0846029	0.0958328	0.0547329	0.0503676	0.03901	0.0598365	0.123279	0.258848
a70	0.00434769	0.0037483	0.00439255	0.00621426	0.00470193	0.00827094	0.0107589	0.0166258	0.0370856	0.0388588	0.0576678	0.0761097	0.0893963	0.0553857	0.0518763	0.0442052	0.0707562	0.143003	0.276596
a13	0.00298958	0.00248911	0.00321522	0.00501933	0.00347165	0.00637097	0.00837834	0.0113891	0.0246154	0.0273341	0.0404586	0.0547721	0.065136	0.0434441	0.0396688	0.0393569	0.0797521	0.179086	0.363053
a38	0.00232448	0.00184635	0.00223848	0.00317687	0.00177456	0.0030636	0.00351808	0.00534852	0.0158898	0.0187053	0.0335986	0.0476867	0.0559711	0.0390558	0.0343687	0.0412952	0.096903	0.206194	0.387041
a11	0.00133957	0.00102998	0.00120588	0.00187737	0.00119855	0.00208092	0.00293855	0.00412232	0.0125599	0.0128259	0.0241056	0.0391084	0.0507019	0.0310855	0.032755	0.0398384	0.106144	0.22096	0.414123
a93	0.000613898	0.000463043	0.000575617	0.000990994	0.000606344	0.00108862	0.00157926	0.00232028	0.00742055	0.00867338	0.0152185	0.0225399	0.0274837	0.0207637	0.0194222	0.0263801	0.0887817	0.210816	0.544262
a13	0.000796876	0.000639044	0.00080867	0.00133133	0.00103674	0.00169627	0.00242521	0.00358441	0.00943958	0.00955867	0.0168065	0.0260072	0.0336785	0.0233487	0.026472	0.0302184	0.0782433	0.168469	0.56544
