 	c'	est	un	garçon	plein	d'	astuce	</S>
a23	0.259271	0.228286	0.151599	0.111475	0.0899836	0.0700243	0.0361248	0.0532355
a40	0.291869	0.289645	0.155167	0.0824053	0.0811155	0.0460344	0.0229624	0.0308005
a44	0.371354	0.253203	0.138439	0.0584478	0.0416608	0.0461298	0.0454916	0.0452737
a57	0.548795	0.266013	0.0806576	0.0295543	0.0218264	0.0199111	0.0169703	0.0162716
a38	0.441732	0.285947	0.135472	0.0633353	0.0389282	0.0177715	0.00759915	0.00921497
a24	0.279059	0.26428	0.179541	0.113312	0.0737332	0.035772	0.0225952	0.0317074
a13	0.252523	0.21946	0.161482	0.131737	0.100023	0.0558567	0.0349222	0.0439955
a62	0.201667	0.207067	0.193814	0.160373	0.112628	0.0510807	0.0327813	0.0405884
a98	0.183546	0.175841	0.162854	0.15712	0.134346	0.081991	0.0524498	0.0518538
a9	0.147035	0.150827	0.169413	0.188927	0.164154	0.0921234	0.0462598	0.0412607
a87	0.107236	0.115042	0.135286	0.159929	0.158713	0.104607	0.0929433	0.126245
a23	0.0472807	0.0575793	0.102399	0.191598	0.224375	0.159892	0.105704	0.111171
a79	0.113912	0.128337	0.154957	0.153291	0.150672	0.100547	0.0636807	0.134603
a15	0.0696312	0.0551157	0.052253	0.0557347	0.0633229	0.0933334	0.235383	0.375226
a20	0.270058	0.167626	0.120242	0.0955589	0.0838268	0.080471	0.0868553	0.0953628
a84	0.111308	0.105253	0.142531	0.153911	0.127305	0.111054	0.115988	0.132649
a53	0.0690383	0.0545748	0.0783229	0.110185	0.0980941	0.11364	0.201962	0.274184
a90	0.0973174	0.0862392	0.107435	0.113156	0.102054	0.102292	0.163734	0.227772
a53	0.0676313	0.0577675	0.0754973	0.106184	0.11175	0.128399	0.194527	0.258243
a69	0.0456724	0.0324888	0.0330263	0.0553175	0.0728369	0.124687	0.271766	0.364205
a4	0.0384357	0.028929	0.0318194	0.0528191	0.0717924	0.124451	0.280756	0.370997
a94	0.0333253	0.0268278	0.0292217	0.0433852	0.0586264	0.10301	0.281402	0.424201
a76	0.0249139	0.0176852	0.0146619	0.0168287	0.0236378	0.0556942	0.256346	0.590232
a20	0.0482389	0.0308372	0.0233301	0.0259954	0.0317986	0.0692692	0.252713	0.517817
a69	0.0387999	0.0266932	0.0198836	0.020549	0.0248118	0.051972	0.200364	0.616927
a76	0.0135208	0.0101239	0.00878109	0.0100841	0.0138223	0.033322	0.195101	0.715244
a41	0.0470343	0.0309135	0.0265239	0.030134	0.0317656	0.0628462	0.2288	0.541982
a94	0.0196709	0.0129533	0.0129332	0.0181259	0.0206377	0.0487755	0.230241	0.636662
a38	0.0121889	0.00821944	0.00744316	0.00827805	0.00882507	0.0200207	0.137611	0.797414
a70	0.00847596	0.00573298	0.00506162	0.0053135	0.00642753	0.0165538	0.130037	0.822397
a83	0.0140223	0.00823262	0.00566422	0.00544108	0.00647636	0.0166107	0.133367	0.810185
a9	0.0137711	0.00927299	0.0065043	0.00634933	0.00933575	0.0258205	0.158057	0.770889
a87	0.0386718	0.0276683	0.0206065	0.0162497	0.0228742	0.0491147	0.153007	0.671807
a23	0.0241686	0.0170078	0.015649	0.0153136	0.0212945	0.0547902	0.158671	0.693106
a87	0.0526882	0.0296512	0.0251679	0.0221507	0.0264649	0.056663	0.163195	0.624019
</S>	0.0826113	0.0469463	0.0360933	0.0312857	0.0364573	0.069493	0.137364	0.559749
