 	j'	ai	raté	les	cours	aujourd'	hui	par	ta	faute	</S>
a66	0.229348	0.137371	0.0770106	0.082585	0.0712304	0.0936111	0.109022	0.101714	0.0629031	0.01905	0.0161549
a87	0.249605	0.194777	0.116313	0.105469	0.0748856	0.0520013	0.0483594	0.0506144	0.0593372	0.0256641	0.0229734
a10	0.10781	0.120577	0.14292	0.178573	0.140185	0.14231	0.0876913	0.0411586	0.0194871	0.00957949	0.00970821
a87	0.0638364	0.0782797	0.14408	0.191965	0.19305	0.164775	0.0955491	0.0371376	0.0149686	0.00874415	0.0076146
a23	0.0608828	0.072199	0.146317	0.184305	0.1993	0.161282	0.0916586	0.0381119	0.022331	0.0127244	0.0108887
a13	0.117353	0.11069	0.155952	0.155573	0.149385	0.0919227	0.0658599	0.040242	0.0464642	0.035104	0.0314542
a50	0.21324	0.155073	0.100825	0.116423	0.119291	0.0901113	0.0556728	0.0334716	0.0405251	0.0413637	0.0340038
a62	0.202282	0.197927	0.14121	0.153855	0.159839	0.0705857	0.027737	0.0148576	0.0131109	0.00966176	0.00893438
a12	0.159689	0.194662	0.172308	0.164708	0.159062	0.0735075	0.0378142	0.0195563	0.0096188	0.00445646	0.00461727
a61	0.130458	0.151205	0.177482	0.165292	0.185429	0.0872923	0.0500061	0.0272668	0.0139857	0.0057828	0.00580159
a21	0.100005	0.124266	0.180808	0.172805	0.186391	0.100332	0.0659108	0.034632	0.0173875	0.00824396	0.00921889
a5	0.122518	0.130595	0.17645	0.170916	0.162315	0.0943859	0.0635238	0.0392054	0.0226301	0.00853482	0.008926
a18	0.0807082	0.0808356	0.127631	0.153302	0.167501	0.131278	0.0988451	0.0686538	0.0451724	0.0206434	0.0254303
a20	0.0465713	0.0491295	0.0841304	0.116126	0.10721	0.149298	0.173676	0.12041	0.0526882	0.0425548	0.0582059
a90	0.0539646	0.0500142	0.0920821	0.141722	0.163675	0.140915	0.105508	0.0766761	0.0669412	0.0443084	0.0641927
a25	0.0325929	0.0305208	0.0722798	0.115008	0.130855	0.182175	0.162838	0.1032	0.0743828	0.0417523	0.0543956
a92	0.0291356	0.0271116	0.0609716	0.0882263	0.108698	0.156291	0.165571	0.122558	0.0887586	0.0583864	0.0942921
a37	0.0238572	0.0200804	0.0445951	0.0719968	0.0761481	0.151164	0.170683	0.144803	0.120756	0.0777771	0.0981389
a26	0.0215401	0.0166825	0.0355096	0.0685472	0.0613434	0.148259	0.17163	0.160095	0.125899	0.07801	0.112484
a98	0.0150945	0.0121933	0.0103049	0.0182228	0.0133193	0.0346826	0.0670426	0.103974	0.184351	0.266293	0.274522
a15	0.00500692	0.00404608	0.00863827	0.0140228	0.0156806	0.0321509	0.0513717	0.0746066	0.119858	0.218165	0.456453
a79	0.00211725	0.00167625	0.00411991	0.00605634	0.00695195	0.0116986	0.0203542	0.0419661	0.101368	0.246852	0.55684
a44	0.00137899	0.00116333	0.0032796	0.00498873	0.00534329	0.00996338	0.0193578	0.0423231	0.106238	0.295546	0.510418
a21	0.00140922	0.0010385	0.00196784	0.0037907	0.00373671	0.00975873	0.0226623	0.0398448	0.105795	0.335388	0.474608
a12	0.000779907	0.000565577	0.00140266	0.00229856	0.00233601	0.00568303	0.00943268	0.0173031	0.0644923	0.343408	0.552298
a43	0.000284784	0.000216257	0.000528359	0.000977127	0.000853649	0.00245114	0.0051817	0.00938973	0.0377665	0.364218	0.578133
a62	0.000317499	0.000230058	0.000310797	0.000571717	0.000434368	0.00129488	0.00326753	0.00726338	0.0353918	0.286027	0.664891
a75	0.000555464	0.000415905	0.000560777	0.000969613	0.00079272	0.00210652	0.00504839	0.0115889	0.045655	0.282411	0.649896
a5	0.000117951	9.157e-05	0.000215329	0.00033894	0.000343975	0.000786684	0.00213566	0.00528669	0.0343824	0.273845	0.682456
a37	0.000162065	0.000121523	0.000246615	0.000398869	0.000375475	0.000888805	0.00234509	0.00554011	0.0311828	0.232215	0.726523
a44	0.000461731	0.000334529	0.000446824	0.000725652	0.000676905	0.00147412	0.00354168	0.00744073	0.0309241	0.186622	0.767351
a26	0.000670573	0.000536759	0.000548913	0.000830028	0.000747975	0.00142424	0.00329595	0.00692057	0.0316275	0.182592	0.770805
a82	0.0184157	0.0124614	0.0103908	0.0125874	0.00935722	0.018617	0.0414593	0.068625	0.120657	0.218294	0.469135
a87	0.0965637	0.0731589	0.0659157	0.0834097	0.0736107	0.103139	0.101254	0.0758444	0.0797607	0.0892413	0.158101
</S>	0.12831	0.101283	0.0760441	0.12882	0.0923654	0.135157	0.102025	0.0663774	0.0605866	0.0515484	0.0574826
