 	il	débrousse	les	alentours	de	la	case	</S>
a87	0.109532	0.119985	0.307034	0.23732	0.0926651	0.0664371	0.0393103	0.0277169
a23	0.139005	0.133854	0.13791	0.128326	0.113257	0.116862	0.11155	0.119236
a53	0.155287	0.128165	0.134857	0.114437	0.0944175	0.100175	0.116372	0.156289
a76	0.315356	0.219982	0.223982	0.102544	0.0447947	0.0345594	0.0290042	0.0297779
a14	0.310806	0.183096	0.207486	0.116542	0.0543325	0.0502101	0.038696	0.0388321
a35	0.306995	0.205969	0.227252	0.101635	0.0456282	0.0427188	0.034238	0.0355644
a30	0.339035	0.201106	0.185456	0.0848352	0.0463652	0.0493796	0.0441977	0.0496254
a73	0.327726	0.218613	0.201993	0.0854981	0.0452578	0.0427094	0.0369598	0.0412438
a69	0.188092	0.171481	0.228065	0.145886	0.0746759	0.0633874	0.0566338	0.0717784
a76	0.174627	0.165696	0.213154	0.142172	0.0774429	0.0705507	0.067118	0.0892397
a30	0.190706	0.170685	0.195404	0.120522	0.0832638	0.0830381	0.0733846	0.0829971
a57	0.135084	0.113767	0.180705	0.171498	0.109414	0.0981557	0.0835054	0.10787
a87	0.0442324	0.0628755	0.152942	0.20438	0.135112	0.119618	0.121985	0.158855
a79	0.0555734	0.0815546	0.128454	0.136884	0.126123	0.134039	0.159143	0.17823
a41	0.0651457	0.0756624	0.128814	0.148951	0.130099	0.131506	0.136805	0.183016
a66	0.133726	0.117339	0.134477	0.11543	0.113093	0.130573	0.12275	0.132612
a25	0.0699046	0.0675968	0.0975898	0.104307	0.110317	0.145446	0.173857	0.230982
a38	0.0180796	0.0318666	0.0783084	0.121958	0.132247	0.147553	0.198158	0.271828
a41	0.0143735	0.0209514	0.0556922	0.105082	0.123682	0.155414	0.219169	0.305636
a14	0.00881557	0.0119057	0.032021	0.0749469	0.108336	0.156532	0.246111	0.361332
a35	0.0188501	0.0211157	0.0382063	0.0735446	0.109106	0.16576	0.239758	0.33366
a66	0.0106805	0.0109755	0.0196943	0.0433967	0.0790285	0.139876	0.261782	0.434566
a38	0.00445239	0.00663704	0.0126309	0.0265516	0.0542641	0.102911	0.253286	0.539267
a41	0.00337239	0.00474553	0.00910777	0.0232514	0.0512889	0.100241	0.253711	0.554282
a98	0.00250981	0.00305817	0.00596274	0.0180101	0.0462851	0.0987796	0.252027	0.573368
a25	0.00232924	0.00251725	0.00485149	0.0154207	0.0425621	0.104656	0.257779	0.569884
a87	0.00351274	0.0057984	0.0126391	0.036153	0.0756209	0.123345	0.252961	0.48997
</S>	0.00420275	0.00633811	0.0134797	0.0481654	0.114828	0.177425	0.264232	0.371329
