 	apendi	a	délaissé	ses	enfants	</S>
a66	0.476765	0.185512	0.109663	0.103949	0.070348	0.0537623
a82	0.472126	0.235773	0.126237	0.0891458	0.0488625	0.027855
a87	0.51592	0.255848	0.0919577	0.0620311	0.0437302	0.0305127
a97	0.486188	0.294672	0.0941149	0.050731	0.0383048	0.03599
a40	0.491675	0.283467	0.0991827	0.0487106	0.0386797	0.0382848
a47	0.650418	0.169925	0.0424419	0.0474093	0.0457267	0.0440792
a36	0.49156	0.199216	0.0508118	0.0831549	0.0959329	0.0793249
a12	0.30889	0.188919	0.082062	0.136468	0.153309	0.130352
a75	0.358485	0.239672	0.127408	0.0995125	0.0927248	0.0821978
a5	0.186092	0.157197	0.137502	0.18043	0.183292	0.155487
a12	0.204076	0.158649	0.161895	0.15662	0.158403	0.160356
a21	0.130472	0.132156	0.186912	0.174986	0.17668	0.198795
a85	0.0950273	0.101941	0.189469	0.189392	0.1968	0.22737
a41	0.0417118	0.0578456	0.127429	0.197074	0.249449	0.32649
a85	0.0433241	0.0465951	0.103419	0.20318	0.257141	0.346341
a5	0.0223107	0.0345664	0.0929905	0.208515	0.271444	0.370174
a23	0.0183399	0.022055	0.0622846	0.178389	0.288593	0.430338
a31	0.00506897	0.0081461	0.02745	0.121559	0.292683	0.545093
a18	0.00364617	0.0067951	0.0349631	0.10528	0.261624	0.587692
a32	0.00300503	0.00563783	0.0281167	0.0916053	0.250937	0.620699
a88	0.00305397	0.00777219	0.0397138	0.116436	0.260032	0.572992
a71	0.00262553	0.00773039	0.0450304	0.12704	0.258662	0.558911
a25	0.0122394	0.0258786	0.0742564	0.146015	0.245603	0.496007
a82	0.116659	0.111403	0.128468	0.161672	0.196607	0.28519
a87	0.213534	0.190723	0.146448	0.150975	0.140551	0.157768
a97	0.177104	0.147441	0.11172	0.177048	0.194041	0.192646
a38	0.103537	0.0969456	0.0984442	0.16663	0.244125	0.290318
a99	0.0386058	0.0480245	0.0746782	0.163162	0.291015	0.384514
a97	0.0263374	0.0352726	0.0639622	0.155239	0.297022	0.422167
a99	0.0555351	0.0625783	0.0686577	0.130483	0.260754	0.421991
</S>	0.0380459	0.0492268	0.0638213	0.147501	0.285187	0.416218
