 	parmi	vous	cinq	quel	est	celui	qui	s'	est	plaint	d'	avoir	faim	</S>
a66	0.157836	0.108417	0.0841091	0.064341	0.0666308	0.0817797	0.104071	0.0887459	0.114595	0.0744617	0.0286709	0.0118992	0.00755303	0.00689068
a87	0.420831	0.208957	0.091186	0.0335262	0.0307843	0.0281476	0.0339154	0.0317137	0.0460494	0.0243404	0.0128543	0.0112991	0.0119969	0.0143982
a23	0.318127	0.169297	0.108771	0.0754628	0.068293	0.0541846	0.0578255	0.0422247	0.0420991	0.0194258	0.0103634	0.00984239	0.0115334	0.01255
a87	0.255286	0.188719	0.126671	0.102045	0.0673696	0.0467754	0.0540464	0.0401838	0.0340315	0.0123173	0.0106624	0.0132415	0.0197555	0.0288959
a23	0.21786	0.184477	0.129399	0.117511	0.0808114	0.0538104	0.0537772	0.0380011	0.0365905	0.0143146	0.0122432	0.0134414	0.0190986	0.0286642
a10	0.211138	0.176411	0.115516	0.105014	0.0673045	0.0479979	0.0464436	0.0335911	0.0389404	0.0233617	0.021276	0.0283063	0.0368125	0.0478871
a54	0.151659	0.146529	0.115077	0.129488	0.0897158	0.0674895	0.0672247	0.0506795	0.0564929	0.0336004	0.0224928	0.0211456	0.021972	0.0264336
a6	0.184371	0.183282	0.16453	0.100068	0.0638062	0.0464593	0.0379787	0.030071	0.0406913	0.0361854	0.0250114	0.0309746	0.0296514	0.0269207
a36	0.171272	0.167816	0.129732	0.0890779	0.077914	0.0624925	0.0479711	0.0391454	0.0366758	0.0298746	0.0243579	0.0364708	0.0486334	0.0385654
a5	0.118668	0.156834	0.130744	0.125575	0.112788	0.0853612	0.0610326	0.0428539	0.0298863	0.0225667	0.0196937	0.025938	0.035665	0.0323934
a85	0.115162	0.132538	0.132961	0.147304	0.122681	0.0950648	0.0690425	0.0491123	0.0331853	0.0276562	0.0166277	0.0157034	0.0219697	0.0209914
a6	0.0596523	0.0816698	0.105721	0.126119	0.120793	0.121417	0.0907967	0.0766283	0.0586286	0.0529259	0.0247603	0.0198865	0.0293594	0.0316419
a36	0.0543229	0.0556642	0.0746866	0.127998	0.124091	0.138011	0.114529	0.0881532	0.0606375	0.0627717	0.0244795	0.0180995	0.0294693	0.0270872
a85	0.060178	0.0446415	0.0465568	0.091799	0.121349	0.158695	0.134927	0.104904	0.0713569	0.0521687	0.0222558	0.0204381	0.0373793	0.0333518
a47	0.0169774	0.0151199	0.0208358	0.0589427	0.0786792	0.133543	0.145272	0.128598	0.0978418	0.101781	0.0442792	0.0350204	0.0632407	0.0598682
a92	0.00969324	0.00984345	0.0142299	0.0429461	0.0543148	0.112462	0.133946	0.133173	0.111521	0.101456	0.053289	0.0452801	0.0869647	0.090881
a79	0.0118934	0.0103047	0.0138158	0.0385944	0.0504138	0.103663	0.126925	0.131634	0.112058	0.132517	0.0710841	0.0457572	0.0788925	0.072447
a7	0.00855274	0.00856472	0.0125773	0.0381951	0.0445458	0.0894829	0.108939	0.129098	0.113563	0.136883	0.0864786	0.054765	0.0798881	0.0884663
a85	0.00597992	0.00454277	0.00557273	0.0129716	0.0180806	0.0459314	0.0678622	0.103964	0.111842	0.13898	0.121461	0.0861747	0.130402	0.146235
a21	0.00276208	0.00301172	0.00447005	0.0153195	0.0174999	0.0361751	0.0491323	0.0764216	0.087731	0.129148	0.130658	0.101915	0.146985	0.19877
a12	0.00310262	0.00258809	0.00316429	0.00667677	0.00775854	0.0149866	0.0228089	0.0411198	0.0522358	0.0944372	0.142922	0.164955	0.198077	0.245167
a96	0.0047345	0.00362139	0.00413817	0.00819895	0.00982437	0.0189657	0.0245671	0.0375906	0.0429619	0.0796676	0.126827	0.169822	0.178996	0.290085
a75	0.00230303	0.00154103	0.00168141	0.00421345	0.00609902	0.0130528	0.0156462	0.0235697	0.0249724	0.0436826	0.0919205	0.164288	0.210994	0.396036
a85	0.000567237	0.000479074	0.000586115	0.00175917	0.00210964	0.00512855	0.00689956	0.0109172	0.0125083	0.0271675	0.0778392	0.17139	0.220533	0.462116
a6	0.000317895	0.000312488	0.00036849	0.00118828	0.00141248	0.00325241	0.00441962	0.00670378	0.00692435	0.0176534	0.0558812	0.166114	0.256128	0.479324
a75	0.000296888	0.000285097	0.000335864	0.000878753	0.00108619	0.00246984	0.0034528	0.00596668	0.00711614	0.0164428	0.0533742	0.165959	0.250252	0.492084
a12	0.000330091	0.000263952	0.000303965	0.000719095	0.000912991	0.00209087	0.002833	0.00499835	0.00593402	0.0138795	0.0548097	0.170986	0.248308	0.493631
a96	0.000542816	0.000336909	0.000312442	0.000597781	0.000936169	0.00166257	0.00222512	0.00423793	0.0046636	0.0116569	0.0432194	0.162868	0.283646	0.483094
a75	0.00196822	0.00121527	0.00105734	0.00170483	0.00305272	0.00533852	0.00637564	0.00909912	0.0103949	0.0200682	0.0586468	0.173805	0.260915	0.446359
a36	0.000533923	0.000299385	0.000254573	0.000458159	0.00071107	0.00152583	0.00190064	0.00354387	0.00389958	0.00982579	0.0411223	0.158445	0.258743	0.518736
a27	0.00281972	0.00178384	0.00140607	0.00169788	0.00287071	0.00532197	0.00628056	0.00866437	0.0101784	0.0180197	0.0572097	0.14122	0.252123	0.490404
a30	0.0488404	0.0340544	0.0239674	0.0178323	0.0211699	0.0239062	0.0189248	0.0186836	0.018814	0.0448967	0.0786268	0.125527	0.196255	0.328501
a97	0.193208	0.0949499	0.0563371	0.036245	0.0376128	0.0417971	0.0318205	0.0284199	0.0251878	0.0342306	0.0432546	0.0657245	0.110546	0.200666
a87	0.314411	0.130768	0.0696243	0.0413456	0.0441034	0.043413	0.0436701	0.037961	0.0427604	0.0431922	0.037973	0.0402788	0.0473512	0.0631479
a23	0.278033	0.110823	0.0549983	0.0288454	0.0329154	0.0338181	0.0348854	0.033394	0.0443931	0.0545628	0.0619738	0.0659071	0.0774819	0.087969
a87	0.0642931	0.0299902	0.0169256	0.00807351	0.00849032	0.00803307	0.00697108	0.00747091	0.00993261	0.0228387	0.0725187	0.174062	0.241347	0.329054
a97	0.0279595	0.011014	0.00632893	0.00490978	0.00513565	0.00660561	0.00763125	0.0111718	0.0117096	0.023536	0.0591186	0.128308	0.284927	0.411645
</S>	0.0870952	0.0277669	0.0120546	0.0096409	0.0122384	0.0174262	0.0265698	0.0380901	0.0405807	0.0502584	0.0911075	0.126571	0.219454	0.241146
