 	ils	ont	marché	toute	la	nuit	et	son	arrivés	à	l'	aube	</S>
a23	0.111505	0.0841675	0.0423313	0.0517152	0.0785665	0.0941599	0.0782549	0.0840088	0.0984997	0.0641341	0.0453868	0.0615195	0.10575
a99	0.119135	0.0949018	0.0739778	0.112382	0.127823	0.111992	0.0725549	0.061904	0.0555699	0.0403942	0.0311117	0.0353911	0.0628632
a54	0.0962555	0.106895	0.100323	0.122789	0.099828	0.0856272	0.0559601	0.0570675	0.0480601	0.0365753	0.0339535	0.0473787	0.109288
a14	0.353524	0.270493	0.11081	0.0590168	0.0389007	0.0317857	0.0196748	0.0255955	0.0343656	0.0156793	0.0138853	0.0122029	0.0140657
a41	0.191379	0.18114	0.126539	0.122123	0.0889103	0.0738806	0.0415405	0.04677	0.0628616	0.0221247	0.0164663	0.0140469	0.0122188
a35	0.0995394	0.105688	0.105351	0.125638	0.108736	0.100114	0.0738338	0.0812516	0.0978034	0.0382931	0.0271806	0.0197642	0.0168075
a41	0.0758998	0.0787006	0.0863846	0.117077	0.113262	0.110787	0.0913809	0.095413	0.101755	0.045201	0.0334525	0.024915	0.0257715
a96	0.0541959	0.0553874	0.0713482	0.116853	0.132607	0.131549	0.108693	0.102817	0.102117	0.0437383	0.0303767	0.0231263	0.0271918
a18	0.0456009	0.0522687	0.0677775	0.112345	0.145572	0.150659	0.117991	0.104563	0.0955526	0.0401946	0.0257465	0.0180732	0.0236563
a24	0.0351473	0.0391321	0.0538437	0.0958256	0.141833	0.155659	0.13354	0.121777	0.104634	0.0482993	0.0288324	0.0182194	0.0232581
a25	0.0310734	0.0330469	0.0443332	0.0768491	0.127908	0.150921	0.143643	0.134534	0.115389	0.0580868	0.0331362	0.022061	0.0290188
a38	0.0275379	0.0323025	0.0446383	0.075258	0.128031	0.162725	0.161374	0.144827	0.0988368	0.055358	0.0306721	0.0169974	0.0214413
a90	0.0250987	0.0268547	0.036234	0.0641178	0.119463	0.155036	0.16024	0.151184	0.105432	0.0646838	0.0392446	0.0230995	0.0293109
a96	0.0313435	0.0346708	0.0395406	0.0563482	0.0902456	0.127277	0.146068	0.157836	0.129319	0.0784657	0.0499186	0.0294886	0.029478
a62	0.0221886	0.0210996	0.0242371	0.0387676	0.0729013	0.112269	0.148563	0.173063	0.135686	0.102614	0.0709258	0.0425657	0.0351204
a83	0.0140575	0.0130986	0.0160138	0.0303783	0.0655926	0.109312	0.15633	0.182353	0.136478	0.106198	0.0739648	0.0506145	0.0456097
a9	0.0195554	0.0175969	0.0200558	0.0352991	0.0673526	0.101464	0.147153	0.166641	0.128831	0.107374	0.084161	0.0573228	0.0471924
a0	0.0169151	0.0156682	0.0188586	0.0351763	0.0679547	0.1117	0.172079	0.159192	0.090969	0.0898544	0.0904812	0.0684978	0.0626538
a24	0.0160676	0.0140176	0.0172921	0.0334223	0.0636616	0.0976261	0.14086	0.129424	0.0846733	0.086321	0.0996441	0.102339	0.114651
a50	0.0251931	0.019804	0.0197256	0.0293809	0.0568557	0.0866793	0.121504	0.144453	0.10852	0.108517	0.104168	0.0872365	0.087962
a83	0.0314064	0.0255077	0.0256521	0.0363947	0.059781	0.085871	0.118788	0.140973	0.108948	0.109816	0.099168	0.0798048	0.0778892
a56	0.0319942	0.0260652	0.0261677	0.0363358	0.0582839	0.0772646	0.109086	0.131823	0.100227	0.116295	0.112099	0.0904853	0.0838731
a94	0.0420135	0.0333949	0.0290741	0.0350252	0.0524672	0.0683998	0.0937529	0.113996	0.0836672	0.10606	0.114466	0.102569	0.125115
a57	0.0242936	0.0193747	0.0194312	0.028354	0.0495847	0.0632083	0.0837993	0.101812	0.0798507	0.104319	0.123876	0.130799	0.171298
a87	0.0260735	0.0214202	0.0212632	0.0282535	0.0430292	0.0550285	0.0826303	0.0876752	0.0687437	0.0974384	0.131741	0.162702	0.174001
a40	0.0159081	0.0134499	0.014322	0.0159276	0.024309	0.0313733	0.0442494	0.0514176	0.0562339	0.0815198	0.119399	0.209974	0.321917
a41	0.0459197	0.0298157	0.0226272	0.0205631	0.0313167	0.0363429	0.0463065	0.0591292	0.053132	0.071764	0.0720437	0.104269	0.40677
a44	0.0186613	0.0153456	0.014292	0.0212607	0.0427915	0.070497	0.106356	0.104134	0.0619566	0.075932	0.0877375	0.104237	0.276798
a27	0.018047	0.0161238	0.017129	0.0226108	0.0371999	0.0469653	0.0660978	0.0686582	0.0394686	0.0676485	0.0887029	0.127414	0.383934
a75	0.00565267	0.00492759	0.00581207	0.00867562	0.019007	0.0239395	0.0365702	0.0374056	0.0229863	0.051754	0.0819087	0.174183	0.527178
a21	0.0142391	0.0124283	0.0121511	0.0149432	0.025003	0.0326996	0.0488111	0.0517299	0.0333712	0.0625406	0.0969839	0.151089	0.44401
