 	elle	se	prépara	deux	jours	en	avance	</S>
a87	0.196625	0.0973909	0.143601	0.148465	0.131692	0.104654	0.104687	0.0728857
a79	0.189394	0.105029	0.0893843	0.133013	0.137614	0.0930232	0.109215	0.143328
a20	0.214372	0.118962	0.180888	0.183953	0.126975	0.0704706	0.0533724	0.0510073
a58	0.561048	0.194893	0.121822	0.0571	0.0189493	0.0139175	0.0139146	0.0183558
a54	0.485359	0.238922	0.134649	0.0683167	0.0266273	0.016022	0.0135	0.0166043
a73	0.198445	0.208264	0.219166	0.141049	0.0839689	0.0632276	0.045754	0.0401251
a44	0.244031	0.219673	0.185034	0.129586	0.0788946	0.0591171	0.0431543	0.0405103
a20	0.164592	0.18086	0.183261	0.143064	0.103733	0.0896507	0.0664878	0.0683508
a44	0.122786	0.125435	0.158579	0.141333	0.131287	0.124922	0.093054	0.102603
a69	0.115129	0.118106	0.156393	0.150551	0.13415	0.127326	0.0914743	0.10687
a90	0.0566529	0.0694577	0.136039	0.138196	0.149731	0.178127	0.130066	0.14173
a54	0.0614869	0.0680078	0.130654	0.146164	0.155272	0.180332	0.123867	0.134216
a73	0.0627128	0.0698089	0.137492	0.145332	0.14858	0.174364	0.131726	0.129985
a94	0.0665397	0.0649468	0.125807	0.142373	0.148813	0.174559	0.132069	0.144892
a38	0.0537347	0.0490027	0.104674	0.1473	0.161301	0.188706	0.138584	0.156697
a76	0.0457178	0.0396076	0.0942606	0.133824	0.154346	0.192777	0.160257	0.17921
a69	0.051736	0.0507879	0.0886794	0.105473	0.132236	0.168204	0.17616	0.226724
a90	0.034578	0.0398478	0.0731203	0.100454	0.15796	0.201285	0.186127	0.206629
a4	0.025786	0.0278833	0.0662617	0.0910467	0.149879	0.21796	0.203025	0.218159
a57	0.0240899	0.029733	0.0792884	0.109393	0.173016	0.212418	0.176989	0.195072
a82	0.0304486	0.0273172	0.0880385	0.133793	0.174017	0.199172	0.15668	0.190534
a87	0.0234195	0.0229333	0.07117	0.104825	0.172621	0.208926	0.169675	0.22643
a23	0.0203265	0.0184353	0.0597719	0.0863778	0.113305	0.142467	0.183895	0.375422
a50	0.0174318	0.0109804	0.0290564	0.04867	0.0628752	0.0792205	0.148637	0.603129
a13	0.0509797	0.0277892	0.0393572	0.0530958	0.072155	0.0964477	0.133137	0.527038
a9	0.0234194	0.0156052	0.0472564	0.0783286	0.121304	0.161243	0.156614	0.39623
a82	0.00935136	0.00806162	0.0262232	0.0468915	0.106784	0.154229	0.193924	0.454536
a53	0.00433337	0.00407621	0.017067	0.0351954	0.100874	0.159225	0.245599	0.43363
a93	0.00504975	0.00412458	0.0191392	0.0281857	0.0695312	0.115824	0.159152	0.598994
a12	0.0080641	0.00514928	0.0147805	0.0265543	0.0674605	0.143278	0.192054	0.542659
a90	0.0162432	0.0119209	0.0232212	0.0282089	0.0543256	0.113685	0.169937	0.582458
a70	0.0141933	0.0146695	0.0319086	0.0363226	0.074914	0.177041	0.205652	0.445299
a66	0.00845887	0.00808522	0.0196758	0.0240175	0.0533886	0.139043	0.202035	0.545296
a15	0.00180096	0.00219165	0.0079414	0.0124689	0.0420017	0.103435	0.202593	0.627568
a73	0.00206563	0.00310134	0.0137504	0.0153711	0.0392247	0.103913	0.177703	0.644871
a69	0.00178288	0.00261087	0.0139921	0.0158554	0.0461434	0.125109	0.200993	0.593514
a57	0.00220297	0.0030167	0.0129063	0.0149469	0.0365312	0.103917	0.19687	0.629609
a53	0.000685314	0.000820036	0.00428534	0.00545274	0.0185579	0.054447	0.15	0.765751
a4	0.000677022	0.000868158	0.00452528	0.00752891	0.0225069	0.0644512	0.170588	0.728855
a11	0.00161318	0.00146729	0.00412849	0.00643977	0.0191652	0.0552758	0.173516	0.738394
a32	0.0011836	0.00100171	0.00333869	0.00467213	0.0167818	0.0505926	0.192187	0.730242
a53	0.00247055	0.0022647	0.0088642	0.00910495	0.024299	0.061124	0.197483	0.69439
a4	0.00085672	0.00101213	0.0037416	0.00570685	0.0188214	0.0525526	0.168426	0.748883
a13	0.00218435	0.00197784	0.00516656	0.00686524	0.021597	0.0613332	0.17667	0.724206
a9	0.0031559	0.00275098	0.00978448	0.0102338	0.0262048	0.0666545	0.188069	0.693146
a87	0.00540825	0.00384651	0.015856	0.0156772	0.0383492	0.0913336	0.228401	0.601129
</S>	0.00754372	0.00334577	0.0127286	0.01867	0.067884	0.132392	0.247328	0.510108
