 	son	oncle	est	mort	il	y	a	deux	ans	</S>
a23	0.223217	0.203729	0.118418	0.100836	0.0833779	0.078358	0.0602555	0.0487989	0.0393701	0.04364
a10	0.321254	0.220316	0.116616	0.0895733	0.0622245	0.0414323	0.033426	0.0336926	0.0332671	0.0481986
a40	0.235433	0.266118	0.134703	0.0940083	0.0564188	0.0364777	0.0324655	0.0366809	0.0408887	0.0668064
a6	0.643789	0.177188	0.0627661	0.0289455	0.0196732	0.0178712	0.0139988	0.0118796	0.0108255	0.0130632
a36	0.515291	0.212029	0.0961495	0.0491907	0.0321446	0.0267	0.0195092	0.0149233	0.0150823	0.0189796
a27	0.316531	0.245744	0.130962	0.0835646	0.0558228	0.0416386	0.032042	0.0264152	0.0301099	0.0371698
a26	0.161007	0.153134	0.112636	0.0948062	0.0923507	0.0666064	0.060902	0.0588382	0.0837291	0.115991
a57	0.0848158	0.124035	0.0999607	0.0898763	0.0841873	0.0589247	0.0606856	0.0715845	0.122376	0.203554
a87	0.0736823	0.11195	0.0875202	0.0811275	0.0732176	0.0529841	0.0631751	0.0835172	0.13808	0.234746
a23	0.239622	0.215295	0.125779	0.0816521	0.0659744	0.0508981	0.045966	0.0463818	0.0539789	0.0744529
a30	0.172917	0.178252	0.115703	0.0888828	0.0772098	0.0654358	0.0643384	0.0690023	0.0736258	0.0946332
a99	0.132334	0.189491	0.129691	0.0999304	0.0777007	0.0558162	0.0533632	0.0577329	0.0794179	0.124523
a53	0.15334	0.194536	0.127104	0.0956334	0.0702053	0.0489116	0.0499385	0.0548411	0.0745458	0.130944
a90	0.312153	0.210668	0.135169	0.0923062	0.0635589	0.0499709	0.0394429	0.0313622	0.0296148	0.0357534
a44	0.241073	0.178315	0.143532	0.108425	0.0934949	0.0731931	0.057301	0.0404574	0.032341	0.0318672
a90	0.173872	0.169674	0.140466	0.114271	0.100109	0.0732534	0.0601623	0.0509294	0.0535078	0.0637548
a44	0.145541	0.150917	0.136815	0.115969	0.112154	0.0856257	0.0691658	0.0573839	0.0580032	0.068426
a54	0.112898	0.142375	0.129883	0.111316	0.108442	0.0824158	0.0684946	0.0617323	0.0758505	0.106594
a20	0.0646404	0.1029	0.105412	0.108499	0.123213	0.094094	0.0880051	0.0834707	0.0990273	0.130739
a54	0.0790721	0.123509	0.112791	0.121606	0.128548	0.103307	0.0921765	0.0801628	0.0766063	0.082221
a44	0.0658862	0.0980455	0.0986526	0.104458	0.118729	0.103435	0.0982714	0.0980545	0.104527	0.109941
a56	0.0535291	0.0767072	0.0867009	0.0990491	0.127046	0.105535	0.100833	0.097681	0.115778	0.137141
a34	0.0632174	0.0825353	0.092622	0.104218	0.129977	0.107077	0.100554	0.0955236	0.105763	0.118513
a93	0.0393564	0.0591829	0.0685765	0.0883957	0.120965	0.103052	0.105668	0.109992	0.138324	0.166488
a53	0.0298406	0.04935	0.0610859	0.0890374	0.128759	0.105702	0.104217	0.105022	0.141712	0.185275
a90	0.0357789	0.0539093	0.0596211	0.0809041	0.121535	0.0990771	0.101881	0.109925	0.144423	0.192945
a20	0.0478142	0.0671276	0.0668689	0.0868922	0.122247	0.0939564	0.0924719	0.102245	0.134683	0.185694
a73	0.0722407	0.0782163	0.054827	0.0605171	0.0905398	0.0820312	0.0927533	0.116397	0.153802	0.198675
a84	0.0763403	0.0812654	0.0588679	0.0690672	0.100197	0.0872775	0.0951845	0.109087	0.12926	0.193452
a66	0.0237672	0.0390162	0.0358435	0.0450681	0.0625402	0.0553967	0.0717765	0.112625	0.15881	0.395157
a79	0.0390473	0.0320115	0.0322327	0.0455289	0.0622209	0.0549203	0.0631712	0.0908535	0.157182	0.422831
a12	0.0371765	0.0423285	0.0368563	0.0492305	0.0730496	0.0597307	0.0757979	0.109618	0.174593	0.341619
a34	0.0592458	0.0533483	0.0506351	0.0631088	0.0817839	0.0791655	0.0901286	0.114821	0.158649	0.249114
a61	0.0495436	0.0529638	0.0518904	0.0623426	0.0796096	0.0773876	0.0915698	0.117622	0.158442	0.258629
a96	0.0275975	0.0321968	0.0361223	0.0479012	0.0677897	0.066433	0.0834552	0.119592	0.186926	0.331986
a62	0.0268343	0.0304936	0.031305	0.0361029	0.0484088	0.04765	0.0653438	0.106887	0.202733	0.404242
a83	0.0102071	0.0142004	0.0174627	0.0251028	0.0401814	0.0419214	0.0600262	0.105146	0.226722	0.45903
a38	0.00771182	0.0111091	0.0128206	0.0174306	0.0276437	0.0308945	0.0500555	0.101323	0.239092	0.501919
a44	0.00397788	0.00549968	0.00623417	0.00923755	0.0164076	0.019564	0.0376602	0.0932949	0.252553	0.555571
a94	0.00424901	0.00587112	0.00665317	0.00957484	0.0163672	0.0201326	0.0378089	0.0899499	0.236967	0.572426
a18	0.00538975	0.00623279	0.006843	0.00957812	0.0163103	0.020553	0.0377065	0.0882648	0.240893	0.568229
a96	0.00640207	0.00576462	0.00598898	0.00787364	0.0134681	0.0165707	0.0349106	0.0977904	0.248007	0.563223
a66	0.0102993	0.00899902	0.00914656	0.0113206	0.0191778	0.0222329	0.0453055	0.117042	0.269062	0.487415
a54	0.0188139	0.0132289	0.0125981	0.0145293	0.0220226	0.0238539	0.0479623	0.119702	0.243172	0.484118
a7	0.0269273	0.0160707	0.0140655	0.0154224	0.0227832	0.0262956	0.0509729	0.123212	0.23399	0.470261
a84	0.0109005	0.00824084	0.00841054	0.00964335	0.0150373	0.0185699	0.0362437	0.0995967	0.242406	0.550951
a57	0.0561101	0.0296712	0.0230472	0.0231816	0.0300591	0.0368619	0.0601267	0.130548	0.209879	0.400515
