 	ce	safoutier	me	causera	des	ennuis	</S>
a23	0.381919	0.26118	0.100039	0.0574221	0.0444216	0.0580113	0.0970077
a20	0.335698	0.170706	0.110106	0.0626834	0.0886795	0.102786	0.129342
a15	0.249572	0.166044	0.0630167	0.0406232	0.0775709	0.218139	0.185033
a94	0.42599	0.253242	0.0930734	0.0605143	0.057424	0.0721497	0.0376073
a11	0.477608	0.251664	0.104277	0.0637984	0.0407643	0.0364728	0.025416
a75	0.371315	0.283254	0.147556	0.108116	0.0353122	0.0296385	0.0248075
a73	0.187495	0.213127	0.147737	0.174489	0.105102	0.0905674	0.0814821
a44	0.218561	0.246851	0.151691	0.151924	0.084593	0.0725059	0.0738741
a53	0.181589	0.246232	0.153054	0.147314	0.0899808	0.088714	0.0931165
a90	0.139964	0.217042	0.167156	0.160728	0.108512	0.101079	0.105519
a56	0.142746	0.204706	0.158716	0.156319	0.110298	0.114486	0.112728
a0	0.125348	0.198356	0.175008	0.19365	0.112947	0.104924	0.0897669
a11	0.156523	0.210861	0.171964	0.18122	0.100565	0.0869728	0.0918938
a90	0.110763	0.176721	0.187875	0.248079	0.116861	0.0827316	0.076969
a13	0.087185	0.128246	0.0993563	0.120921	0.10827	0.201388	0.254633
a53	0.0809346	0.123189	0.124881	0.155359	0.139026	0.194096	0.182513
a90	0.0522461	0.085999	0.0751063	0.102673	0.0870708	0.212465	0.38444
a54	0.0567246	0.0949375	0.0861037	0.114752	0.120644	0.221642	0.305196
a41	0.0563527	0.0967868	0.0879666	0.11652	0.108584	0.215495	0.318295
a56	0.0570262	0.0937525	0.0843649	0.10536	0.120306	0.215844	0.323347
a98	0.057772	0.0973258	0.0925863	0.124277	0.113162	0.210094	0.304783
a73	0.0716842	0.10155	0.0902929	0.11506	0.101543	0.188688	0.331182
a84	0.0472654	0.0870931	0.0864455	0.103461	0.114196	0.21434	0.3472
a53	0.0093901	0.0188295	0.026101	0.042122	0.0666822	0.25244	0.584435
a69	0.0401792	0.075101	0.0859145	0.11382	0.113681	0.21202	0.359284
a58	0.0402283	0.0635816	0.0676579	0.0698402	0.0807191	0.20824	0.469733
a82	0.00950061	0.0164211	0.0195698	0.0231925	0.0382846	0.191737	0.701294
a87	0.00776391	0.0110322	0.0130493	0.0163623	0.0389848	0.213877	0.69893
a23	0.00789269	0.00703176	0.00487272	0.00380096	0.0151593	0.17026	0.790982
a87	0.0226071	0.0164128	0.0103604	0.00612308	0.0379245	0.272822	0.63375
a23	0.00463927	0.00349491	0.00271586	0.00212321	0.0230423	0.237111	0.726874
a87	0.0271397	0.0210129	0.0161891	0.0113401	0.0548264	0.266175	0.603317
</S>	0.00865068	0.00824792	0.0072529	0.00639602	0.0491059	0.288559	0.631788
