 	le	guérisseur	a	crachoté	de	l'	herbe	mâchée	sur	le	malade	</S>
a23	0.22816	0.098121	0.0803858	0.0803716	0.0860517	0.0884354	0.0910206	0.0871988	0.0546432	0.0416186	0.0335471	0.0304465
a87	0.332153	0.126974	0.0729989	0.0557312	0.0570932	0.063146	0.0613676	0.0573285	0.0469628	0.0367061	0.039796	0.0497431
a10	0.169746	0.156691	0.148058	0.113752	0.0677033	0.0599233	0.0421018	0.0407516	0.0407121	0.0405687	0.0494513	0.0705405
a83	0.188719	0.163521	0.164041	0.111417	0.0607776	0.0481236	0.0358858	0.0337245	0.0386318	0.0386492	0.0470114	0.0694982
a54	0.220102	0.18078	0.124198	0.0602866	0.0563838	0.0557509	0.0479177	0.0392987	0.0419475	0.045535	0.0546413	0.0731585
a92	0.308849	0.23648	0.105122	0.0460681	0.0404482	0.0450825	0.048375	0.043454	0.0285243	0.02744	0.0287573	0.0413984
a34	0.182454	0.185926	0.118351	0.0750941	0.07453	0.0850634	0.0728946	0.0560726	0.0345195	0.0314442	0.035202	0.0484485
a75	0.130548	0.128592	0.126551	0.104455	0.0954448	0.103723	0.0943691	0.0780587	0.0371128	0.0309091	0.0304355	0.0398013
a85	0.125376	0.116742	0.116334	0.11054	0.0914099	0.0940546	0.0819734	0.0814446	0.0522209	0.0410771	0.0390094	0.0498174
a37	0.147787	0.147835	0.139686	0.113049	0.0824097	0.0773861	0.062714	0.0604172	0.0509557	0.0419704	0.0363997	0.0393906
a34	0.0908423	0.0844833	0.133945	0.161312	0.141102	0.125741	0.0870775	0.072921	0.0337846	0.0236763	0.0203437	0.0247711
a62	0.0473601	0.0448809	0.0838984	0.14587	0.15249	0.150946	0.116858	0.101536	0.0519203	0.0367025	0.0319237	0.0356138
a83	0.0297186	0.0287272	0.0539745	0.125562	0.156369	0.170857	0.139091	0.120909	0.0597324	0.0417937	0.0347424	0.0385238
a90	0.0216647	0.0218884	0.039804	0.100365	0.137061	0.157105	0.144498	0.146132	0.0810896	0.055911	0.0465232	0.0479591
a92	0.0244917	0.0252994	0.040192	0.0788972	0.106912	0.133348	0.133177	0.144535	0.102457	0.0786903	0.0649481	0.0670521
a44	0.0299404	0.029508	0.041897	0.0593825	0.0744033	0.0927605	0.104831	0.119532	0.111366	0.115312	0.112784	0.108284
a98	0.0324018	0.0299599	0.0396608	0.0626088	0.0755571	0.0988785	0.125434	0.14686	0.110961	0.0959173	0.0875657	0.0941944
a75	0.0311321	0.0307715	0.0425249	0.0544337	0.0618506	0.0690059	0.0808233	0.102013	0.11087	0.127996	0.136669	0.15191
a21	0.0426425	0.0419483	0.053392	0.0607178	0.062401	0.066518	0.0787373	0.10049	0.0971013	0.11153	0.13305	0.151472
a18	0.0471475	0.0371193	0.0400406	0.0491341	0.0528227	0.0636981	0.0838756	0.108852	0.0999755	0.116285	0.141543	0.159507
a11	0.0213018	0.0191887	0.0263441	0.0485006	0.0556201	0.0682594	0.0894464	0.13874	0.13025	0.123484	0.121416	0.157449
a75	0.0111301	0.0097663	0.0135839	0.0262076	0.0351737	0.0478338	0.0760834	0.138874	0.136674	0.1403	0.150318	0.214055
a88	0.0289618	0.0273072	0.0310873	0.0396941	0.0393568	0.0428762	0.0516018	0.0809202	0.0948298	0.131516	0.177317	0.254532
a0	0.0130484	0.0118088	0.0152637	0.0263518	0.0330963	0.0435889	0.0676755	0.122298	0.145867	0.166131	0.168541	0.186329
a75	0.00470461	0.00395045	0.00535611	0.01226	0.0152955	0.0222057	0.0401019	0.10714	0.147589	0.185172	0.196105	0.260119
a21	0.0117133	0.0130039	0.0165801	0.0253101	0.0278898	0.0317514	0.0414812	0.0702053	0.0965432	0.139821	0.197074	0.328627
a47	0.0131961	0.0113937	0.013035	0.0187812	0.0257402	0.0352597	0.0636384	0.109894	0.134704	0.168848	0.192868	0.212642
a62	0.00482403	0.00417176	0.00537018	0.0115938	0.014875	0.0218788	0.0432621	0.098226	0.133984	0.180254	0.217807	0.263754
a75	0.00273327	0.00239267	0.00312246	0.00710887	0.0106356	0.0164931	0.0337883	0.0777932	0.10868	0.167034	0.231735	0.338484
a25	0.00248441	0.00250316	0.0031541	0.00731611	0.0100904	0.0143971	0.0276891	0.0643067	0.104462	0.171467	0.239757	0.352372
a90	0.00136921	0.00165829	0.00255003	0.00610458	0.00781923	0.0100478	0.0156659	0.0358685	0.0771264	0.152854	0.251219	0.437717
a58	0.000957267	0.00111101	0.00195352	0.0053842	0.00773888	0.0106079	0.018246	0.0455133	0.0896605	0.165745	0.258324	0.394758
a53	0.000421516	0.000362282	0.000428279	0.000781086	0.00109571	0.00184581	0.00450192	0.015433	0.0356107	0.111608	0.269249	0.558662
a90	0.00054271	0.00050556	0.000648135	0.00126034	0.00165456	0.00247431	0.00505938	0.0148154	0.0375804	0.109069	0.252851	0.57354
a70	0.000475653	0.000479902	0.000650057	0.00134486	0.00174133	0.00259036	0.00483006	0.0129874	0.0348712	0.102704	0.251022	0.586303
a83	0.000448233	0.000412538	0.000515621	0.00105303	0.0012646	0.00187968	0.00340673	0.0102663	0.0272988	0.0914036	0.247027	0.615024
a9	0.000867211	0.000695918	0.000713317	0.00121603	0.00142769	0.00210684	0.00348964	0.0102914	0.0295488	0.106085	0.26564	0.577918
a10	0.00521811	0.00332869	0.00294481	0.00320712	0.00455149	0.00632377	0.010485	0.0253249	0.0664833	0.163323	0.290922	0.417888
a97	0.0246176	0.011579	0.00838379	0.00973433	0.0121727	0.0156866	0.0250325	0.0535116	0.114628	0.178412	0.239965	0.306277
</S>	0.0436462	0.0233898	0.0145577	0.0167509	0.0181063	0.0225439	0.0349518	0.0621285	0.112815	0.158076	0.211826	0.281208
