 	le	singe	n'	adopte	pas	l'	enfant	de	son	frère	</S>
a10	0.18288	0.117222	0.141652	0.167489	0.117126	0.0776545	0.0431	0.0329517	0.0342774	0.0403042	0.0453434
a87	0.202841	0.130437	0.116003	0.112809	0.0878489	0.0587254	0.0393114	0.0398718	0.05158	0.0736857	0.0868862
a23	0.258623	0.18883	0.123482	0.105973	0.0565081	0.0433361	0.0296721	0.0271738	0.0327656	0.0528395	0.080796
a11	0.175537	0.246051	0.14875	0.141443	0.057958	0.0435898	0.0314814	0.0280603	0.0299505	0.0442686	0.0529115
a24	0.48794	0.182385	0.10261	0.0952097	0.0413357	0.0269033	0.0171079	0.0121546	0.00937459	0.0114607	0.0135189
a41	0.550568	0.220016	0.0927541	0.0702694	0.0232007	0.0134244	0.00833614	0.00604784	0.00487053	0.00504277	0.00547089
a35	0.282846	0.239484	0.16565	0.124035	0.0466515	0.03634	0.0274913	0.022096	0.0189183	0.0183178	0.0181695
a14	0.223925	0.235479	0.205203	0.145636	0.0564847	0.0421765	0.0279548	0.0201828	0.0156441	0.0140162	0.013298
a41	0.191495	0.233027	0.223369	0.165816	0.0658579	0.0451561	0.0257947	0.0166545	0.0118328	0.0106984	0.0102978
a66	0.138713	0.214903	0.222392	0.1894	0.0813167	0.0544691	0.0320943	0.0213604	0.0157823	0.0147319	0.0148374
a38	0.0840706	0.156293	0.190719	0.217513	0.109099	0.0686044	0.0446292	0.0330579	0.0277233	0.0322469	0.0360428
a26	0.0687279	0.122164	0.165623	0.219434	0.130789	0.0915556	0.0612986	0.0427281	0.0321979	0.0319688	0.0335129
a24	0.072891	0.137013	0.141895	0.190097	0.137848	0.0954797	0.0630686	0.0443001	0.0363641	0.0388144	0.0422291
a25	0.0700219	0.15882	0.155541	0.193925	0.161617	0.0992739	0.0537962	0.031771	0.0234424	0.0238065	0.0279837
a53	0.0293848	0.0663084	0.100662	0.183165	0.174694	0.130465	0.0899402	0.0626601	0.048985	0.0518413	0.0618935
a90	0.0335443	0.0583407	0.0935271	0.181111	0.172816	0.124847	0.0903607	0.0663717	0.0528194	0.0577611	0.0685007
a13	0.0319394	0.0437887	0.0619077	0.126682	0.154121	0.127674	0.106115	0.0895486	0.0807661	0.0832406	0.0942165
a38	0.0269443	0.0415048	0.0475927	0.10531	0.174548	0.164176	0.131223	0.094836	0.0750071	0.0650222	0.0738358
a41	0.0275539	0.0328511	0.0426538	0.0923453	0.153721	0.149832	0.128647	0.102758	0.0879647	0.0823264	0.0993471
a35	0.018429	0.020324	0.0268878	0.0646712	0.135286	0.121833	0.11189	0.105392	0.115285	0.129537	0.150464
a94	0.016577	0.0225547	0.0256223	0.0559856	0.102081	0.0898177	0.0907191	0.0962739	0.124259	0.168725	0.207384
a24	0.0156441	0.0222827	0.0212764	0.0382692	0.074817	0.0815931	0.0961449	0.107395	0.134991	0.178597	0.22899
a98	0.0142382	0.020304	0.0190859	0.0328325	0.0641052	0.0737733	0.0971256	0.114364	0.143833	0.17797	0.242367
a71	0.0206556	0.0268413	0.0235048	0.0355264	0.0675709	0.0729989	0.0892334	0.1019	0.130513	0.182709	0.248547
a38	0.0112542	0.0148624	0.0170133	0.0367781	0.064515	0.0730548	0.101514	0.128205	0.155979	0.176058	0.220767
a90	0.0191683	0.0168415	0.0166036	0.0373588	0.0650452	0.0777654	0.10945	0.134486	0.150609	0.164896	0.207776
a98	0.0323222	0.025095	0.0221614	0.0309574	0.0614784	0.0731856	0.0970659	0.115945	0.134832	0.174678	0.232279
a41	0.0173337	0.0191817	0.0165881	0.026707	0.0584127	0.0636902	0.0905535	0.118721	0.155311	0.187284	0.246216
a56	0.00850144	0.00954379	0.0097428	0.0200811	0.0501633	0.054957	0.0783792	0.102609	0.135959	0.205072	0.324991
a98	0.0110276	0.0115829	0.0109742	0.0183932	0.0410686	0.0496884	0.0784119	0.114218	0.154485	0.210319	0.299831
a14	0.0121401	0.0137087	0.0131832	0.0203929	0.0478468	0.0563906	0.0810813	0.105832	0.134363	0.196715	0.318346
a44	0.00892142	0.0093126	0.0105003	0.0221859	0.0550991	0.0698918	0.0964433	0.111388	0.129628	0.18799	0.298638
a38	0.0071339	0.00961442	0.0108472	0.0227436	0.0457641	0.0479353	0.0661744	0.0917504	0.133793	0.217277	0.346967
a76	0.00493409	0.00595109	0.00701858	0.019804	0.04393	0.046698	0.0660609	0.0953256	0.141272	0.219782	0.349224
a20	0.024798	0.0223037	0.0207388	0.0317704	0.0572228	0.0554031	0.0632352	0.0757985	0.103231	0.196776	0.348723
a84	0.0107168	0.0125881	0.0134947	0.0263188	0.0499235	0.0494577	0.0606016	0.0806148	0.122907	0.213295	0.360082
a38	0.00576741	0.00409039	0.00330701	0.0102884	0.0254422	0.0287332	0.0466884	0.0756878	0.131171	0.254662	0.414163
a70	0.00933028	0.00670318	0.00497917	0.0135973	0.0295836	0.03129	0.0447704	0.0686978	0.117034	0.236589	0.437425
a34	0.00712495	0.00543312	0.00421197	0.00783556	0.0177415	0.0180051	0.0248831	0.043416	0.091735	0.25262	0.526994
a98	0.0067357	0.00635906	0.00627559	0.0105837	0.0236695	0.025653	0.0342266	0.0559724	0.102247	0.250081	0.478196
a14	0.00654576	0.00598432	0.00503137	0.00692399	0.0182807	0.0197459	0.028795	0.0512898	0.103376	0.263554	0.490474
a73	0.00610285	0.00632959	0.00491054	0.00759632	0.0173111	0.0207475	0.0328242	0.0534922	0.0948791	0.253105	0.502701
a94	0.0019632	0.00232932	0.00239295	0.00621168	0.01712	0.0210729	0.0342466	0.0559043	0.0995171	0.258502	0.50074
a76	0.00191243	0.00177367	0.00166794	0.00528696	0.0136734	0.0157565	0.0269963	0.0499866	0.101303	0.264659	0.516985
a73	0.00413756	0.00464167	0.0042671	0.00681501	0.0150368	0.0169833	0.0254007	0.0427973	0.0833404	0.250614	0.545966
a35	0.00250126	0.00256427	0.00256755	0.00682064	0.016285	0.0193507	0.0292687	0.0478197	0.0886417	0.256621	0.52756
