 	ce	bébé	pleurnichard	nous	empêche	de	dormir	la	nuit	</S>
a66	0.242721	0.175107	0.129174	0.147659	0.11451	0.0730054	0.0432215	0.027859	0.024035	0.0227091
a87	0.461252	0.200277	0.146856	0.075105	0.0438388	0.0141818	0.0122397	0.0123723	0.0164908	0.0173874
a23	0.427225	0.298191	0.11674	0.0499964	0.0235247	0.0111664	0.0114949	0.0136284	0.019984	0.0280498
a62	0.287345	0.304549	0.156753	0.090364	0.0280589	0.010231	0.0128492	0.0191192	0.0329581	0.057772
a18	0.338391	0.239296	0.156552	0.0892418	0.0453922	0.019755	0.0209326	0.0253485	0.0312668	0.0338244
a62	0.397492	0.250156	0.211626	0.0806413	0.0229864	0.00687818	0.00761458	0.00774338	0.00749289	0.00736927
a47	0.247652	0.297448	0.221344	0.139859	0.0491141	0.0134232	0.00930441	0.00802954	0.00708255	0.00674309
a12	0.273238	0.231933	0.218459	0.173983	0.0601919	0.0122952	0.00875391	0.00756709	0.00697311	0.00660626
a31	0.184414	0.215869	0.223305	0.226254	0.0879409	0.0205509	0.0137315	0.0109865	0.00890357	0.0080443
a47	0.165142	0.199532	0.19948	0.242404	0.105994	0.0309748	0.0198957	0.0145292	0.011446	0.0106022
a88	0.117022	0.178703	0.196764	0.226818	0.130156	0.0521919	0.0349137	0.0254383	0.0199774	0.0180153
a62	0.0561862	0.147357	0.184087	0.235172	0.168365	0.0762422	0.0453514	0.0324287	0.0275384	0.0272728
a0	0.0578527	0.162816	0.17945	0.212512	0.162009	0.0966934	0.0492374	0.0308848	0.0244505	0.0240937
a43	0.0359215	0.121801	0.178626	0.250951	0.19501	0.0932422	0.0443931	0.0294041	0.0247282	0.0259237
a34	0.025233	0.0956367	0.148695	0.233945	0.197949	0.129814	0.0719148	0.0405894	0.0288768	0.0273472
a96	0.0223211	0.0700596	0.096102	0.173816	0.183441	0.171172	0.114215	0.0720955	0.0513341	0.0454433
a34	0.0291343	0.058084	0.0783629	0.161411	0.182989	0.173486	0.120995	0.0779011	0.0594729	0.0581642
a92	0.0145671	0.0381838	0.0501714	0.108065	0.151937	0.184829	0.164461	0.123702	0.0884714	0.0756122
a79	0.00952157	0.0202746	0.0280601	0.0605141	0.110033	0.173824	0.175989	0.155654	0.13422	0.131909
a7	0.00289556	0.00610045	0.00925557	0.0198817	0.0556304	0.136733	0.174397	0.196567	0.19502	0.20352
a20	0.00553707	0.0085918	0.00977121	0.0160199	0.0355898	0.0852605	0.118485	0.183446	0.233963	0.303336
a53	0.00244304	0.00604608	0.0117872	0.0179892	0.0389597	0.0708671	0.0977538	0.153615	0.231401	0.369137
a90	0.00225295	0.00210818	0.00291657	0.00468864	0.0112554	0.035567	0.0732718	0.156227	0.277409	0.434304
a56	0.000912908	0.00188628	0.00341085	0.00583285	0.0148314	0.043332	0.0810637	0.170672	0.274506	0.403553
a25	0.000691715	0.000839792	0.00145555	0.00296483	0.0109704	0.0405561	0.0840266	0.1789	0.291272	0.388324
a79	0.000204627	0.00027417	0.000377707	0.000621768	0.00241965	0.0103806	0.029272	0.102322	0.289793	0.564335
a69	0.000307481	0.000616847	0.000936469	0.00155006	0.0040124	0.0139395	0.0357751	0.117637	0.301907	0.523318
a75	0.000221416	0.000422214	0.000599005	0.00101514	0.00249603	0.0106406	0.0298972	0.0944033	0.27704	0.583265
a21	8.66292e-05	0.000176671	0.000271055	0.000512222	0.00181655	0.00883577	0.028506	0.108156	0.297303	0.554335
a5	0.000376074	0.00032257	0.000423794	0.00079558	0.00234633	0.00887516	0.0265527	0.0961974	0.280118	0.583992
a18	0.000251377	0.000266981	0.000392286	0.000623177	0.00179785	0.00607076	0.0186189	0.0756673	0.270532	0.625779
a36	0.00380372	0.00305968	0.00339383	0.00387419	0.00828044	0.0273551	0.0719156	0.161852	0.303587	0.412878
a2	0.00840287	0.00567462	0.00590909	0.0066824	0.0105564	0.0369047	0.0933679	0.18532	0.296189	0.350993
a57	0.0346072	0.0172666	0.0147249	0.0169555	0.0238114	0.0648456	0.125241	0.184016	0.240723	0.277808
a87	0.104098	0.0650016	0.0489563	0.0456439	0.0429683	0.0822315	0.114177	0.139267	0.169466	0.188191
a23	0.235605	0.14621	0.116404	0.0672214	0.0447935	0.0480719	0.0623807	0.0711019	0.0950386	0.113173
a99	0.0236742	0.0196844	0.0112667	0.005544	0.0134826	0.0361496	0.0838648	0.158859	0.277202	0.370273
a87	0.0255922	0.0193151	0.0117897	0.0112567	0.0230787	0.0499987	0.0922525	0.151078	0.2527	0.362938
</S>	0.00378715	0.00586994	0.00581162	0.00742741	0.018875	0.0399376	0.0705814	0.127421	0.261706	0.458583
