 	le	crapaud	est	boutonneux	</S>
a66	0.438586	0.238406	0.137737	0.114436	0.0708357
a10	0.144789	0.174332	0.228078	0.297078	0.155723
a62	0.406553	0.318252	0.177986	0.0784211	0.0187875
a88	0.395623	0.351403	0.16242	0.0726465	0.0179073
a93	0.440992	0.350428	0.136587	0.0501814	0.0218113
a4	0.352183	0.346815	0.180376	0.0831827	0.0374437
a94	0.288186	0.296104	0.192632	0.137447	0.0856306
a90	0.246148	0.231487	0.172062	0.18956	0.160742
a92	0.185448	0.169423	0.190718	0.240183	0.214228
a75	0.143318	0.144103	0.185708	0.278054	0.248817
a12	0.121067	0.124329	0.17777	0.293527	0.283308
a61	0.127843	0.111802	0.138015	0.282183	0.340157
a75	0.0952448	0.0858036	0.110738	0.273238	0.434976
a92	0.0371696	0.034179	0.0594422	0.256008	0.613201
a98	0.021609	0.0194317	0.0372391	0.210602	0.711118
a79	0.0154174	0.0113957	0.0202034	0.144986	0.807997
a44	0.0150528	0.0107131	0.0181023	0.130168	0.825963
a11	0.0106071	0.00623922	0.0119737	0.0975344	0.873645
a10	0.0134934	0.0109597	0.0211586	0.103098	0.85129
a38	0.0347513	0.0295704	0.044154	0.140574	0.75095
a82	0.0738517	0.0507223	0.0663733	0.177861	0.631192
a10	0.204885	0.113223	0.114873	0.218818	0.348202
a87	0.189309	0.108299	0.107258	0.232324	0.36281
a23	0.164469	0.0948213	0.083492	0.223161	0.434057
a87	0.072745	0.0461904	0.0768167	0.272572	0.531676
a82	0.0254137	0.0210658	0.0515855	0.254303	0.647632
</S>	0.0565128	0.0453377	0.0879233	0.290143	0.520083
