 	mon	enfant	fait	de	la	diarrhée	</S>
a84	0.338053	0.182622	0.138404	0.124375	0.108648	0.0666158	0.0412821
a57	0.359151	0.175696	0.140807	0.132407	0.111319	0.0495683	0.0310516
a66	0.455818	0.191715	0.0971475	0.0708223	0.0693293	0.0704541	0.0447136
a87	0.457848	0.196771	0.108918	0.0751217	0.0647	0.0494972	0.0471443
a97	0.453168	0.229202	0.124775	0.0759864	0.0545471	0.0362139	0.0261069
a57	0.448164	0.218022	0.119847	0.0739036	0.0563637	0.0453181	0.0383822
a97	0.460208	0.209931	0.123274	0.0761814	0.053553	0.038906	0.0379468
a30	0.437512	0.210411	0.134726	0.0846371	0.0571202	0.0382575	0.0373363
a70	0.443909	0.209255	0.130431	0.0795701	0.0556693	0.0405381	0.0406274
a75	0.524474	0.222862	0.093605	0.0479193	0.0372445	0.030874	0.043021
a15	0.438948	0.260089	0.121761	0.0642673	0.0434926	0.032615	0.038827
a98	0.263087	0.270547	0.185852	0.124039	0.0721098	0.0421726	0.0421923
a92	0.205407	0.255717	0.200771	0.153561	0.0869684	0.0534398	0.0441351
a5	0.179254	0.218942	0.188647	0.172394	0.1092	0.0707666	0.0607969
a12	0.153636	0.183351	0.173886	0.182849	0.134802	0.092999	0.0784775
a47	0.117968	0.151905	0.196509	0.212077	0.158852	0.0926563	0.070033
a62	0.0653643	0.0952573	0.169949	0.214977	0.187735	0.157936	0.108781
a96	0.0321477	0.048467	0.116139	0.184412	0.216172	0.237735	0.164927
a62	0.0150278	0.0216412	0.0537451	0.106451	0.167623	0.338548	0.296965
a21	0.0157497	0.0196608	0.0375921	0.0673342	0.125634	0.380132	0.353897
a85	0.0106082	0.0136794	0.0263803	0.0522398	0.106523	0.397576	0.392993
a47	0.00840204	0.0105111	0.0217809	0.0399945	0.0899788	0.370247	0.459086
a36	0.0026336	0.00338511	0.00751478	0.0169793	0.058354	0.336766	0.574367
a2	0.0325845	0.0324295	0.035894	0.0526714	0.110823	0.294626	0.440972
a57	0.0502989	0.0503049	0.0484516	0.0665613	0.102138	0.281019	0.401226
a10	0.187769	0.125223	0.0991626	0.117859	0.132731	0.165775	0.17148
a87	0.214327	0.14247	0.124203	0.128552	0.133476	0.139534	0.117439
a23	0.172761	0.131939	0.141882	0.143659	0.148026	0.145285	0.116448
a87	0.0903343	0.0665073	0.0765634	0.0940244	0.12975	0.25315	0.28967
a10	0.0461347	0.0328514	0.0363336	0.0506857	0.0876932	0.307233	0.439068
a99	0.0679436	0.0477085	0.0467737	0.0556323	0.0898313	0.306612	0.385498
a97	0.0665328	0.0498681	0.0537264	0.0660957	0.0976237	0.300965	0.365189
</S>	0.122182	0.0709798	0.0591099	0.0625164	0.0853103	0.2671	0.332802
