 	petite	brousse	qui	pousse	après	la	plantation	</S>
a23	0.3453	0.123106	0.087374	0.0827879	0.116069	0.0928644	0.0750078	0.0774912
a30	0.420152	0.132661	0.101613	0.105589	0.0823147	0.0554456	0.0514192	0.0508063
a57	0.309403	0.221308	0.133321	0.0736777	0.0430835	0.0378331	0.0663851	0.114989
a70	0.388717	0.270694	0.126783	0.0520034	0.0243839	0.0233808	0.0408821	0.0731546
a94	0.497911	0.296318	0.11735	0.0441582	0.0157595	0.00973035	0.00907913	0.00969331
a96	0.33628	0.36958	0.173911	0.0651269	0.0216607	0.012538	0.010844	0.01006
a75	0.230035	0.323692	0.226953	0.111238	0.0437454	0.0250225	0.0205981	0.0187161
a47	0.178115	0.259091	0.231883	0.146984	0.0725789	0.0458247	0.0350234	0.0305
a36	0.136677	0.237549	0.247944	0.174577	0.0760426	0.0455163	0.0401717	0.0415223
a2	0.0902578	0.144659	0.218449	0.221716	0.120583	0.0758851	0.0655504	0.0629
a57	0.0586186	0.0898759	0.152213	0.217188	0.12485	0.0881987	0.114324	0.154732
a87	0.054419	0.0683269	0.120651	0.189131	0.12818	0.089929	0.1279	0.221464
a23	0.118607	0.118795	0.172361	0.217464	0.15171	0.0805921	0.0648496	0.0756211
a87	0.0610938	0.0606331	0.115592	0.149454	0.153041	0.122707	0.140303	0.197176
</S>	0.0937552	0.0571777	0.0933487	0.130785	0.153153	0.118957	0.135178	0.217645
