 	de	la	manière	dont	il	lèche	l'	assiette	elle	sera	toute	propre	à	la	fin	</S>
a66	0.15299	0.121252	0.0701922	0.0687271	0.0700728	0.0652519	0.0444539	0.050654	0.0629868	0.0904233	0.0743739	0.0714868	0.0252891	0.0130305	0.00999187	0.0088233
a87	0.336964	0.203877	0.129112	0.0878043	0.0345903	0.0195557	0.01523	0.0174197	0.0208909	0.0340864	0.0279435	0.0245342	0.0131289	0.0138204	0.00993271	0.0111105
a23	0.222188	0.141602	0.129323	0.103104	0.0693535	0.0419753	0.0359741	0.0367808	0.0354175	0.0330707	0.0282871	0.0410768	0.0215737	0.0185018	0.0169282	0.0248439
a87	0.16424	0.179352	0.238666	0.167151	0.0548558	0.0298172	0.0228222	0.0219973	0.0204711	0.0207236	0.0157143	0.0173878	0.0111265	0.0104545	0.00897638	0.0162442
a23	0.133527	0.171926	0.228661	0.173649	0.0614068	0.0309554	0.0234826	0.0241037	0.0258133	0.0292478	0.0239691	0.0272092	0.0165196	0.0112243	0.00819644	0.0101094
a18	0.139966	0.200716	0.259901	0.176416	0.039379	0.016354	0.0145641	0.0160535	0.0179779	0.0203011	0.02094	0.0246655	0.0141661	0.0132255	0.0107927	0.0145802
a61	0.194737	0.245852	0.201902	0.140877	0.0391967	0.0205213	0.014559	0.0130156	0.0147141	0.0164677	0.0200846	0.0260164	0.0137251	0.0152198	0.0109863	0.0121263
a12	0.230375	0.264939	0.208988	0.160513	0.0475012	0.0224442	0.0116919	0.00827038	0.0074846	0.00721895	0.00689509	0.00885986	0.00429444	0.00503369	0.00279134	0.00270014
a47	0.156591	0.21326	0.21263	0.186927	0.073359	0.037566	0.0215305	0.0147898	0.0136377	0.0120165	0.0100776	0.0133763	0.00920563	0.0107915	0.00762122	0.0066201
a21	0.133673	0.18348	0.19336	0.180878	0.078122	0.0471518	0.0341301	0.0243597	0.0203515	0.0171205	0.0114023	0.0183313	0.0138705	0.0146419	0.0149337	0.0141938
a12	0.115803	0.138874	0.160136	0.177385	0.103866	0.063492	0.0462422	0.033415	0.0284696	0.0253974	0.01693	0.0270498	0.0177588	0.0181249	0.0138814	0.0131752
