 	le	bateau	commence	à	descendre	vers	mossaka	</S>
a66	0.599927	0.147074	0.0638665	0.0417974	0.044866	0.042505	0.0309011	0.0290638
a87	0.305963	0.10944	0.0679248	0.0635733	0.100245	0.0986411	0.105531	0.148681
a40	0.388068	0.129255	0.0554912	0.0441218	0.0775627	0.089193	0.103803	0.112505
a36	0.589721	0.164507	0.0500688	0.0382127	0.0516457	0.0361121	0.0326093	0.0371239
a11	0.393078	0.309571	0.101517	0.056803	0.041495	0.0228282	0.0291311	0.0455763
a90	0.461298	0.302419	0.0922359	0.0537824	0.0365001	0.0199703	0.0161583	0.0176356
a98	0.278755	0.286297	0.164117	0.103049	0.0629226	0.0401383	0.0296555	0.0350655
a79	0.169423	0.245602	0.19813	0.139474	0.0911998	0.0560865	0.0466513	0.0534337
a44	0.100355	0.171639	0.200167	0.176029	0.123289	0.0849876	0.0724925	0.0710411
a98	0.0862831	0.127702	0.183353	0.2032	0.138146	0.101148	0.0846168	0.0755515
a47	0.064829	0.133659	0.18134	0.179349	0.162049	0.106105	0.086963	0.0857054
a36	0.0181917	0.0499818	0.118008	0.164822	0.156203	0.124422	0.148269	0.220102
a26	0.0108425	0.0273531	0.0756446	0.142962	0.166126	0.16932	0.194246	0.213506
a94	0.0031064	0.00603333	0.0184778	0.0524293	0.109489	0.169656	0.26295	0.377858
a70	0.003665	0.00612735	0.0158506	0.0487472	0.113829	0.198757	0.28013	0.332893
a44	0.00558753	0.0101676	0.0211263	0.0554648	0.112279	0.218735	0.283201	0.293439
a93	0.00238757	0.00502335	0.0133172	0.0394824	0.0928099	0.200674	0.331836	0.31447
a25	0.00314279	0.0066384	0.0161065	0.0446322	0.0913447	0.198688	0.332972	0.306475
a79	0.000822379	0.0015763	0.00523472	0.0181362	0.052578	0.134834	0.326023	0.460796
a98	0.0011343	0.00253897	0.00783305	0.0213023	0.0526922	0.140794	0.358494	0.415211
a92	0.00077252	0.00208781	0.00805325	0.0198328	0.0472262	0.115519	0.313075	0.493433
a25	0.000620881	0.00143227	0.00474619	0.0128503	0.0327643	0.109763	0.32589	0.511933
a15	0.000514206	0.00149028	0.00492909	0.0138201	0.0333021	0.105375	0.305515	0.535055
a32	0.000752496	0.00202591	0.00609594	0.0148645	0.0349582	0.10336	0.323708	0.514235
a54	0.00153478	0.00373503	0.00794069	0.0169697	0.0346548	0.114931	0.343288	0.476946
a36	0.00201338	0.00476016	0.00997809	0.018899	0.0398676	0.103131	0.321602	0.499748
a2	0.0077028	0.0140133	0.0240211	0.0422309	0.074654	0.117444	0.270789	0.449145
a57	0.0458262	0.0446023	0.0533548	0.0738413	0.0966521	0.171377	0.262572	0.251774
a10	0.120856	0.0568298	0.0458759	0.0476185	0.0866065	0.15109	0.24723	0.243893
a87	0.0992467	0.0424508	0.0293542	0.0295344	0.068737	0.138313	0.278801	0.313563
a97	0.0762544	0.0372302	0.0266866	0.0310201	0.0825956	0.173127	0.29667	0.276416
</S>	0.0574463	0.034117	0.0354309	0.0421285	0.102944	0.146541	0.279862	0.301531
