 	les	coups	de	poing	qu'	il	a	reçus	lui	ont	fait	gonfler	la	figure	</S>
a66	0.118492	0.0924428	0.0683591	0.0721171	0.0632037	0.0636546	0.0694967	0.0691698	0.0781015	0.0702234	0.0529791	0.0735781	0.0456622	0.0434197	0.0191007
a87	0.256644	0.209195	0.128716	0.130572	0.0719588	0.0378515	0.0317375	0.0228927	0.0217027	0.0216557	0.0173507	0.0184668	0.0131316	0.0121254	0.00599831
a23	0.225796	0.224822	0.171532	0.148969	0.104803	0.0434139	0.0283896	0.0161872	0.00945057	0.00636006	0.00490942	0.00559473	0.00396105	0.00355575	0.00225577
a87	0.215814	0.278662	0.156999	0.129462	0.0883989	0.0355796	0.0241586	0.0175104	0.0160969	0.0120609	0.00627422	0.00553744	0.00638648	0.0039645	0.00309469
a23	0.23266	0.302105	0.16173	0.129974	0.0758851	0.0267586	0.015511	0.00971043	0.00842094	0.00742253	0.0049211	0.00545868	0.00824394	0.00609035	0.00510867
a87	0.273634	0.332445	0.133593	0.0938458	0.048554	0.0196784	0.0119876	0.0097227	0.0100071	0.0111234	0.00993264	0.0141014	0.0117221	0.00902493	0.0106288
a23	0.289318	0.349427	0.126085	0.0864726	0.043068	0.0179794	0.010931	0.00862056	0.00773198	0.00837883	0.00921554	0.0111891	0.0118996	0.00981911	0.00986448
a18	0.288866	0.302547	0.116514	0.080699	0.0456258	0.0227236	0.0150217	0.0133122	0.0128334	0.0149913	0.0152732	0.0229852	0.0192187	0.0137715	0.0156178
a9	0.179101	0.1764	0.0923735	0.0687847	0.0429034	0.0305946	0.0215207	0.0218983	0.0262245	0.0382076	0.0430493	0.0925825	0.0675402	0.0551674	0.0436528
a99	0.113855	0.110652	0.0717636	0.0609187	0.038243	0.0301061	0.0246425	0.029573	0.0360681	0.0502072	0.0588384	0.130509	0.0998458	0.0842785	0.0604996
a38	0.0748135	0.0821255	0.0623348	0.0530809	0.0372246	0.033238	0.0291024	0.0377577	0.0464796	0.0659856	0.0778821	0.140455	0.107096	0.0870644	0.0653606
a53	0.0515247	0.0634416	0.0613564	0.0593878	0.0465593	0.0404699	0.0403874	0.0537528	0.0618505	0.0820583	0.0855273	0.148366	0.0871413	0.0683086	0.0498681
a69	0.0606705	0.0807653	0.0915536	0.112224	0.0871203	0.0697601	0.071293	0.0765767	0.0715896	0.0680733	0.0574007	0.0506767	0.0391577	0.036727	0.0264115
a4	0.0586219	0.0857553	0.102218	0.125486	0.102879	0.0818693	0.0812235	0.0795855	0.0676583	0.0598927	0.0456162	0.0320556	0.029024	0.0276638	0.0204504
a98	0.0493808	0.0720765	0.0942227	0.120065	0.102762	0.0755817	0.0757355	0.0756827	0.0634897	0.0563572	0.0436969	0.0314277	0.0412512	0.0520143	0.0462562
