 	tu	as	fait	une	bonne	action	</S>
a23	0.54661	0.172498	0.0827083	0.0507327	0.0487131	0.0513289	0.0474082
a83	0.417802	0.157074	0.0776055	0.0729259	0.0833257	0.102053	0.0892145
a70	0.48669	0.223654	0.104448	0.0445948	0.0431938	0.0611678	0.036251
a90	0.320484	0.299973	0.192209	0.0733357	0.0578536	0.0419862	0.0141588
a76	0.145966	0.189195	0.229933	0.181515	0.139851	0.0855763	0.0279639
a44	0.181168	0.19413	0.236913	0.179887	0.121284	0.0655046	0.0211132
a57	0.2006	0.177299	0.174597	0.175374	0.142301	0.0919172	0.037912
a38	0.140173	0.104492	0.0947903	0.130296	0.170966	0.209021	0.150262
a21	0.086114	0.0671255	0.072119	0.127897	0.191984	0.268586	0.186174
a61	0.0939927	0.0832539	0.0773215	0.102447	0.134614	0.212841	0.29553
a43	0.0503002	0.0530499	0.059993	0.0948907	0.12829	0.233309	0.380167
a32	0.0284988	0.0242234	0.0287472	0.0562191	0.10555	0.28619	0.470571
a24	0.0224469	0.0199707	0.023922	0.0449647	0.0818489	0.275386	0.53146
a35	0.0180085	0.0164757	0.0210928	0.043619	0.0812508	0.25515	0.564403
a41	0.0107295	0.00796601	0.00860482	0.0213668	0.0518508	0.244969	0.654513
a35	0.0312367	0.0173083	0.0139832	0.0268182	0.0566448	0.245833	0.608176
a38	0.0279376	0.0169769	0.0140158	0.0269106	0.0558721	0.244918	0.613369
a21	0.0226168	0.0144369	0.0140688	0.0286056	0.059809	0.30551	0.554952
a41	0.0624914	0.0345031	0.0243843	0.0343728	0.0625782	0.275602	0.506068
a25	0.044919	0.0261123	0.0183453	0.0271995	0.0518977	0.263631	0.567895
a87	0.0343918	0.0249395	0.0241781	0.0429177	0.0745453	0.284495	0.514532
</S>	0.0555228	0.0445478	0.040615	0.0476993	0.0791316	0.206834	0.52565
