 	je	suis	en	train	de	me	battre	pour	construire	ma	maison	</S>
a66	0.185277	0.0926804	0.0575238	0.0564876	0.0682637	0.0951601	0.106628	0.111113	0.0903079	0.0633764	0.0432022	0.0299808
a87	0.296219	0.185985	0.0980564	0.0613031	0.0558613	0.0523688	0.0644606	0.068227	0.042967	0.0305136	0.0251058	0.018932
a23	0.157345	0.140005	0.0984015	0.0914418	0.0989165	0.107409	0.116625	0.0928169	0.0436943	0.0220335	0.0164966	0.0148149
a83	0.147204	0.131824	0.0890919	0.0729088	0.0932707	0.107431	0.1157	0.0898211	0.0562542	0.0343171	0.0309074	0.0312703
a98	0.228824	0.151177	0.101406	0.0724767	0.0629602	0.071914	0.0824359	0.0751826	0.0543083	0.0339071	0.0334581	0.0319495
a15	0.217542	0.130139	0.108583	0.0930381	0.0893041	0.0907556	0.0783591	0.0728106	0.0526324	0.0256974	0.022475	0.0186638
a92	0.151361	0.135897	0.123873	0.0997103	0.0891592	0.0948716	0.0887796	0.0740772	0.0524465	0.032511	0.0312289	0.0260837
a34	0.134022	0.116091	0.130336	0.112228	0.105489	0.102916	0.0886555	0.0745315	0.0493944	0.0300922	0.0301254	0.0261182
a35	0.0863541	0.0886756	0.107675	0.119146	0.130024	0.13749	0.117418	0.0852111	0.0481627	0.0291226	0.0255073	0.0252141
a56	0.0638448	0.0606671	0.0856669	0.103386	0.130453	0.143924	0.123569	0.0876377	0.0582533	0.0498002	0.0452168	0.0475826
a96	0.0614122	0.0455604	0.0610992	0.0808996	0.120917	0.15159	0.141675	0.0976566	0.0684462	0.0630193	0.0534912	0.0542336
a98	0.0272677	0.0175725	0.0245061	0.0371696	0.08193	0.130548	0.170675	0.14079	0.10382	0.0966173	0.0820199	0.0870835
a92	0.00920921	0.00566514	0.0096773	0.0176417	0.0472174	0.0865784	0.137139	0.122436	0.126509	0.153472	0.140061	0.144392
a56	0.00823942	0.00468323	0.00734342	0.0130317	0.0359418	0.0722402	0.124547	0.111102	0.127999	0.181477	0.156422	0.156973
a44	0.00634179	0.00381594	0.00514897	0.00770568	0.01979	0.04259	0.0827524	0.0763343	0.109847	0.213986	0.207406	0.224282
a90	0.0035503	0.00209016	0.00296804	0.00455585	0.0110163	0.02448	0.0532702	0.0524395	0.0886938	0.221944	0.23703	0.297962
a56	0.00171984	0.00119119	0.00187636	0.00317097	0.00855042	0.0205586	0.0473637	0.0474516	0.0830138	0.211359	0.24053	0.333215
a75	0.00174161	0.00108559	0.00164627	0.00257396	0.00561948	0.0121716	0.0265743	0.0270775	0.0505957	0.184026	0.261137	0.425751
a5	0.000448432	0.000294337	0.000582638	0.00106266	0.00271154	0.00598501	0.0132958	0.0138711	0.0303869	0.168938	0.254477	0.507946
a21	0.000603597	0.000422797	0.000638163	0.000845636	0.00161192	0.00299326	0.00661732	0.00800191	0.0191958	0.145429	0.262821	0.55082
a47	0.000588538	0.000450196	0.000707113	0.000954376	0.00163816	0.0029233	0.00577138	0.00689028	0.0167471	0.127493	0.239127	0.59671
a88	0.00106379	0.000796259	0.00120114	0.00149696	0.00290609	0.00463932	0.00921772	0.0115703	0.024309	0.149622	0.24462	0.548558
a71	0.00193173	0.00142022	0.00181613	0.00202831	0.00322117	0.00483266	0.0107503	0.0161213	0.0308358	0.133459	0.241991	0.551593
a25	0.00946931	0.00708449	0.00757621	0.00884756	0.0120088	0.0217215	0.0539505	0.0788931	0.113533	0.176204	0.198668	0.312044
a10	0.0526049	0.039317	0.0293009	0.0285382	0.030469	0.0389519	0.0731198	0.101533	0.115555	0.123065	0.148651	0.218894
a87	0.1568	0.1127	0.0597163	0.0475692	0.0462413	0.0500434	0.0784066	0.0942308	0.0843629	0.0824591	0.0877861	0.0996847
a23	0.167072	0.135866	0.0670199	0.0472953	0.0435922	0.0484572	0.072727	0.0806077	0.0687328	0.0810563	0.0830575	0.104517
a99	0.0547422	0.0434914	0.0254293	0.0223451	0.0232893	0.025028	0.0412836	0.0488811	0.0591342	0.157391	0.198439	0.300545
a97	0.0390608	0.0314317	0.0196316	0.018044	0.0195389	0.0219186	0.0376946	0.0443385	0.0608903	0.145645	0.211133	0.350674
</S>	0.0175049	0.0170872	0.0110619	0.00898615	0.0109627	0.0148298	0.0350828	0.0398988	0.052882	0.137841	0.225449	0.428413
