 	il	y	a	plusieurs	manières	de	baiser	chacun	fait	ce	qu'	il	veut	</S>
a66	0.107861	0.0890495	0.113986	0.131761	0.115387	0.131159	0.0789213	0.0924864	0.0607385	0.0415741	0.018175	0.00696817	0.00568612	0.006247
a87	0.250567	0.187674	0.141619	0.11986	0.0683187	0.0411115	0.020334	0.0173616	0.0331341	0.0371585	0.0285879	0.0169569	0.0165213	0.0207953
a23	0.309716	0.252394	0.131425	0.112461	0.0509682	0.0228761	0.0152435	0.0217228	0.0179446	0.016652	0.0135022	0.00904544	0.00975025	0.0162985
a99	0.214948	0.188468	0.112001	0.119238	0.0620829	0.0324493	0.0296035	0.0355206	0.0321971	0.0330661	0.0297708	0.0233192	0.029381	0.057953
a97	0.18021	0.173759	0.129982	0.137871	0.0834937	0.035495	0.0193278	0.0260569	0.0288141	0.0329048	0.0322372	0.0264874	0.0359434	0.0574177
a30	0.201787	0.170002	0.133659	0.0929378	0.0581845	0.0306326	0.0185487	0.030456	0.0355601	0.0457858	0.0533339	0.0411421	0.0425013	0.0454696
a93	0.264691	0.191248	0.130747	0.0823166	0.0574358	0.0326541	0.0200923	0.0260731	0.0229242	0.0250874	0.03211	0.030166	0.039323	0.0451316
a96	0.192547	0.190991	0.152057	0.112624	0.0988592	0.0632485	0.0370533	0.0297974	0.0203067	0.0170299	0.0180776	0.0164623	0.0238737	0.0270722
a44	0.109805	0.1297	0.126411	0.128164	0.139639	0.0904319	0.0629545	0.0507054	0.0350311	0.0263211	0.0231598	0.0192856	0.0266966	0.0316946
a54	0.0639994	0.0800989	0.101132	0.132645	0.169455	0.116765	0.091235	0.0706006	0.0489209	0.0342873	0.0250407	0.0169495	0.0212654	0.0276049
a6	0.0342382	0.0451153	0.0661695	0.0921282	0.115588	0.126348	0.115964	0.0977658	0.075124	0.0548243	0.0402145	0.0305187	0.0455224	0.0604781
a37	0.0374166	0.0490689	0.0835691	0.121329	0.16855	0.18057	0.111058	0.0755378	0.0510678	0.0336924	0.0206284	0.0145752	0.0211342	0.0318041
a96	0.0469572	0.0568082	0.0876029	0.112451	0.165893	0.176947	0.122938	0.0833975	0.0520663	0.0329896	0.0194848	0.012138	0.0131752	0.0171511
a83	0.0376949	0.0469555	0.0832455	0.106285	0.152799	0.164857	0.124392	0.0978527	0.0626109	0.0423112	0.026131	0.0165014	0.0170242	0.02134
a50	0.024652	0.0278156	0.0539184	0.0709727	0.0985757	0.142041	0.170005	0.145184	0.0989397	0.0632413	0.0348739	0.0182543	0.0205509	0.0309753
a83	0.0153145	0.0170232	0.0393097	0.0566138	0.0691031	0.137312	0.178364	0.179291	0.117281	0.0704762	0.0381056	0.019645	0.0235704	0.0385905
a50	0.0121164	0.0120313	0.0282	0.0402489	0.0495224	0.130838	0.168481	0.177504	0.138256	0.0902443	0.049654	0.0253889	0.0299655	0.0475491
a88	0.0109528	0.0116904	0.0244315	0.0331793	0.0407212	0.13106	0.168927	0.185443	0.145755	0.0962656	0.0513641	0.0259017	0.0289924	0.0453157
a83	0.00795938	0.00722531	0.0141748	0.0195673	0.0246272	0.0908623	0.177639	0.19137	0.172281	0.120255	0.0680153	0.0298073	0.0300261	0.0461898
a9	0.00761122	0.00688008	0.0122764	0.0154978	0.0194697	0.0748486	0.163358	0.19325	0.180049	0.129426	0.0740892	0.0337634	0.0348535	0.0546268
a99	0.00832207	0.00777618	0.0127127	0.0149907	0.0216144	0.0594946	0.192243	0.219768	0.179021	0.116686	0.0576874	0.0275645	0.0307865	0.0513337
a3	0.0197499	0.0168683	0.0194474	0.021339	0.0246703	0.054365	0.132782	0.167284	0.156956	0.116737	0.0618397	0.0404793	0.0612758	0.106206
a99	0.025724	0.0201285	0.0215907	0.0263262	0.0306817	0.0578669	0.143854	0.144988	0.154977	0.122736	0.0761439	0.0471694	0.0539075	0.0739053
a83	0.0441228	0.0259764	0.0175245	0.0175463	0.0165125	0.0401953	0.114956	0.0947404	0.118437	0.109334	0.0979617	0.0750138	0.0942198	0.13346
a70	0.0032139	0.00214811	0.00236269	0.00297262	0.00477774	0.0110621	0.0327577	0.035307	0.0558492	0.0617969	0.0876928	0.125686	0.230934	0.343439
a93	0.00441296	0.00386181	0.00695126	0.00900647	0.0129582	0.0338515	0.0616342	0.0461173	0.0703398	0.0726342	0.0875645	0.106749	0.198282	0.285637
a56	0.00758041	0.00670328	0.0115953	0.0144844	0.0191537	0.0419502	0.0671544	0.0554987	0.0768182	0.07696	0.0900372	0.102633	0.1765	0.252932
a79	0.0043615	0.00409288	0.00768444	0.00972587	0.0138783	0.0356265	0.065845	0.049698	0.0677155	0.0706735	0.0896729	0.115821	0.192689	0.272516
