 	celui-ci	est	mon	champ	celui-là	est	à	mon	oncle	</S>
a66	0.280374	0.185398	0.113083	0.0706504	0.0783338	0.083412	0.0761122	0.0572043	0.0317052	0.0237272
a87	0.374685	0.231563	0.111076	0.0567558	0.0493149	0.0543453	0.0480675	0.0334372	0.0232174	0.0175381
a23	0.33968	0.245481	0.148196	0.109062	0.0643341	0.0412866	0.0190365	0.0113192	0.00950991	0.012094
a10	0.339849	0.173858	0.107328	0.102724	0.0836776	0.0676266	0.0402084	0.0299575	0.0266822	0.0280881
a87	0.341926	0.154552	0.0893299	0.0773983	0.0734469	0.0668019	0.0485619	0.043995	0.0525083	0.0514802
a99	0.372001	0.157456	0.0899747	0.0729029	0.0674118	0.0662546	0.0510281	0.0428279	0.0432604	0.036883
a50	0.290683	0.109971	0.0726204	0.0788781	0.0878553	0.0832419	0.0718575	0.068737	0.0709832	0.0651722
a62	0.183987	0.106361	0.110216	0.145154	0.122364	0.0960172	0.0729989	0.0660046	0.0467885	0.0501082
a12	0.0968514	0.104852	0.163766	0.258127	0.144406	0.0805369	0.0503758	0.0409725	0.0254405	0.0346711
a98	0.0643866	0.092625	0.163984	0.271152	0.160621	0.0935964	0.0566394	0.0412404	0.0258713	0.0298835
a70	0.0696841	0.117373	0.215514	0.28231	0.137043	0.0747556	0.0409593	0.0273289	0.0164056	0.018626
a93	0.0267932	0.051086	0.116471	0.247183	0.17613	0.106793	0.077609	0.0593206	0.0638036	0.0748113
a70	0.0300537	0.0538674	0.117554	0.245362	0.178979	0.109866	0.075864	0.0552228	0.0617417	0.07149
a90	0.0281618	0.0487711	0.105961	0.230562	0.191041	0.11743	0.080158	0.0564219	0.0647584	0.0767344
a94	0.0400139	0.0788294	0.153297	0.225788	0.176571	0.115256	0.0755884	0.0460456	0.0408691	0.047742
a93	0.0148044	0.0238402	0.0554631	0.158441	0.220806	0.147705	0.107543	0.0708748	0.0811455	0.119377
a70	0.0176796	0.0271237	0.0540803	0.135719	0.19733	0.153375	0.124549	0.0846513	0.0904856	0.115007
a94	0.00646592	0.00831448	0.0159022	0.0599933	0.162856	0.151403	0.150457	0.108868	0.124478	0.211262
a79	0.00501025	0.00642668	0.0122044	0.0455294	0.148281	0.154682	0.162453	0.121128	0.125856	0.21843
a7	0.00501997	0.00672271	0.0122082	0.0388292	0.13128	0.146523	0.165502	0.134707	0.146879	0.21233
a26	0.00165024	0.00181898	0.00301206	0.0115956	0.0592358	0.0973774	0.154146	0.162473	0.190953	0.317738
a38	0.0024155	0.00200683	0.00307764	0.0105214	0.0424163	0.080969	0.174877	0.18375	0.227214	0.272753
a25	0.00243759	0.00212139	0.00311904	0.00860814	0.0264529	0.0528657	0.139131	0.180235	0.255965	0.329065
a99	0.00567185	0.00518554	0.00807047	0.0213812	0.0321513	0.0425849	0.101413	0.142084	0.301648	0.33981
a87	0.0102292	0.00889556	0.0133253	0.0331822	0.0399589	0.046288	0.0979511	0.136954	0.306005	0.30721
a23	0.153943	0.128248	0.109263	0.109028	0.0709854	0.0622535	0.0770902	0.0776053	0.111447	0.100136
a83	0.205879	0.157414	0.104866	0.0635273	0.0407959	0.0432675	0.062238	0.0774756	0.0945438	0.149993
a50	0.0420996	0.0303784	0.0236527	0.0214032	0.0339235	0.0484823	0.0820546	0.115134	0.221668	0.381204
a62	0.00435439	0.00395379	0.00391016	0.00476277	0.0149598	0.0359723	0.0844399	0.138102	0.271978	0.437566
a21	0.000906758	0.000931107	0.00109638	0.00173603	0.00982169	0.0308839	0.0853565	0.143939	0.282962	0.442367
a76	0.00250053	0.00266178	0.00367572	0.00719087	0.030381	0.0544296	0.103481	0.148284	0.247226	0.400169
a94	0.00195087	0.0018954	0.00228743	0.00581413	0.0275613	0.0531606	0.105788	0.149105	0.237855	0.414583
a53	0.000194319	0.000212085	0.000307058	0.00102146	0.00662872	0.0154256	0.0499294	0.099831	0.278401	0.548049
a70	6.8173e-05	6.45115e-05	9.13814e-05	0.000372554	0.00355891	0.00970937	0.0357406	0.0734525	0.270114	0.606828
a93	7.56049e-05	7.12969e-05	9.90784e-05	0.000376426	0.00244747	0.00637657	0.0276966	0.0657263	0.277367	0.619764
a70	7.57103e-05	6.58035e-05	9.15364e-05	0.000374771	0.00232477	0.00612405	0.0269337	0.0660202	0.277071	0.620918
a99	0.000161745	0.000144277	0.000212242	0.000788942	0.00321667	0.00676896	0.026909	0.0659247	0.305511	0.590362
a9	0.000372158	0.000329405	0.000535685	0.0020685	0.00718411	0.0137205	0.0418488	0.0840811	0.301954	0.547905
a99	0.00180499	0.0012979	0.00157932	0.00431694	0.0103436	0.0163659	0.0404683	0.0780005	0.329859	0.515963
a87	0.018904	0.0125156	0.0124885	0.0239126	0.0268292	0.0287921	0.0476861	0.0810018	0.292476	0.455394
</S>	0.102867	0.0785635	0.0618708	0.0721773	0.0537582	0.0457547	0.0540434	0.0759083	0.172139	0.282918
