 	notre	mère	a	cultivé	les	taros	</S>
a66	0.33263	0.216835	0.210307	0.10759	0.056364	0.0465306	0.0297441
a87	0.43063	0.222964	0.171471	0.104547	0.0353338	0.0232175	0.0118373
a23	0.400141	0.266348	0.173227	0.0711518	0.0287445	0.0330351	0.0273537
a13	0.382912	0.266518	0.21263	0.0710518	0.0206584	0.0203335	0.0258962
a70	0.372818	0.278126	0.203477	0.0519962	0.0279176	0.0275049	0.0381599
a53	0.366669	0.318904	0.234453	0.0549886	0.0120315	0.00698366	0.00597026
a15	0.310899	0.305681	0.241974	0.089985	0.0253288	0.0150829	0.0110487
a79	0.214622	0.239797	0.221573	0.163786	0.0802428	0.0438257	0.0361542
a56	0.0764882	0.130412	0.171525	0.244902	0.203462	0.0995013	0.0737095
a75	0.150598	0.193488	0.235566	0.200997	0.0943115	0.0696422	0.0553981
a5	0.0720184	0.093524	0.154739	0.244869	0.20587	0.130725	0.0982558
a56	0.0715618	0.0968641	0.174764	0.232247	0.189374	0.135508	0.0996819
a21	0.0595827	0.0782365	0.161816	0.218615	0.179298	0.16494	0.137512
a85	0.0401592	0.0484651	0.100143	0.162614	0.185032	0.231821	0.231766
a6	0.0151505	0.0216354	0.0426089	0.0889814	0.168353	0.289608	0.373663
a36	0.0138509	0.0167312	0.0339915	0.0776324	0.19448	0.305105	0.358208
a37	0.0224929	0.0262196	0.0336286	0.0589069	0.155632	0.28133	0.42179
a21	0.0215805	0.0238121	0.0245366	0.0439011	0.140533	0.291451	0.454186
a85	0.00695405	0.00697185	0.00877525	0.0251811	0.151217	0.295534	0.505367
a6	0.0061809	0.00689128	0.00972031	0.025848	0.137411	0.286606	0.527342
a36	0.00583859	0.00596725	0.00753981	0.0263024	0.154098	0.256191	0.544063
a2	0.0263728	0.0257413	0.0206175	0.0358803	0.141644	0.322272	0.427472
a57	0.0536298	0.0549337	0.05226	0.0754588	0.145702	0.272289	0.345727
a87	0.142914	0.103303	0.0816165	0.0846344	0.126782	0.207438	0.253313
a23	0.204932	0.133158	0.0832238	0.0774187	0.144226	0.154321	0.20272
a30	0.0811197	0.0648174	0.0437325	0.055314	0.159949	0.264841	0.330226
a38	0.00946539	0.00819141	0.0078646	0.0202086	0.0986424	0.273182	0.582446
a99	0.00720781	0.00803644	0.0092747	0.0341425	0.137683	0.254944	0.548711
a97	0.00502137	0.00617398	0.007964	0.0306338	0.148816	0.234796	0.566595
</S>	0.00442353	0.00449301	0.00461977	0.0136374	0.0864501	0.220402	0.665974
