 	ses	cheveux	sont	brillants	</S>
a23	0.321952	0.190023	0.152379	0.135279	0.200368
a87	0.323706	0.181067	0.137745	0.152505	0.204977
a23	0.51395	0.228609	0.11323	0.0757047	0.0685067
a79	0.372146	0.201062	0.122057	0.110442	0.194293
a20	0.242003	0.144659	0.137864	0.185149	0.290324
a35	0.497686	0.205919	0.111111	0.0881974	0.0970863
a0	0.432747	0.219174	0.144452	0.114179	0.0894483
a11	0.353924	0.204248	0.164918	0.148123	0.128788
a94	0.240944	0.175222	0.1866	0.201464	0.195771
a54	0.211553	0.170888	0.194925	0.21247	0.210163
a41	0.188355	0.1618	0.202905	0.231439	0.215501
a24	0.0665174	0.0793563	0.159089	0.315124	0.379913
a41	0.0339576	0.0421189	0.106775	0.290242	0.526906
a26	0.0207174	0.0342165	0.0950989	0.283249	0.566718
a38	0.017091	0.0211196	0.0669135	0.227426	0.66745
a30	0.0114091	0.0152726	0.0563364	0.222658	0.694324
a14	0.016374	0.024816	0.0842873	0.255617	0.618906
a30	0.0103192	0.0209204	0.078058	0.280625	0.610078
a2	0.0245796	0.0399433	0.10316	0.276947	0.55537
a57	0.0162444	0.0300998	0.0930535	0.251487	0.609115
a87	0.0216347	0.0397021	0.116455	0.292454	0.529754
</S>	0.0163208	0.0397434	0.147687	0.33762	0.458629
