 	les	amis	se	moquent	de	lui	</S>
a66	0.436128	0.279222	0.141762	0.0804775	0.0300972	0.0181304	0.0141827
a87	0.350207	0.27482	0.188671	0.0843583	0.0356877	0.03265	0.0336047
a10	0.571652	0.263106	0.0756638	0.0271435	0.0138642	0.0186554	0.0299154
a87	0.567721	0.279367	0.072296	0.022364	0.0123501	0.0176767	0.028225
a23	0.444071	0.313107	0.12091	0.0383691	0.0172296	0.0250165	0.0412974
a87	0.50186	0.267037	0.0901447	0.0422689	0.0239007	0.0331471	0.0416415
a23	0.465488	0.264116	0.104324	0.0506518	0.0278744	0.037901	0.0496455
a40	0.470365	0.237699	0.0960384	0.0534418	0.0334136	0.0490832	0.0599586
a36	0.456803	0.291815	0.116098	0.0498533	0.030418	0.0283583	0.0266543
a61	0.461197	0.313526	0.117677	0.0385348	0.0228747	0.0226838	0.0235064
a21	0.438744	0.321085	0.138939	0.0447042	0.0215078	0.0172327	0.0177882
a85	0.415026	0.305197	0.146219	0.0606696	0.026877	0.021655	0.0243555
a79	0.11052	0.164397	0.221528	0.193861	0.118186	0.0953777	0.0961309
a92	0.130979	0.202	0.262644	0.170461	0.0931915	0.0704144	0.0703103
a79	0.180152	0.216073	0.185161	0.15275	0.109503	0.0779118	0.0784494
a98	0.0920347	0.17505	0.217625	0.19605	0.130145	0.0928601	0.0962347
a15	0.0377013	0.10083	0.182738	0.228299	0.171266	0.136836	0.142329
a36	0.0336112	0.0814364	0.138188	0.205317	0.170411	0.152721	0.218316
a6	0.0409573	0.0813834	0.115404	0.140431	0.157322	0.18089	0.283612
a85	0.0163866	0.0372836	0.0756621	0.14266	0.176157	0.2199	0.331951
a98	0.00427711	0.0127251	0.0353788	0.127222	0.204764	0.25521	0.360422
a79	0.0016247	0.0050216	0.0174698	0.0857476	0.197613	0.283772	0.408752
a56	0.00121171	0.00311946	0.00875767	0.0497119	0.155406	0.306687	0.475107
a43	0.0017968	0.0032139	0.00767548	0.0426655	0.137997	0.303533	0.503118
a0	0.00107748	0.00178729	0.00397622	0.0272336	0.113307	0.299579	0.553039
a75	0.00171434	0.00237425	0.00465847	0.0231203	0.0932039	0.268275	0.606654
a79	0.000184577	0.000395511	0.0011315	0.00861527	0.0562215	0.260669	0.672782
a37	9.18649e-05	0.000224396	0.000649303	0.00643942	0.0510134	0.254454	0.687128
a56	0.000332666	0.000519442	0.00129254	0.00922278	0.0586579	0.249678	0.680296
a7	0.000689955	0.00120074	0.00288934	0.016946	0.0810927	0.271886	0.625295
a26	0.0010591	0.00175977	0.00377998	0.0171925	0.0824437	0.261743	0.632022
a82	0.0172644	0.0194253	0.026078	0.0492192	0.130762	0.264224	0.493028
a97	0.0906187	0.0656255	0.0494541	0.0604428	0.117895	0.213208	0.402756
a87	0.228378	0.19478	0.106175	0.0927715	0.0884047	0.121384	0.168106
a23	0.190445	0.164946	0.100824	0.110149	0.100636	0.140437	0.192563
a87	0.0456179	0.0377278	0.0344668	0.0597792	0.119111	0.260412	0.442885
</S>	0.00944522	0.00873132	0.013987	0.0417363	0.106288	0.249287	0.570525
