 	la	colle	du	man	ioc	qui	est	trop	cuit	lui	est	restée	aux	mains	</S>
a66	0.111972	0.0842211	0.114452	0.110123	0.0818638	0.0852215	0.0941289	0.0945927	0.0745664	0.0540695	0.0358145	0.0224618	0.0161992	0.0110059	0.00930739
a57	0.117066	0.0648898	0.0496623	0.0572604	0.0529223	0.0779314	0.0810624	0.0728364	0.0544572	0.0459864	0.0443216	0.0511944	0.0682254	0.0766917	0.0854922
a87	0.0343463	0.020276	0.0429985	0.107534	0.137431	0.193421	0.176202	0.0998141	0.0500372	0.0354401	0.0281987	0.0247484	0.0210126	0.0155298	0.0130109
a10	0.0398157	0.0252759	0.0476495	0.0940207	0.121424	0.164497	0.157384	0.0994181	0.0593747	0.0471603	0.0421657	0.0377324	0.0297126	0.0207214	0.0136476
a40	0.0263029	0.0251711	0.0458891	0.0966397	0.136198	0.170173	0.157974	0.0925842	0.0586966	0.0502464	0.0422763	0.0389882	0.0299665	0.0173248	0.0115686
a6	0.124798	0.0889891	0.0873998	0.0827634	0.0949667	0.106038	0.102094	0.0852345	0.0569425	0.049137	0.0366694	0.0328082	0.0279946	0.0146958	0.00946925
a37	0.245784	0.139058	0.0835015	0.0454966	0.0452936	0.0492094	0.0593226	0.0644953	0.0571179	0.0472557	0.0384701	0.0340324	0.0385706	0.0298595	0.0225332
a5	0.157014	0.111189	0.0823608	0.0499664	0.0571902	0.0719746	0.0914648	0.0821382	0.0706539	0.0507147	0.0415473	0.0319119	0.0324217	0.0333118	0.0361407
a12	0.163744	0.109043	0.0871775	0.0630169	0.0599151	0.0735146	0.095122	0.0781538	0.0690471	0.0471251	0.0377344	0.0250623	0.0241468	0.0289314	0.0382661
a47	0.15262	0.106769	0.0909009	0.0686101	0.0618953	0.0690665	0.0843257	0.0718916	0.0671821	0.0471927	0.0390832	0.025693	0.0263217	0.0359757	0.0524729
a61	0.108674	0.0687536	0.0696232	0.075661	0.0720772	0.087746	0.101001	0.078102	0.0773291	0.0571944	0.050346	0.0335493	0.0287216	0.0374385	0.0537828
a35	0.119691	0.081851	0.0732165	0.0717311	0.0630808	0.0777676	0.089573	0.0731014	0.0716219	0.0527931	0.0460959	0.0329589	0.0330759	0.0466254	0.0668167
a94	0.0550976	0.0575133	0.0575454	0.0708157	0.064793	0.0813506	0.0906567	0.0710084	0.0781374	0.0650782	0.0595146	0.0393545	0.038349	0.0639889	0.106797
a90	0.0240826	0.028631	0.0430876	0.0675012	0.0755122	0.107953	0.118801	0.0904542	0.0919011	0.0680422	0.0569551	0.0378841	0.0344699	0.0576392	0.0970862
a15	0.0203633	0.0351968	0.0429656	0.0642145	0.0622277	0.0809126	0.0913884	0.0718015	0.0821123	0.0731305	0.0672806	0.0496963	0.0496335	0.0797686	0.129308
a20	0.0112077	0.0219641	0.0278627	0.0459185	0.0538487	0.079152	0.0946022	0.0772586	0.0924807	0.0844355	0.0791565	0.0604273	0.0552658	0.0845876	0.131832
a90	0.0118679	0.0132203	0.0147379	0.0275663	0.0423228	0.0738429	0.0901158	0.0760979	0.0953608	0.0789904	0.0683793	0.0564346	0.0564631	0.106749	0.187851
a15	0.00883033	0.0112503	0.0137076	0.0255082	0.0362391	0.0713656	0.0829922	0.068585	0.0934659	0.0836046	0.0785613	0.0599947	0.0559726	0.109911	0.200012
a79	0.00965585	0.0120916	0.0120153	0.0222786	0.03176	0.0613467	0.0705802	0.0565441	0.0806987	0.0779734	0.0778238	0.0640423	0.0610434	0.121438	0.240708
a98	0.00603876	0.00921335	0.00971893	0.0183925	0.0284623	0.0592007	0.0694576	0.0562499	0.0851539	0.0868635	0.0874762	0.0688343	0.059328	0.117716	0.237894
a15	0.00682931	0.0124938	0.00964194	0.0154136	0.023263	0.0420591	0.0531081	0.0474461	0.063403	0.0627152	0.0636722	0.0621319	0.0650843	0.146095	0.326643
a79	0.00383107	0.00722801	0.00574451	0.0102224	0.0163817	0.0311648	0.0398528	0.0349877	0.0552567	0.0631183	0.07197	0.0743143	0.074663	0.164194	0.347071
a69	0.00324465	0.00584967	0.00375482	0.00622574	0.00991811	0.0194192	0.0238245	0.0224934	0.0370294	0.0467762	0.0581037	0.0682394	0.0807573	0.192937	0.421427
a58	0.00347914	0.00541367	0.00381702	0.00720886	0.0140877	0.0309026	0.0358065	0.0338457	0.0557943	0.0649116	0.0770124	0.081588	0.0814534	0.177462	0.327217
a82	0.00387864	0.00659415	0.00400323	0.00708173	0.0180944	0.0386323	0.0448092	0.0395564	0.0475705	0.0494418	0.0540798	0.0682874	0.0780579	0.189314	0.350599
a87	0.0102328	0.0126175	0.0123665	0.0269569	0.052284	0.0679979	0.0740755	0.0694637	0.0731584	0.0696573	0.0684629	0.0762338	0.0733899	0.115821	0.197282
a38	0.0189034	0.0124564	0.0193006	0.0550754	0.0770885	0.0980153	0.103293	0.0925522	0.0861795	0.0862169	0.0910298	0.0849856	0.0649776	0.0595629	0.0503625
a9	0.0338698	0.0210865	0.0142504	0.0187766	0.0156931	0.0210618	0.0198793	0.0280748	0.0344842	0.0502355	0.0681229	0.0977841	0.15896	0.198823	0.218898
a38	0.0159348	0.0132452	0.0108474	0.0256241	0.0291044	0.0424074	0.0430209	0.0383348	0.0462933	0.0565602	0.0595624	0.0736076	0.112713	0.180177	0.252568
</S>	0.0308061	0.0260825	0.0240676	0.0328638	0.0270444	0.0375538	0.0373628	0.0437759	0.055053	0.069361	0.0749876	0.0865423	0.112476	0.14993	0.192093
