 	hier	le	temps	était	brumeux	</S>
a66	0.279089	0.215916	0.195099	0.149043	0.0806418	0.0802106
a87	0.1109	0.145466	0.212616	0.155864	0.1664	0.208753
a23	0.3403	0.220299	0.175139	0.083629	0.0819683	0.0986643
a87	0.388432	0.240136	0.165498	0.063788	0.0621027	0.0800443
a23	0.363915	0.228435	0.171979	0.0694375	0.0668724	0.099361
a99	0.348487	0.210809	0.141765	0.073127	0.0874326	0.138379
a40	0.247103	0.177939	0.128188	0.0972566	0.143898	0.205614
a36	0.454925	0.270351	0.114281	0.0552046	0.0472326	0.0580057
a2	0.381464	0.308264	0.148671	0.0633907	0.0414962	0.0567149
a53	0.303396	0.27897	0.175568	0.0921633	0.0633709	0.0865318
a15	0.2847	0.262702	0.174411	0.105919	0.0779133	0.0943556
a69	0.249592	0.240591	0.197244	0.126521	0.0871941	0.0988589
a94	0.142423	0.150121	0.17824	0.160726	0.158237	0.210253
a43	0.125487	0.124604	0.176147	0.164802	0.170331	0.238628
a54	0.101584	0.0953955	0.156302	0.190401	0.1821	0.274217
a98	0.0570421	0.0715588	0.159397	0.261803	0.211454	0.238745
a47	0.0700749	0.077295	0.153811	0.259159	0.202999	0.236661
a36	0.0236556	0.0213513	0.0366851	0.0954362	0.270986	0.551886
a7	0.0263571	0.0235968	0.0309496	0.070686	0.257914	0.590496
a90	0.0175238	0.0167865	0.0260781	0.070245	0.298762	0.570605
a56	0.0207847	0.018617	0.0272884	0.0877668	0.363721	0.481822
a44	0.0106451	0.00973012	0.0183956	0.0721272	0.368493	0.520609
a96	0.00516647	0.00480708	0.0091934	0.0399252	0.300522	0.640386
a56	0.003381	0.0033649	0.00642794	0.0292525	0.281527	0.676047
a75	0.00161524	0.00161001	0.00335715	0.0184348	0.251558	0.723425
a6	0.000875402	0.000811755	0.00171917	0.0116247	0.225099	0.75987
a36	0.000914498	0.000795687	0.00143207	0.00878929	0.199107	0.788962
a54	0.00495276	0.00443627	0.00699892	0.0206177	0.198224	0.76477
a47	0.0043277	0.00453919	0.00744113	0.0227743	0.218886	0.742032
a37	0.00393919	0.00368778	0.0054397	0.0197986	0.228918	0.738217
a26	0.00824281	0.00844729	0.0136548	0.0392389	0.243839	0.686577
a82	0.0894629	0.059988	0.0584106	0.103352	0.23349	0.455297
a87	0.199889	0.116912	0.0968103	0.0858607	0.177959	0.322569
</S>	0.245273	0.146734	0.105488	0.079783	0.173939	0.248782
