 	il	y	a	beaucoup	de	fougères	à	l'	entrée	de	notre	village	</S>
a66	0.170902	0.160448	0.186111	0.179298	0.11964	0.0704625	0.0293607	0.0260584	0.0213115	0.0138992	0.00904413	0.00655252	0.00691135
a87	0.302043	0.258974	0.217603	0.124695	0.0668551	0.0154295	0.00313677	0.0020105	0.00246836	0.00199917	0.00179678	0.00132409	0.00166545
a23	0.193938	0.194619	0.22753	0.161768	0.104364	0.0350679	0.00951625	0.0114317	0.0131151	0.0128947	0.0123594	0.0110539	0.0123419
a99	0.100552	0.118907	0.148047	0.121013	0.0982571	0.0645999	0.0239893	0.0350591	0.0538864	0.060652	0.0516283	0.0525548	0.0708536
a94	0.120708	0.140793	0.191023	0.141057	0.0968833	0.0820109	0.0242858	0.0268389	0.0392952	0.0381349	0.0321341	0.0301135	0.0367225
a76	0.153708	0.176239	0.220905	0.154227	0.123135	0.0899799	0.0148938	0.0121451	0.0148159	0.0130781	0.00966983	0.00842526	0.00877854
a79	0.147121	0.196468	0.217144	0.155899	0.137903	0.095392	0.0191782	0.0102571	0.007347	0.00456232	0.00301781	0.00273407	0.00297608
a44	0.104749	0.154373	0.173013	0.166172	0.171883	0.149967	0.0375456	0.0172489	0.0115114	0.00558829	0.00302062	0.00255182	0.0023767
a56	0.0468392	0.0811362	0.110086	0.149801	0.204118	0.260034	0.0550315	0.0346243	0.0226042	0.0135161	0.00842459	0.0071469	0.00663765
a25	0.0419288	0.0665266	0.0863984	0.134141	0.215819	0.294541	0.069888	0.0392939	0.0199119	0.0114321	0.00762027	0.0065477	0.0059515
a15	0.0516292	0.0768225	0.0901745	0.131232	0.22179	0.250373	0.0810106	0.0385913	0.0218995	0.0128008	0.00882319	0.007888	0.00696579
a7	0.0306756	0.0397267	0.0619079	0.120764	0.204874	0.28487	0.116115	0.0520562	0.0336193	0.0184466	0.0132383	0.0123283	0.0113787
a15	0.0175877	0.0173122	0.0255581	0.069472	0.133261	0.280324	0.152965	0.0950015	0.0539759	0.0403355	0.0364189	0.0383732	0.0394145
a79	0.0149977	0.0144363	0.0233912	0.0709835	0.122069	0.27372	0.163349	0.0959889	0.0659585	0.0444121	0.0344304	0.0372481	0.0390145
a7	0.0188253	0.017053	0.024783	0.0741889	0.134915	0.269421	0.141602	0.0938947	0.0633968	0.0465557	0.0381673	0.0390774	0.0381201
a32	0.0202636	0.0180736	0.0248152	0.063343	0.0850484	0.14969	0.147845	0.133551	0.092237	0.0697039	0.0597558	0.0658179	0.0698543
a12	0.00884308	0.00704743	0.00663371	0.00965877	0.0137977	0.0248037	0.0501072	0.0897	0.0943802	0.112399	0.134135	0.206872	0.241623
a61	0.00938759	0.00767539	0.00655104	0.0106267	0.0174647	0.0342574	0.0681314	0.112937	0.11591	0.120325	0.125914	0.174276	0.196544
a21	0.00447921	0.0034531	0.00296201	0.00481023	0.00671038	0.0124583	0.0344161	0.0714379	0.0911792	0.126356	0.155287	0.233983	0.252468
a12	0.00233056	0.00181725	0.00167095	0.00249904	0.00356804	0.00600026	0.0144661	0.0313336	0.0521538	0.0935119	0.165941	0.295622	0.329086
a43	0.00151792	0.00111498	0.000898514	0.00155135	0.00203276	0.00378511	0.0121334	0.0269173	0.0469973	0.0932433	0.169124	0.284929	0.355754
a0	0.00224023	0.00181209	0.00123231	0.00215147	0.00190231	0.00313781	0.0116085	0.0250418	0.0499652	0.107586	0.168352	0.250449	0.374521
a21	0.00305336	0.00277719	0.0021287	0.00409375	0.00307328	0.00638216	0.0248309	0.0486554	0.0815966	0.128575	0.1601	0.22401	0.310723
a12	0.000577113	0.000502408	0.000392506	0.000827364	0.00101216	0.00190802	0.00789794	0.020771	0.0400386	0.086926	0.175095	0.271902	0.39215
a18	0.000369981	0.000325532	0.000267828	0.000638674	0.000688121	0.00143997	0.00548935	0.0134883	0.0281557	0.0699857	0.16038	0.289503	0.429268
a71	0.00344578	0.00237519	0.00165705	0.00291021	0.00255135	0.00356643	0.0152447	0.0347624	0.0674636	0.136288	0.175295	0.242347	0.312094
a25	0.0252031	0.0184042	0.0151191	0.018593	0.0176435	0.0309894	0.0773086	0.106608	0.109844	0.121785	0.127811	0.146353	0.184339
a97	0.0353812	0.0213149	0.0149964	0.0169961	0.013493	0.00983417	0.0402218	0.0805946	0.102765	0.151267	0.163213	0.169631	0.180291
a87	0.218933	0.14356	0.0933329	0.079788	0.0739836	0.0396382	0.0441965	0.0564833	0.0569569	0.0570033	0.0503181	0.0421705	0.043636
a23	0.169554	0.134537	0.0974517	0.0901463	0.105686	0.0729544	0.0507945	0.0549813	0.0496372	0.0500695	0.0449709	0.0394696	0.0397476
a99	0.0168612	0.0121168	0.00985557	0.0118957	0.0115353	0.00899539	0.012782	0.0319227	0.0460634	0.11571	0.157363	0.251168	0.313731
a66	0.0099777	0.00767958	0.00561344	0.00885939	0.0102739	0.00648893	0.0102636	0.0277617	0.0392206	0.117601	0.170932	0.268406	0.316922
</S>	0.00238924	0.00202543	0.00153335	0.00304611	0.00370464	0.00229847	0.00488129	0.0173683	0.027802	0.100332	0.175709	0.293642	0.365267
